key,8,9
#,,
offset,0,4
Int32,String,String
0,,
1,绒绒火炎,对莫古力前方的1名敌人造成<hex:022003E80203>点伤害<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
2,绒绒星体风暴,对莫古力前方第<hex:022003E80303>格，以及此格周围的敌人造成<hex:022003E80203>点伤害<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
3,绒绒陨石,对所有敌人造成<hex:022003E80203>点伤害<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
4,绒绒治疗,恢复莫古力<hex:022003E80203>点体力<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
5,绒绒康复,解除莫古力身上除死亡宣告外所有的弱化效果<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
6,绒绒屏障,为莫古力附加能够抵御伤害的防护罩<hex:02100103>持续回合：<hex:022003E80603><hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
7,绒绒浮空,让莫古力浮空，免受地面效果的影响<hex:02100103>持续回合：<hex:022003E80603><hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
8,绒绒重生,莫古力陷入无法战斗状态时自动复活1次<hex:02100103>持续回合：永久<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
