key,0,1
#,Name,Description
offset,0,4
Int32,String,String
0,,
1,回收,收回已经招出的召唤兽
2,跟随,让召唤兽跟随自己
3,移动,让召唤兽移动到指定位置
4,待命,让召唤兽在原地待命
5,截击,让召唤兽在召唤者发动攻击或受到攻击后才开始进行战斗
6,等待指示,让召唤兽在接到召唤者的指示前不进行战斗
7,自主战斗,让召唤兽自主攻击
8,协助战斗,让召唤兽进行攻击， 不过一部分技能会在得到命令后才会发动
9,突风,对目标发动风属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90
10,吹飞,对目标发动风属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>将目标击退15米<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
11,下行突风,对目标及其周围的敌人发动风属性范围魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
12,绿宝石之光,一定时间内，令目标受到的魔法伤害增加10%<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
13,利爪,对目标发动土属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>70<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨
14,黄宝石之光,对自身周围的敌人发动土属性范围魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
15,硬化,一定时间内召唤兽所受到的伤害减轻20%　<hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>20秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
16,冲撞,对目标发动土属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>眩晕　<hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>2秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
17,烈风刃,对目标发动风属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>110
18,震荡波,对目标发动风属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>将目标击退15米<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
19,大气风斩,对目标及其周围的敌人发动风属性范围魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
20,歪风,一定时间内，令目标受到的魔法伤害增加10%<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
21,大气爆发,对目标及其周围的敌人发动风属性范围魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>250<hex:02100103>召唤者使用<hex:024804F201F403><hex:024904F201F503>“内力迸发”<hex:0249020103><hex:0248020103>时发动
22,碎岩,对目标发动土属性魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>85<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨
23,山崩,对自身周围的敌人发动土属性范围魔法攻击　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>70<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨<hex:02100103><hex:024804F201F403><hex:024904F201F503>“协助战斗”状态下在接到命令之前不会发动该技能<hex:0249020103><hex:0248020103>
