key,0,1
#,Masculine,Feminine
offset,0,4
int32,str,str
0,,
1,永无止境,永无止境
2,忠诚,忠诚
3,豹拳,豹拳
4,斩铁,斩铁
5,雪恨,雪恨
6,天弓,天弓
7,纯白,纯白
8,召星,召星
9,嗜血,嗜血
10,精英杀手,精英杀手
11,仁心之富,仁心之富
12,冷血之富,冷血之富
13,尚武,尚武
14,御魔,御魔
15,博学,博学
16,广识,广识
17,刻木金锯,刻木金锯
18,锻铁金砧,锻铁金砧
19,铸甲金锤,铸甲金锤
20,雕金金板,雕金金板
21,制革金刀,制革金刀
22,裁衣金针,裁衣金针
23,炼金金瓶,炼金金瓶
24,烹饪金勺,烹饪金勺
25,碧海采掘之王,碧海采掘女王
26,密林采掘之王,密林采掘女王
27,黄沙采掘之王,黄沙采掘女王
28,碧海碎石之王,碧海碎石女王
29,密林碎石之王,密林碎石女王
30,黄沙碎石之王,黄沙碎石女王
31,碧海采伐之王,碧海采伐女王
32,密林采伐之王,密林采伐女王
33,黄沙采伐之王,黄沙采伐女王
34,碧海割草之王,碧海割草女王
35,密林割草之王,密林割草女王
36,黄沙割草之王,黄沙割草女王
37,碧海钓鱼之王,碧海钓鱼女王
38,密林钓鱼之王,密林钓鱼女王
39,黄沙钓鱼之王,黄沙钓鱼女王
40,碧海刺鱼之王,碧海刺鱼女王
41,密林刺鱼之王,密林刺鱼女王
42,黄沙刺鱼之王,黄沙刺鱼女王
43,镶嵌专家,镶嵌专家
44,物质变换,物质变换
45,血战,血战
46,学识,学识
47,工艺,工艺
48,平衡,平衡
49,热心肠,热心肠
50,百战历练,百战历练
51,天衣无缝,天衣无缝
52,维和之人,维和之人
53,王牌之兵,王牌之兵
54,拉诺西亚之利剑,拉诺西亚之利剑
55,黑衣森林之利剑,黑衣森林之利剑
56,萨纳兰之利剑,萨纳兰之利剑
57,艾欧泽亚之利剑,艾欧泽亚之利剑
58,拉诺西亚之坚盾,拉诺西亚之坚盾
59,黑衣森林之坚盾,黑衣森林之坚盾
60,萨纳兰之坚盾,萨纳兰之坚盾
61,艾欧泽亚之坚盾,艾欧泽亚之坚盾
62,破刃之剑,破刃之剑
63,阿泽玛之盾,阿泽玛之盾
64,独角之手,独角之手
65,正义,正义
66,专家,专家
67,无神论者,无神论者
68,断剑之人,断剑之人
69,不碎之岩,不碎之岩
70,地灵克星,地灵克星
71,鸟人克星,鸟人克星
72,蜥蜴人克星,蜥蜴人克星
73,小麦酒港之卫,小麦酒港之卫
74,林场水车之卫,林场水车之卫
75,黄金集市之卫,黄金集市之卫
76,小麦酒港之风,小麦酒港之风
77,林场水车之风,林场水车之风
78,黄金集市之风,黄金集市之风
79,小麦酒港之手,小麦酒港之手
80,林场水车之手,林场水车之手
81,黄金集市之手,黄金集市之手
82,狂野,狂野
83,凛冬之龙,凛冬之龙
84,爱之使者,爱之使者
85,皇家总管,樱花公主
86,猎蛋人,猎蛋人
87,名誉防爆员,名誉防爆员
88,水晶搬运者,水晶搬运者
89,黑涡先锋队,黑涡先锋队
90,双蛇先锋队,双蛇先锋队
91,恒辉先锋队,恒辉先锋队
92,黑涡精兵队,黑涡精兵队
93,双蛇精兵队,双蛇精兵队
94,恒辉精兵队,恒辉精兵队
95,黑涡军备队,黑涡军备队
96,双蛇军备队,双蛇军备队
97,恒辉军备队,恒辉军备队
98,黑涡后勤队,黑涡后勤队
99,双蛇后勤队,双蛇后勤队
