key,1,2,3,4,5,6
#,,,,,,
offset,0,4,8,12,16,20
int32,str,str,str,str,str,str
0,,,,,,
1,巨型偏属性水晶破坏指令,有报告称尖叫泡芙附近，中控水晶调整月面环境时散溢出来的以太形成了大量的巨型偏属性水晶。驾驶强力机兵前往报告中的地点粉碎巨型偏属性水晶，回收碎片用以补充属性变换用的资源。,驾驶强力机兵，<hex:02100103>粉碎巨型偏属性水晶。,使用宇宙钻头粉碎小型偏属性水晶。<hex:02100103>将获取的资源投入野外探查器分析。,机甲行动——巨型偏属性水晶破坏指令已发布。<hex:02100103>想成为驾驶员的人请通过探索触控板提交申请。,机甲行动即将开始。<hex:02100103>想以协助员身份参加机甲行动的人请到任务地点集合。
2,,,,,,
3,,,,,,
4,,,,,,
5,有害菌床驱除指令,有报告发现，能散布有害异常孢子的荧光小菇正在尖叫泡芙附近大量增殖。这些孢子附着在宇宙探索用的器材表面，可能会对今后的探索造成很大的负面影响。驾驶轮式工程车粉碎所有的红色荧光小菇杜绝其进一步繁殖的可能性。,驾驶轮式工程车，<hex:02100103>驱除巨型变异菌床。,使用宇宙火焰喷射器焚烧小型变异菌床。<hex:02100103>将燃烧后留下的灰烬投入野外探查器分析。,机甲行动——有害菌床驱除指令已发布。<hex:02100103>想成为驾驶员的人请通过探索触控板提交申请。,机甲行动即将开始。<hex:02100103>想以协助员身份参加机甲行动的人请到任务地点集合。
6,法恩娜石采掘指令,玻砾河岸的地下存在着因急速冷却的变质作用生成的火山玻璃矿脉。我们将这一可利用资源命名为法恩娜石，并决定投入强力机兵来进行采掘。想获取地下资源需要相当庞大的电离子能源。所以，这一能源大量产生时，就是我们采掘法恩娜石的大好时机。请使用增设在机体上的强力吸取器，吸取能源后进行采掘。,对流沙洞使用拖曳光束，<hex:02100103>回收位于地下的法恩娜石。<hex:02100103>发动拖曳光束需要消耗<hex:02100103>10个电离子能源。,使用宇宙钻头采掘沉睡在地下的法恩娜石。<hex:02100103>获得的资源可以提交至野外探查器进行分析。,机甲行动——法恩娜石采掘指令已发布。<hex:02100103>想成为驾驶员的人请通过探索触控板提交申请。,机甲行动即将开始。<hex:02100103>想以协助员身份参加机甲行动的人请到任务地点集合。
7,玻璃块粉碎回收指令,由于地热变动，冷却洞内出现了大量优质玻璃。确认了样品的研究员表示，这些玻璃的纯度高到难以相信是自然产生的，甚至可以直接用于制作精密镜片或开发新设备，极有可能在今后的探索计划中起到关键作用。请驾驶轮式工程车前往现场，粉碎玻璃块进行回收。,驾驶轮式工程车，<hex:02100103>粉碎玻璃块。,使用宇宙吸取器来吸收玻璃碎片。<hex:02100103>获得的资源可以提交至野外探查器，<hex:02100103>并进行分析。,机甲行动——玻璃块粉碎回收指令已发布。<hex:02100103>想成为驾驶员的人请通过探索触控板提交申请。,机甲行动即将开始。<hex:02100103>想以协助员身份参加机甲行动的人请到任务地点集合。
