key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_1,嘿嘿嘿……<hex:02100103>终于得到了梦寐以求的“以太装备”！
1,TEXT_REGFSTMAGICITEMTIPS_00045_Q1_1,如何作答？
2,TEXT_REGFSTMAGICITEMTIPS_00045_A1_1,以太装备是什么？
3,TEXT_REGFSTMAGICITEMTIPS_00045_A1_2,怎么得到以太装备
4,TEXT_REGFSTMAGICITEMTIPS_00045_A1_3,不关我事
5,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_10,问得好。<hex:02100103>所谓以太装备，就是带有某种魔力的装备……<hex:02100103>其实这种魔力就是以太了。
6,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_11,说起来，你是受冒险者行会委托而来的吗？<hex:02100103>那么，进洞穴前一定要确认好装备。
7,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_12,如果包里有好装备，一定要装备在手中，<hex:02100103>否则再好的装备也无法发挥其作用。
8,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_20,你想叫我转让给你？<hex:02100103>我得到这装备也是费了九牛二虎之力啊……<hex:02100103>我倒是可以告诉你怎么得到以太装备。
9,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_21,以太装备是原来的拥有者在逝去时释放的以太<hex:02100103>粘附到装备里而产生的。
10,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_22,因此呢，通常可以在遗迹、洞穴深处等危险的地点发现以太装备。
11,TEXT_REGFSTMAGICITEMTIPS_00045_GARRATT_000_23,比如在这“沙斯塔夏溶洞”里就很有可能找到以太装备。
