key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_000,你好，欢迎来到石绿湖营地。<hex:02100103>你找我有什么事吗？
1,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_010,我在这里负责照顾来此进行疗养的伤员。
2,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_011,因为大家都多多少少受着伤，<hex:02100103>如果是不适合泡温泉的人泡的时间太长，<hex:02100103>那么反而会对身体产生危害。
3,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_012,有时会有些奇怪的客人也挺让人困扰的……
4,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_020,这里是石绿湖营地，<hex:02100103>是利用尼姆文明遗迹建造的浴疗场。
5,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_021,而这座建筑是温酒疗养院。<hex:02100103>把加入了许多药材的香葡萄酒用温泉温热后，<hex:02100103>对伤员们的康复十分有效。
6,TEXT_REGSEACAMPBRONZELAKE_00114_RUKUSAFARUSA_000_022,在5年前的加尔提诺战役中受伤的伤员，<hex:02100103>以及目前因与帝国军、蛮族之间的冲突而受伤的伤员<hex:02100103>都会来到这里疗养。
7,TEXT_REGSEACAMPBRONZELAKE_00114_Q1_000_000,想了解什么？
8,TEXT_REGSEACAMPBRONZELAKE_00114_A1_000_001,你是做什么的？
9,TEXT_REGSEACAMPBRONZELAKE_00114_A1_000_002,这里是什么地方？
10,TEXT_REGSEACAMPBRONZELAKE_00114_A1_000_003,取消
