key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_1,看来你是个冒险者啊……<hex:02100103>你也在追捕恶名精英吗？
1,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_Q1_000_1,想了解什么？
2,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_A1_000_1,你是做什么的？
3,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_A1_000_2,关于B级怪物：染血的母鸟——血腥玛丽
4,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_A1_000_3,关于A级怪物：失控兵器——魔导地狱爪
5,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_A1_000_4,关于S级怪物：沉眠的恶鬼——伽洛克
6,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_A1_000_5,取消
7,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_10,我是一名怪物猎人，<hex:02100103>专门追捕扰乱地区治安的恶名精英。
8,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_11,只要讨伐成功，<hex:02100103>就能从艾欧泽亚城邦军事同盟处获得同盟徽章。
9,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_12,如果你也想挑战一下，<hex:02100103>我可以告诉你一些这片地区恶名精英的情报。
10,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_13,顺便一说，按危险程度不同，恶名精英是有等级之分的。<hex:02100103>S级的怪物别说讨伐了，就连找都很难找得到。
11,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_20,某卢恩族的船员为了寻找美味的蛋，<hex:02100103>便跑去鲜血滨沿岸的碧企鹅巢穴。<hex:02100103>在卢恩人找蛋之时，碧企鹅的母亲回来了……
12,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_21,愤怒的母亲用自己的尖嘴将偷蛋贼啄死……<hex:02100103>它那绿色的皮毛被鲜血染成了红色，<hex:02100103>从而得到了染血玛丽的称号。
13,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_30,加雷马帝国的魔导技术非常有名，但并非万能。
14,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_31,不知是没有维护好，还是改良失败。<hex:02100103>试验品魔导兵器“地狱爪”脱离了帝国兵的控制，<hex:02100103>至今依然处于失控状态。
15,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_40,鲜血滨的石场处有一个昏暗的洞穴。<hex:02100103>洞穴深处居住着一只名为伽洛克的怪物。
16,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_41,太阳海岸的地主格格鲁玖听到这个消息后，<hex:02100103>便派部下前往伽洛克巢洞搜查。
17,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_MOBHUNTERS1F3_000_42,结果却把怪物吵醒了。<hex:02100103>本来安详地睡在这避风避雨之地的伽洛克，<hex:02100103>从那以后便开始到处撒野。
18,TEXT_REGSEANOTORIOUSMONSTERHINTF3_00185_TALK_ACTOR,(★未使用/削除予定★)
