key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0005,要玩哪个小游戏？
1,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0001,I＋XIV数字推盘
2,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0002,曼德维尔流交涉术
3,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0006,神经衰弱
4,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0007,便宜迷宫
5,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0008,彩蛋猎手里吉
6,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0009,益智拼图
7,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0010,库啵库啵大冒险
8,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0004,取消
9,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR_000_0003,目前还无法玩小游戏。
10,TEXT_CMNDEFMINIGAME_00200_TALK_ACTOR,无
