key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_000,想调整黄道武器中的魔晶石之力吗？<hex:02100103>准备好«天球书卷»就拿来给我看吧。
1,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_Q1_000_000,请选择想调整的黄道武器
2,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_A1_000_010,调整<hex:02280AFF05>Item<hex:E8020103>
3,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_A1_000_015,听取调整的说明
4,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_A1_000_020,取消
5,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_080,嗯？我没看到你要调整的黄道武器呀？<hex:02100103>快拿给我看看吧。
6,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_081,想调整<hex:02280AFF05>Item<hex:E8020103>时，<hex:02100103>需要装备上武器，或把武器放入兵装库、背包中，<hex:02100103>再和加尔赞对话。
7,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_130,咦？新的«天球书卷»在哪？<hex:02100103>快拿给我看。
8,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_135,当前没有<hex:02280AFF05>Item<hex:E8020103>。<hex:02100103>«天球书卷»可以从狼烟丘的于贝尔坦处获得。
9,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_150,那我就将黄道武器中的魔晶石之力誊写到这新的«天球书卷»上吧。
10,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_151,对«天球书卷»做好调整后，再拿着它和黄道武器来找我即可。
11,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_YESNO_Q1,确定要将<hex:02280AFF05>Item<hex:E8020103>的魔晶石之力<hex:02100103>誊写到«天球书卷»上吗？<hex:02100103>誊写的数值相当于新星时的数值。
12,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_YESNO_YES,是
13,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_YESNO_NO,否
14,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_155,将黄道武器的魔晶石之力誊写到了«天球书卷»上。
15,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_156,再次对«天球书卷»进行充分嵌写后，<hex:02100103>与黄道武器一起拿给加尔赞。
16,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_157,想除去现在嵌写的魔晶石之力时，<hex:02100103>可以去委托狼烟丘的于贝尔坦。
17,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_160,嗯……这把武器的«天球书卷»好像还未被光填满。<hex:02100103>你来是想确认黄道武器的新力量？
18,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_161,现在，用你持有的«天球书卷»来强化黄道武器的话，<hex:02100103>可以让武器获得这样的力量。
19,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_170,是要将这个«天球书卷»的力量注入黄道武器对吧。
20,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_171,你的黄道武器会获得这样的力量。<hex:02100103>如无异议，我就着手强化了。
21,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_172,……好，完成了。<hex:02100103>这就是新改写了力量的<hex:02280AFF05>Item<hex:E8020103>！
22,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_200,如果你拿来一个崭新的«天球书卷»，<hex:02100103>我就可以帮你把现在黄道武器上的<hex:02100103>魔晶石之力誊写到空白的«天球书卷»上。
23,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_JALZAHN_000_201,之后你可以一直嵌写到自己满意为止。<hex:02100103>调整结束后交给我，我帮你把«天球书卷»的力量重新灌注进去。
24,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_210,想取得新的«天球书卷»或除去嵌写的魔晶石之力，<hex:02100103>可以委托狼烟丘的于贝尔坦。
25,TEXT_CMNDEFRELICWEAPON050ADJUST_00220_SYSTEM_000_211,只有嵌写次数为0的«天球书卷»可以誊写魔晶石之力。<hex:02100103>想要进行誊写时请多注意。
