key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_TALK_ACTOR,为了你能培育出最棒的竞赛陆行鸟，<hex:02100103>就由我来向你解释有关的问题吧。<hex:02100103>你想了解什么？
1,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_Q1_000_1,想了解什么？
2,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A1_000_1,什么是“训练”？
3,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A2_000_1,关于“陆行鸟竞赛属性”
4,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_1,关于“先天性竞赛能力”与“后天性竞赛能力”
5,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A3_000_1,关于“退役”
6,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_END_000_1,取消
7,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A1_000_01,所谓“训练”，<hex:02100103>就是为了提升竞赛陆行鸟有关竞赛的各项属性，<hex:02100103>而对它进行的各项特别的指导及锻炼。
8,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A1_000_02,但是如此立竿见影的训练方法<hex:02100103>会对竞赛陆行鸟的身体造成一定的负担，<hex:02100103>所以训练是不能无止尽地大量进行的。
9,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A1_000_03,每当竞赛陆行鸟获得成长，身体会变得更加强韧。<hex:02100103>如此一来，可以承受的训练次数也会随之提升。<hex:02100103>这样随着它的成长，慢慢地增加训练量是最好的。
10,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A1_000_04,训练的时候需要专用的饲料来喂食竞赛陆行鸟。<hex:02100103>因为饲料有许多品种，<hex:02100103>在进行训练前最好先去陆行鸟用品商那里了解一下。
11,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_01,为了在激烈的比赛中脱颖而出，<hex:02100103>知彼先知己，了解有关的属性是十分重要的！
12,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_02,“最高速度”<hex:02100103>这项属性越高，竞赛陆行鸟就能跑出越快的速度。
13,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_03,“加速力”<hex:02100103>这项属性越高，竞赛陆行鸟加速到最高速度需要的时间就越短。
14,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_04,“体力”<hex:02100103>比赛过程中会缓慢地消耗体力。<hex:02100103>体力一旦用尽，就无法继续加速。
15,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_05,“持久力”<hex:02100103>这项属性越高，体力的消耗速度就越慢。
16,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_06,“适应力”<hex:02100103>赛道的地形会影响竞赛陆行鸟的速度。<hex:02100103>这项属性越高，受到地形影响的减速效果就越小。
17,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A2_000_07,竞赛属性会随着竞赛陆行鸟的等级提升而成长。<hex:02100103>但是成长的方向与程度则完全由陆行鸟自身决定。<hex:02100103>对于薄弱的属性，可以借助训练来弥补。
18,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_2,竞赛陆行鸟在比赛时可以使用名为“竞赛能力”的技能。<hex:02100103>有两种方法可以获得“竞赛能力”，<hex:02100103>我们将其分为“先天性竞赛能力”与“后天性竞赛能力”。
19,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_3,首先说一下“先天性竞赛能力”……<hex:02100103>在竞赛陆行鸟配种时，诞生的“新陆行鸟”有可能继承双亲中<hex:02100103>任意一方拥有的“竞赛能力”。
20,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_4,这种从双亲遗传得到的宝贵能力，<hex:02100103>我们就称之为“先天性竞赛能力”。<hex:02100103>如果能遗传到较强的能力，会对成长起到不可估量的作用！
21,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_5,竞赛陆行鸟的配种与孵化养育是由弯枝牧场的凯特瑞小姐负责的。<hex:02100103>如果你有兴趣，就请去和她谈谈吧！
22,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_6,接下来是“后天性竞赛能力”。<hex:02100103>竞赛陆行鸟在不断地成长，或是学习陆行鸟竞赛教材的时候，<hex:02100103>可以学会新的竞赛能力。
23,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDEMENU_A4_000_7,这种学会的竞赛能力就是“后天性竞赛能力”！<hex:02100103>想要让竞赛陆行鸟学习或是忘记后天性竞赛能力的时候，<hex:02100103>来找我就可以啦！
24,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_01,竞赛陆行鸟的能力上限是生来注定的……<hex:02100103>一旦能力达到极限，就再也无法成长了。<hex:02100103>这个时候办理“退役”，就可以让竞赛陆行鸟回到故乡休养。
25,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_02,退役的竞赛陆行鸟就不能再次登记为竞赛陆行鸟了。<hex:02100103>在办理手续之前，请务必考虑清楚。
26,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_03,不过，即便退役了，竞赛陆行鸟的任务还远没有结束。<hex:02100103>在竞赛陆行鸟退役的时候，<hex:02100103>我们会给你“陆行鸟退役登记书”。
27,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_04,有了它，<hex:02100103>就可以为竞赛陆行鸟寻找合适的配偶，<hex:02100103>让双方“配种”从而诞生出新陆行鸟！
28,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_05,让竞赛陆行鸟退役后，它将无法再次登记为竞赛陆行鸟。<hex:02100103>但相对地可以获得配种时使用的“陆行鸟退役登记书”。
29,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_06,要获得陆行鸟退役登记书，<hex:02100103>需要登记的竞赛陆行鸟等级达到40级。
30,TEXT_CMNGSCCHOCOBORACETRAININGTALK_00234_GUIDE_A3_000_07,竞赛陆行鸟等级不满40级的情况下将无法正式退役，<hex:02100103>此时选择退役，<hex:02100103>将无法再使用该陆行鸟参赛，也无法获得陆行鸟退役登记书。
