key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_000,你要是找骑兵有事的话，能去问别人吗？<hex:02100103>我来这里是要做兵团任务的。
1,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_001,你是百家兵团的同伴啊？<hex:02100103>如果你在找恶名精英的话，我可以提供给你情报。
2,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_Q1_000_000,想了解什么？
3,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_A1_000_001,关于B级怪物：猴面雀之首——斯奎克
4,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_A1_000_002,关于B级怪物：百手勇士——飞舞翼萨努瓦力
5,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_A1_000_003,关于A级怪物：浮岛采矿工——恩克拉多斯
6,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_A1_000_004,关于A级怪物：狂暴飞兽——西斯尤
7,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_A1_000_005,关于S级怪物：华丽的捕食者——极乐鸟
8,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_A1_000_006,取消
9,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_010,可能是受浮岛这种孤立环境的影响，<hex:02100103>阿巴拉提亚云海里有很多奇怪的魔物。<hex:02100103>其中的“猴面雀”就很具代表性。
10,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_011,那是一种一脸惊恐状、看上去冒冒失失的魔物。<hex:02100103>虽然对老练的怪物猎人来说并不棘手，<hex:02100103>但那些家伙的老大——斯奎克是十分需要小心的对象。
11,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_012,不知道该说它第六感出奇地敏锐呢，还是动作敏捷，<hex:02100103>蔷薇骑兵团的人也总是被耍得团团转。<hex:02100103>不仅如此，它还接二连三地盗取物资，因此被指定为恶名精英。
12,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_020,栖息在阿巴拉提亚云海的兽人瓦努族中，<hex:02100103>有不少优秀的猎人和战士。
13,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_021,特别是被称为“飞舞翼萨努瓦力”的家伙，<hex:02100103>使出的双刀连同族的人也都崇拜不已，千万不能小看。<hex:02100103>在和蔷薇骑兵团起冲突时，他也是十分显眼。
14,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_022,顺带一提，之所以被称作“飞舞翼”，<hex:02100103>是因为他在开战前跳的示威的舞蹈极为华丽。<hex:02100103>不过跳舞的时候并没有伤害力。
15,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_030,你见过坐镇巨像吗？<hex:02100103>目前尚未断定那是些类似元精的自然生产的魔法生命体，<hex:02100103>还是和巨像兵一样通过人工造出来的。
16,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_031,不过有一点可以确定，<hex:02100103>那就是它们是靠自己削去岩石进行捕食来成长的。
17,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_032,特别是被蔷薇骑兵团称作“恩克拉多斯”的家伙，<hex:02100103>以势不可挡的趋势迅猛成长……<hex:02100103>为了确保浮岛的安全，人们将它指定为恶名精英。
18,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_040,瓦努族骑乘和驮货时会使用<hex:02100103>一种叫做滕云蛇的云海原产飞兽。
19,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_041,能驯服这种残暴的野生飞兽，<hex:02100103>看来瓦努族的驯兽人也很了不得啊。
20,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_042,不过，即使是那样的驯兽人也有无法驯服的野兽，<hex:02100103>那就是从瓦努族村子里逃出来的西斯尤。<hex:02100103>如今它已经对邻近地区造成了不小的威胁。
21,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_050,阿巴拉提亚云海环境宜人，<hex:02100103>栖息着种类繁多的有翼纲魔物。
22,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_051,其中拥有格外艳丽的外表，<hex:02100103>同时又极端残暴为人惧怕的就是极乐鸟了。
23,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_MOBHUNTERD_000_052,它们极其喜爱野兽的血肉，<hex:02100103>一听到猎物的叫声，就会急速降落下来。<hex:02100103>如果你想要猎捕极乐鸟，倒是可以利用这一点。
24,TEXT_REGABR2NOTORIOUSMONSTERHINTF1_00268_TALK_ACTOR,（未使用/预计删除）
