key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_000,你好，找我有什么事吗？
1,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_Q1_000_000,想了解什么？
2,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_A1_000_001,你是做什么的？
3,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_A1_000_002,这里是什么地方？
4,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_A1_000_004,取消
5,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_001,我的任务，是监视这座从帝国军手中夺回的威罗迪纳大桥……<hex:02100103>本来是这样。
6,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_002,但是，因为上面决定了要将威罗迪纳大桥作为关口进行再利用，<hex:02100103>我也就直接被编入了国境警备队……
7,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_010,这座桥本来是一座叫做威罗迪纳大桥的石桥，<hex:02100103>后来被帝国军改建成了补给部队的据点，就成了这个样子。
8,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_011,如你所知，解放军将它从帝国军手中夺回以后，<hex:02100103>把它作为阿拉米格连接他国的关口再次利用了起来。<hex:02100103>现在是由阿露帕队长所率领的国境警备队驻守在这里。
9,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_020,我们的部队才刚刚成立，<hex:02100103>由于人手不足，我们把一部分任务委托给了冒险者来做。<hex:02100103>你要是在找活儿干的话，就去和耶夏娜说吧。
10,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_030,你看到装饰在西门的成对的狮鹫像了吗？<hex:02100103>那是阿露帕队长亲自带人建造起来的。<hex:02100103>两头狮鹫强而有力的跃动感再现得很出色。
11,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_040,自从国境警备队开放简易旅馆以来，<hex:02100103>想要在夜间跨过边区的鲁莽的家伙也变少了。<hex:02100103>多亏于此，今后应该不需要再去捡尸体了。
12,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_050,自从增设了诊疗所以来，<hex:02100103>路过边区的人们也可以免于伤痛或是地方病的苦恼了。
13,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_051,除此以外，守护这座桥的国境警备队队员<hex:02100103>因训练或任务受伤致死的情况也减少了。<hex:02100103>真让人高兴。
14,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_060,逃出了伽黎亚派的阿难陀族们也加入了国境警备队，<hex:02100103>因此增建了新的阿难陀族宿舍。
15,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_061,能够原谅并接受曾经兵刃相向的人们，<hex:02100103>这就是阿露帕队长厉害的地方。
16,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_070,国境警备队是守护阿拉米格国境的部队，<hex:02100103>队员们之间没有种族的隔阂。<hex:02100103>不管是人类还是阿难陀族，为了全员都能幸福，每天都在努力奋斗。
17,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_500,这座桥本来是一座叫做威罗迪纳大桥的石桥，<hex:02100103>后来被帝国军改建成了补给部队的据点，就成了这个样子。
18,TEXT_REGGYR3CASTELLUMVELODYNA_00458_SLEEPINGCOEURL_000_501,作为向巴埃萨长城输送物资的补给线，<hex:02100103>同时也起到了监视塔的作用。<hex:02100103>……还特地把塔建得那么巨大，帝国人做事真是有够夸张。
