key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_100_000,啊……阿马罗这种生物真是神秘又富有浪漫色彩……<hex:02100103>你也这么认为吧？
1,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_010,（★未使用／削除予定★）
2,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_011,（★未使用／削除予定★）
3,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_012,
4,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_013,
5,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_014,
6,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_020,交纳了委托品，<hex:02100103>贝斯里克实际感受到你做出了贡献。
7,TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_021,今后也请继续交纳委托品，<hex:02100103>积累贡献度！
8,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_000,那孩子还在治疗中，<hex:02100103>伤其实并不是很严重……<hex:02100103>接下来只要把毒解掉……
9,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_050,感谢你，以防万一我试吃了一下，<hex:02100103>效果和品质都没有问题！<hex:02100103>分成几次喂给它，应该就能解毒了。
10,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_051,感谢你，以防万一我试吃了一下，<hex:02100103>我还是第一次见到这么高品质的药饵……好棒啊！<hex:02100103>分成几次喂给它，应该就能解毒了。
11,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_100,多亏有<hex:022903EB0203>的帮忙，<hex:02100103>“跳跳”有一点恢复的征兆了！<hex:02100103>真是太感谢你了。
12,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_101,啊，跳跳是那孩子的名字，<hex:02100103>总是没有名字感觉挺可怜的，<hex:02100103>就按照贝鲁布跳跃种的风格起了个名字。
13,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_102,虽然情况还说不好，不过继续治疗的话，<hex:02100103>很快就能解毒并恢复行走能力吧。
14,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_103,话说回来，你的技术比传闻中的还要厉害！<hex:02100103>完全再现了处方中的理想比例，效果应该会比想象中好。
15,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_104,而且，你制作的东西，<hex:02100103>能感觉到其中饱含着对跳跳的担忧。
16,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_105,我也要学一学你才行啊……<hex:02100103>不能一直逃避过去……
17,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_106,……不，没什么。<hex:02100103>请务必再来协助我！<hex:02100103>跳跳也还会需要我们的帮助。
18,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_140,嗯……根据检查结果和牧场管理员的报告，<hex:02100103>治疗过程良好……接下来要考虑的就是……
19,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_145,炼金术士或烹调师的等级达到73级以上时，<hex:02100103>可以从中庸工艺馆的贝斯里克那里领取下一个交纳委托品的任务。
20,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_150,<hex:022903EB0203>！<hex:02100103>你来得正是时候。
21,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_151,我正要去给跳跳诊疗，<hex:02100103>顺便把你做的药饵送过去。<hex:02100103>你能一起来吗？
22,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_152,跳跳虽说恢复得很顺利，<hex:02100103>但还很难靠自己吃下饵料，<hex:02100103>所以需要我以流食的方法喂到它嘴里。
23,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_153,流食中水分较多，可以顺便补充水分，<hex:02100103>同时还添加了它喜欢的味道，应该能增进它的食欲！
24,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_154,这样就行了。
25,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_155,嗯，伤口状态良好。<hex:02100103>接下来就是多吃饵料，<hex:02100103>要是能恢复体力直到能自己站起来就放心了！
26,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_156,话说回来，贝鲁布地区因为光之泛滥已经消失了100年了，<hex:02100103>居然还存活着不为人知的贝鲁布跳跃种……<hex:02100103>到现在我也不敢相信。
27,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_157,它们原为家畜，想要独自在野外生存是很困难的，<hex:02100103>不过，看它身上没有装备过鞍和缰绳的痕迹，<hex:02100103>应该是长时间在野外生存而恢复了野性吧。
28,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_158,这样说的话，就代表它有可以居住的地方，<hex:02100103>那么，它又为什么会离开居住已久了的栖息地呢……
29,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_159,跳跳……<hex:02100103>难道是因为喜欢人类才来到雷克兰德的吗？
30,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_160,如果真是这样，<hex:02100103>那它被自己所信赖的人类背叛，<hex:02100103>该多么伤心害怕啊……
31,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_161,我们回去吧！<hex:02100103>跳跳要恢复活力肯定还少不了你的帮助！
32,TEXT_CTSDKBCHARACTER3_00569_SKIP_000_162,……
33,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_163,<hex:022903EB0203>制作的药饵，<hex:02100103>跟跳跳的体质很合得来，也不用担心有副作用。<hex:02100103>真的是帮了大忙了！
34,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_164,可是，这样一直卧病修养，<hex:02100103>不利于体力的恢复，想自己站起来估计会很困难，<hex:02100103>为此我想请你再制作一些药饵。
35,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_165,现在由于毒素的影响，它的肠胃比较虚弱，<hex:02100103>普通的饵料对现在的那孩子来说刺激性太强……所以，<hex:02100103>能不能请你准备一些对肠胃负担小，营养价值又高的药饵呢？
36,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_166,谢谢你！<hex:02100103>那就拜托你制作<hex:02280BFF05>Item<hex:F26A710103>了！
37,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_200,虽然已经脱离了危险，但跳跳现在依然需要人照料，<hex:02100103>我无论如何都想治好它，<hex:02100103>请你务必帮帮我吧！
38,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_250,感谢你，以防万一我试吃了一下，<hex:02100103>营养均衡，味道和品质也没有问题，真不愧是你做出来的！<hex:02100103>那孩子也会高兴地吃下去吧！
39,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_251,感谢你，以防万一我试吃了一下，<hex:02100103>这药饵太棒了……你真是有着一流的手艺！<hex:02100103>那孩子肯定会高兴地吃下去吧！
40,TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_300,谢谢你，有这么多就足够了，<hex:02100103>跳跳也应该能站起来了吧！<hex:02100103>你有空的话就去看看它吧！<hex:02100103>
