key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_000,我想为水晶都的人们做出贡献……<hex:02100103>所以我现在正在研究改良水果的品种，<hex:02100103>想要研发出能够治愈人们身心的果实！
1,TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_010,感谢你帮忙寻找萨迈尔！<hex:02100103>我也会作为萨迈尔搜索队的队员努力的！
2,TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_020,之前在伊尔美格给你添麻烦了！<hex:02100103>为了能发现萨迈尔，<hex:02100103>我会继续进行分析的！
3,TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_030,我想你肯定以为雅拉娜是在不情愿地干着<hex:02100103>科希·芮部长交代的工作……<hex:02100103>其实她本人还是挺乐意的……
4,TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_000,
5,TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_010,
6,TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_020,
7,TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_030,
