key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_000,冒险者，欢迎来到丰水地带！<hex:02100103>可露儿在等着你呢，<hex:02100103>请你去跟她打声招呼吧！
1,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_010,终于可以为在这座岛屿上发生的一切做个了结了！<hex:02100103>我也会贡献出微薄之力来支援大家！<hex:02100103>咱们一起努力吧！
2,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_040,可露儿应该前往了瓦尔河源流区域那里的中央魔力桥脚！<hex:02100103>请冒险者你也过去一趟吧！
3,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_050,你想确认一下进展情况啊！<hex:02100103>请你到魔力桥基东边的<hex:02280CFF05>EObj<hex:F61EAA560103>那里，<hex:02100103>设置地脉控制器！
4,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_060,看来你设置完地脉控制器了啊！<hex:02100103>那就请你返回中央魔力桥脚，<hex:02100103>与那里的可露儿汇合吧！
5,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_070,可露儿好像正在对中央魔力桥脚进行调整！<hex:02100103>等她完成调整以后，请你跟她打声招呼！
6,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_SYSTEM_000_071,想要推进下一阶段的剧情，<hex:02100103>需要将元素等级提升到54级。
7,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_080,看来第一个魔力桥脚已经修理完成了啊！<hex:02100103>接下来请你前往西部魔力桥脚！
8,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_090,我接到了可露儿发来的联络，<hex:02100103>听说你们正在瓦尔河西岸的北部搜寻<hex:02280CFF05>EObj<hex:F61EAA570103>！<hex:02100103>请你加油吧！
9,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_100,看来你设置好了地脉控制器啊！<hex:02100103>那就请你返回西部魔力桥脚，<hex:02100103>与那里的可露儿汇合吧！
10,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_110,可露儿好像正在对西部魔力桥脚进行调整！<hex:02100103>请你等一会之后过去看看吧！
11,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_SYSTEM_000_111,想要推进下一阶段的剧情，<hex:02100103>需要将元素等级提升到57级。
12,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_120,看来已经修好了第二个魔力桥脚！<hex:02100103>请你前往最后的东部魔力桥脚吧！
13,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_130,我接到了可露儿发来的联络，<hex:02100103>听说你们正在瓦尔河东岸的北部搜寻<hex:02280CFF05>EObj<hex:F61EAA580103>！<hex:02100103>请你加油吧！
14,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_140,看来所有的地脉控制器都已经设置完成了啊！<hex:02100103>那就请你到东部魔力桥脚，<hex:02100103>与那里的可露儿汇合吧！
15,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_150,可露儿好像正在对东部魔力桥脚进行调整！<hex:02100103>请你等一会之后过去看看吧！
16,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_SYSTEM_000_151,想要推进下一阶段的剧情，<hex:02100103>需要将元素等级提升到60级。
17,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_160,多亏了冒险者，魔力桥重新启动了！<hex:02100103>在攻入之前，请先和魔力桥基的可露儿汇合！
18,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_170,之后就差为这座岛屿的探索画上句号了！<hex:02100103>你可以通过魔力桥基攻入到总部塔的内部！<hex:02100103>冒险者，祝你旗开得胜！
19,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_180,冒险者，辛苦你了！<hex:02100103>可露儿和艾吉卡在等你呢，<hex:02100103>请你去跟他们打声招呼吧！
20,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_190,优雷卡的探索任务以及创神的封印工作，真是辛苦你了！<hex:02100103>其实我有话想对你这位老练的冒险者说！
21,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_191,根据艾吉卡·岑吉卡提供的调查资料来看，<hex:02100103>在总部塔的上层安放着巴尔德西昂委员会<hex:02100103>发现并回收的创神优雷卡创造的武具！
22,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_192,这些武具受到了这一连串事件的影响，<hex:02100103>很可能开始变得活性化了！
23,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_193,创神优雷卡创造的武具能够控制使用者，<hex:02100103>并将其变为虚拟的蛮神，是十分危险的东西！<hex:02100103>因此我认为应该组成讨伐队前往总部塔！
24,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_194,根据那份调查资料来看，总部塔的上层虽然被封印障壁所封锁，<hex:02100103>但在特定的天气时会发生地脉紊乱，<hex:02100103>因此利用地脉的紊乱就可以直接从外部进行传送！
25,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_INV00463_000_195,如果冒险者你愿意的话，能不能参加上层的探索，<hex:02100103>协助我们破坏创神武具？<hex:02100103>请你务必好好考虑一下！
26,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_YESNOCHECK_000_000,“巴尔德西昂兵武塔”的进入条件非常苛刻，<hex:02100103>就算是对禁地优雷卡非常精熟的冒险者也很难满足相应要求。<hex:02100103><hex:02100103>此外，兵武塔为高难度迷宫。<hex:02100103>即便成功进入，也很可能会在攻略途中经历数次的团灭。<hex:02100103><hex:02100103>要想成功攻略兵武塔，<hex:02100103>需要“同伴之间的默契”、“坚持不懈的决心”、“大量的时间”，<hex:02100103>还要有“智慧”、“勇气”、“实力”，以及“运气”。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>只凭着模棱两可的觉悟是无法成功攻略的，<hex:02100103>还望冒险者知晓。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>
27,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_CHECKBOX_000_000,注意事项是否已确认完毕？
28,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_YESNO_000_001,确定已经确认完注意事项，<hex:02100103>并做好了真正的觉悟以挑战兵武塔吗？
29,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_SYSTEM_050_197,<hex:024804F201FC03>开放了巴尔德西昂兵武塔，可以进行攻略了！<hex:0248020103>
30,TEXT_CTSERKEUREKA4EXPSCHOLAR_00551_SYSTEM_051_197,<hex:024804F201FC03>关于兵武塔的突入条件以及其内部的特殊规则，<hex:02100103>可以从调查队的研究员那里了解详情。<hex:02100103>请务必在突入前进行确认，以方便进行攻略的准备。<hex:0248020103>
