key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSOPN52WANDERINGWRITER_00667_CFC_TO_INSTANCE_CONTENT,<hex:02281CFF17>ContentFinderCondition<hex:E8020403>
1,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_000_000,哎呀，这不是爱跑腿的寻物高手……啊，不，是解放者吗？<hex:02100103>好久不见、好久不见！<hex:02100103>探索伊瓦利斯的时候，团员们和杰诺米都承蒙你的照顾了！
2,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_000_001,这里就是甘戈斯——博兹雅义军的据点啊！<hex:02100103>有件事要对无地鼓座保密，其实我正在为剧本创作发愁呢……<hex:02100103>不过在这里的话没准能获得新的灵感，所以我就过来了。
3,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_100_000,最近有什么新奇的冒险故事吗？请务必讲给我听听吧。<hex:02100103>我会以你为主角写成戏剧的！<hex:02100103>啊，你是不是正好有故事想要讲给我听呢？
4,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_100_050,你有什么想要询问的事情吗？
5,TEXT_CTSOPN52WANDERINGWRITER_00667_Q1_000_000,谈点什么？
6,TEXT_CTSOPN52WANDERINGWRITER_00667_A100_000_000,想听听异国的剧作家有什么故事
7,TEXT_CTSOPN52WANDERINGWRITER_00667_A1_000_000,取消
8,TEXT_CTSOPN52WANDERINGWRITER_00667_Q2_000_100,想了解什么？
9,TEXT_CTSOPN52WANDERINGWRITER_00667_A1_000_100,关于圣剑天佑女王
10,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_000,记忆中的战斗？<hex:02100103>这还真是很有意思的故事……<hex:02100103>如果可以的话，能跟我详细讲讲吗？
11,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_001,嚯嚯——在西德的记忆中与瓦厉斯皇帝大战了一番吗……<hex:02100103>虽说只是记忆中的幻象，<hex:02100103>却也足以窥探瓦厉斯皇帝究竟有多强大了。
12,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_002,虽然我曾经有幸见过几次瓦厉斯皇帝，<hex:02100103>不过我可没在近距离见识过他战斗时的风采……<hex:02100103>但是他力大无穷、勇猛无比的传闻我早有耳闻。
13,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_003,不错，虽然只是一闪而过，不过我已经有了灵感。<hex:02100103>你在记忆中与瓦厉斯皇帝交手前，<hex:02100103>瓦利斯皇帝如此说道：
14,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_004,“汝拦于吾之剑前，所谓何故？<hex:02100103>莫学初生牛犊不怕虎，待到悔时已无路。”
15,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_005,“傲慢使人丑陋，无知使人狂妄。<hex:02100103>唯勘不破自己本心之人，才会小觑他人心中伤痛！”
16,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_006,嗯——感觉还是欠缺推敲呢。<hex:02100103>果然没有在现场的话，还是会与现实有所差距。<hex:02100103>我感觉这与你经历的东西差得有点远啊……
17,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_500_007,抱歉，能再给我详细讲讲吗？<hex:02100103>就算全是拟音词也无妨，<hex:02100103>只要能鲜明地描述一下当时的状况就好……
18,TEXT_CTSOPN52WANDERINGWRITER_00667_SYSTEM_500_008,博兹雅堡垒追忆战中获得的“<hex:02280BFF05>Item<hex:F276130103>”，<hex:02100103>可以交给丧灵钟的卡·因塔娜交换道具。
19,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_000,听说你重现了女王之刃？<hex:02100103>哎呀，不愧是解放者，真厉害！<hex:02100103>这样一来，博兹雅义军的凝聚力应该能变得更强了！
20,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_001,女王之刃可是存在于博兹雅传说中的秘宝，<hex:02100103>我也很想详细了解一番呢。<hex:02100103>它的故事一定能为我今后撰写剧本提供很多参考。
21,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_002,啊，说起来，好像有一把只有女王贡希尔德才能佩带的，<hex:02100103>可以说是女王之证的圣剑。<hex:02100103>名字好像是——“天佑女王”来着。
22,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_003,目前我知道的只有这些。<hex:02100103>我会从博兹雅人口中收集相关的传说，等情报凑齐之后，<hex:02100103>一定也向你反馈。敬请期待吧！
23,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_010,我调查了一下有关圣剑天佑女王的事。<hex:02100103>你要听听看吗？
24,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_011,那是只有每代女王贡希尔德才能佩戴的圣剑。<hex:02100103>古代博兹雅人相信圣剑中封印着神明的力量，<hex:02100103>因此把它作为女王的证明供奉了起来。
25,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_012,后面的内容可信度不高，不过还是给你讲讲吧。<hex:02100103>怎么说这也是在博兹雅人尽皆知的故事。<hex:02100103>嗯……感觉在哪听过类似的故事……
26,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_013,在第三星历的末期，第四灵灾降临这里的时候，<hex:02100103>一场前所未有的巨大地震毁灭了亚拉戈帝国。<hex:02100103>这一灾难也席卷了古代博兹雅。
27,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_014,森林被熊熊烈火吞噬，天空被火光染成了红色。<hex:02100103>许多古代博兹雅人因此丧命，<hex:02100103>只有一小部分幸存者逃进了博兹雅城中。
28,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_015,女王贡希尔德告诉他们，如今正是使用圣剑之力的时刻。<hex:02100103>人们听闻，皆为女王伏地痛哭。<hex:02100103>因为他们知道，使用圣剑之力就意味着女王要献出自己的生命。
29,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_016,女王将圣剑刺入自己的心脏，就这样死去了。<hex:02100103>但圣剑之力瞬间发动，<hex:02100103>女王变成了守护神天佑女王，再度复活。
30,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_017,守护神天佑女王第一次也是最后一次放出了魔力。<hex:02100103>那魔力形成了一道屏障，保护了博兹雅城……<hex:02100103>不，应该是只保护了那一小部分逃入城内的幸存者吧。
31,TEXT_CTSOPN52WANDERINGWRITER_00667_WANDERINGWRITER_600_018,人们恢复意识之后，发现自己的祖国<hex:02100103>早已没有了曾经的繁荣，变成了一片不毛之地。<hex:02100103>但是，第四灵灾结束了，世界再度安静了下来。
