key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESNYR2021_00645_CUWSERVER_000_000,我是从东方远道而来的使节团的一员。<hex:02100103>如果有什么不清楚的事情，请尽管咨询。
1,TEXT_FESNYR2021_00645_Q1_000_1,想了解什么？
2,TEXT_FESNYR2021_00645_A1_000_1,你在这里做什么？
3,TEXT_FESNYR2021_00645_A1_000_2,什么是“降神节”？
4,TEXT_FESNYR2021_00645_A1_000_3,什么是“捣年糕”？
5,TEXT_FESNYR2021_00645_A1_000_4,取消
6,TEXT_FESNYR2021_00645_CUWSERVER_000_001,又到了举办降神节的季节，<hex:02100103>我们是为了加深与艾欧泽亚之间的友谊，<hex:02100103>从东方被派遣过来的使节团。
7,TEXT_FESNYR2021_00645_CUWSERVER_000_002,我们与使节团团长“丑奉行”一起策划了<hex:02100103>发放降神糕的节日活动。<hex:02100103>敬请期待！
8,TEXT_FESNYR2021_00645_CUWSERVER_000_010,多亏冒险者你切开了降神糕，<hex:02100103>目前降神节正在顺利举办中。
9,TEXT_FESNYR2021_00645_CUWSERVER_000_011,在节日活动期间内，将会持续发放降神糕。<hex:02100103>如果有空的话，请你继续切一些降神糕！
10,TEXT_FESNYR2021_00645_CUWSERVER_000_030,又到了举办降神节的季节，<hex:02100103>我们是为了加深与艾欧泽亚之间的友谊，<hex:02100103>从东方被派遣过来的使节团。
11,TEXT_FESNYR2021_00645_CUWSERVER_000_031,在利姆萨·罗敏萨，我们与使节团团长“丑奉行”策划了<hex:02100103>发放降神糕的节日活动。<hex:02100103>如果你有空的话，请前去看看吧。
12,TEXT_FESNYR2021_00645_CUWSERVER_000_040,哎呀，你难道不知道吗？<hex:02100103>身为东方人的我来给你讲解，<hex:02100103>还真是有些奇怪的感觉呢……
13,TEXT_FESNYR2021_00645_CUWSERVER_000_041,降神节是庆祝季节开始新的循环的庆典，<hex:02100103>听说此地的人们要从十二神中选出新的主神。<hex:02100103>这回被选出的主神是司掌山岳与放浪的男神奥修昂。
14,TEXT_FESNYR2021_00645_CUWSERVER_000_042,另一方面，在东方的习俗中<hex:02100103>则是从神话中选出的12种动物来执掌新的季节。<hex:02100103>这回被选中的动物是“丑”。
15,TEXT_FESNYR2021_00645_CUWSERVER_000_043,只说“丑”可能不太好理解，其实就是“牛”这种动物。<hex:02100103>这也算是东方文化的一种，还请你多包涵。
16,TEXT_FESNYR2021_00645_CUWSERVER_000_050,“捣年糕”是用来制作东方祈福用的降神糕的方法。<hex:02100103>就是把热腾腾的糯米放入大臼里，<hex:02100103>用杵将其捣碎并制成白色柔软的小块饼状就完成了。
17,TEXT_FESNYR2021_00645_CUWSERVER_000_051,还是实际给你演示一遍更快吧。<hex:02100103>我们从东方带来的力大无穷的“牛头”<hex:02100103>正在和年糕官一起“捣年糕”，你也去看看吧！
18,TEXT_FESNYR2021_00645_CUWSERVER_000_052,“捣年糕”的会场在中拉诺西亚和风陆门的东南方向。
19,TEXT_FESNYR2021_00645_TALK_ACTOR,（★未使用／削除予定★）
