key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_TALK_ACTOR,0
1,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_000,要做什么？
2,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q1_000_001,建造设施
3,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q1_000_010,取消
4,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_100,开拓工房 I
5,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_101,开拓工房 II
6,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_102,开拓工房 III
7,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_103,开拓工房 IV
8,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_104,开拓工房 V
9,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_110,屯货仓库 I
10,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_111,屯货仓库 II
11,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_112,屯货仓库 III
12,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_113,屯货仓库 IV
13,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_114,屯货仓库 V
14,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_120,这里是<hex:022903EA0203>。<hex:02100103>要做什么？
15,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_121,改建<hex:022903EA0203>
16,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_122,变更<hex:022903EA0203>的外观
17,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_123,搬迁<hex:022903EA0203>
18,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_Q2_000_124,取消
19,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_200,管理土地用的看板。
20,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_300,开始建造后，需要花费一段时间等待建筑物建造完成。<hex:02100103>使用管理板即可查询对应建筑的完成时间。<hex:02100103>请一边游玩其他的游戏内容，一边耐心等待建筑建成吧！
21,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_000_305,开始改建后，需要花费一段时间等待建筑物改建完成。<hex:02100103>使用管理板即可查询对应建筑的完成时间。<hex:02100103>请一边游玩其他的游戏内容，一边耐心等待建筑建成吧！
22,TEXT_CTSMJICONSTRUCTWORKPLACE_00784_SYSTEM_100_000,屯货仓库建造完毕。<hex:02100103>可以委托小岛木屋附近的采集小员收集开拓素材了。
