key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESANV2021_00717_NEWBORNINTERN_000_000,感谢过去，祝福现在，祈祷未来……<hex:02100103>怀着神圣的心情庆祝新生庆典吧！<hex:02100103>仰望夜空还能看到美丽的烟花哦。
1,TEXT_FESANV2021_00717_Q1_000_001,要问什么？
2,TEXT_FESANV2021_00717_A1_000_001,什么是新生庆典
3,TEXT_FESANV2021_00717_A1_000_002,关于妮美雅百合香囊
4,TEXT_FESANV2021_00717_A1_000_003,取消
5,TEXT_FESANV2021_00717_NEWBORNINTERN_000_010,所谓新生庆典，主旨为悼念在第七灵灾中丧生的人们，<hex:02100103>并向在灵灾中奋勇作战的英雄“光之战士们”表达感谢。
6,TEXT_FESANV2021_00717_NEWBORNINTERN_000_011,节日期间，大街上会放满水晶点缀的庄严的装饰物，<hex:02100103>夜晚还会燃放美丽的烟花。
7,TEXT_FESANV2021_00717_NEWBORNINTERN_000_012,沉浸在这梦幻般的气氛中，<hex:02100103>怀念过去，享受现在，为未来的幸福祈祷吧。
8,TEXT_FESANV2021_00717_NEWBORNINTERN_000_020,妮美雅百合作为悼念死者的镇魂花而被人们所熟知。<hex:02100103>它的花语是“祈求旅行平安”，<hex:02100103>其香气好像具有平复心情的效果……
9,TEXT_FESANV2021_00717_NEWBORNINTERN_000_021,为了让在灵灾中失去心灵依靠的人<hex:02100103>能够度过一个平静的新生庆典，<hex:02100103>有人制作了装有妮美雅百合的香囊，发放给了人们。
10,TEXT_FESANV2021_00717_NEWBORNINTERN_000_022,新生庆典销售委员正在负责贩卖这种香囊，<hex:02100103>如果方便的话，你也去买一个吧？
11,TEXT_FESANV2021_00717_NEWBORNINTERN_000_023,新生庆典销售委员正在乌尔达哈的<hex:02100103>红玉大路国际市场负责贩卖这种香囊，<hex:02100103>如果方便的话，你也去买一个吧？
