key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBDEFGFF_00726_Q1_000_000,某位贤者的手记
1,TEXT_JOBDEFGFF_00726_A1_000_010,某位贤者的手记1～2
2,TEXT_JOBDEFGFF_00726_A1_000_020,某位贤者的手记3～5
3,TEXT_JOBDEFGFF_00726_A1_000_030,某位贤者的手记6～9
4,TEXT_JOBDEFGFF_00726_A1_000_040,某位贤者的手记10～12
5,TEXT_JOBDEFGFF_00726_A1_000_050,不同笔迹的手记1～4
6,TEXT_JOBDEFGFF_00726_A1_000_060,取消
7,TEXT_JOBDEFGFF_00726_HATIA_000_000,(-某位贤者的手记1-)今天新送进来的患者是一名还很年轻的少女。<hex:02100103>真是可怜……不过这座自然生命院有着最优秀的贤者<hex:02100103>以及最尖端的设备……你一定会没事的。
8,TEXT_JOBDEFGFF_00726_HATIA_000_001,(-某位贤者的手记2-)经过不眠不休的治疗，少女的体征看上去终于趋于稳定了。<hex:02100103>多亏了爱人的建议，采用了体液均衡术式是非常正确的判断。<hex:02100103>他明明比我年轻50岁，可作为贤者却是这么的优秀可靠。
9,TEXT_JOBDEFGFF_00726_HATIA_000_010,(-某位贤者的手记3-)黎明时分患者的体征突然恶化了。<hex:02100103>体内的以太急速减少，出现不断地呕吐的症状。<hex:02100103>虽然勉强用魔法让患者挺了过来，可这终究不过是对症疗法……
10,TEXT_JOBDEFGFF_00726_HATIA_000_011,(-某位贤者的手记4-)重新翻阅了过去全部的病例以及文献，<hex:02100103>可却没能找到有效的治疗法。难道我们只能束手无策了吗？<hex:02100103>不行，应该还有其他的……拯救那孩子的方法……
11,TEXT_JOBDEFGFF_00726_HATIA_000_012,(-某位贤者的手记5-)对了，我的故乡那边自古就有一种药草。<hex:02100103>名字是叫香锦草……虽然药效强烈，但也有可能成为剧毒。<hex:02100103>不过只要碾碎并稀释后使用的话，就应该能减轻副作用。
12,TEXT_JOBDEFGFF_00726_HATIA_000_020,(-某位贤者的手记6-)从维埃拉的村子那里购买了香锦草。<hex:02100103>这种药草果然对体内的以太能够产生影响，<hex:02100103>不过毒性也十分剧烈，持续服用的话恐怕患者的身体会撑不住。
13,TEXT_JOBDEFGFF_00726_HATIA_000_021,(-某位贤者的手记7-)对危笃状态的患者使用了稀释后的香锦草提取液。<hex:02100103>虽然在短短几小时后恢复了意识，可却又陷入了异常的兴奋状态。<hex:02100103>数名贤者合力才勉强压制住她。
14,TEXT_JOBDEFGFF_00726_HATIA_000_022,(-某位贤者的手记8-)照目前的情况来看还是有必要向魔法大学提出<hex:02100103>针对香锦草危险性的论文。
15,TEXT_JOBDEFGFF_00726_HATIA_000_023,(-某位贤者的手记9-)啊……最近身上的疼痛又加重了。<hex:02100103>看来是我的老毛病又恶化了……估计撑不了多久了吧。<hex:02100103>只不过实在是不甘心……明明还有许多患者在等着我去治疗呢。
16,TEXT_JOBDEFGFF_00726_HATIA_000_030,(-某位贤者的手记10-)今天真是丢人了，没想到会在治疗中倒下。<hex:02100103>不过爱人他那么慌张的样子还是第一次见到。<hex:02100103>可是比起我的事情，我还是希望他能把精力放在拯救更多的患者上。
17,TEXT_JOBDEFGFF_00726_HATIA_000_031,(-某位贤者的手记11-)不管尊卑贵贱，任何生命都应该平等地享有未来。<hex:02100103>而我们贤者绝不会放弃拯救即将消逝的生命。<hex:02100103>为此我将在临终前把知识与情感全部托付给这个灵魂水晶。
18,TEXT_JOBDEFGFF_00726_HATIA_000_032,(-某位贤者的手记12-)致挚爱的你。<hex:02100103>这可能是我最后一次执笔，所以将想说的话记录于此。<hex:02100103>我、哈提雅能与你相知相遇实乃幸福，若来生再能——
19,TEXT_JOBDEFGFF_00726_SYSTEM_000_033,此处的手记被人撕掉了。
20,TEXT_JOBDEFGFF_00726_GUILDIVAIN_000_040,(-不同笔迹的手记1-)多么的残酷、多么的不讲理！妻子的生命从这世上消失了。<hex:02100103>只是因为肉体的机能障碍这种无聊的原因就失去了未来。<hex:02100103>啊，对了……至少要将那个少女的生命用在有意义的地方。
21,TEXT_JOBDEFGFF_00726_GUILDIVAIN_000_041,(-不同笔迹的手记2-)弄到了有可能撑过香锦草毒性的维埃拉族实验体。<hex:02100103>从幼年期开始逐渐少量摄取的话，实验成功的可能性会相对较高。<hex:02100103>要是这个术式完成的话，可谓是一种长足的进步吧。
22,TEXT_JOBDEFGFF_00726_GUILDIVAIN_000_042,(-不同笔迹的手记3-)愚蠢的女贤者快要查到这个实验设施了。<hex:02100103>是叫基恩加尔来着……真是麻烦，不过还是换个地点吧。<hex:02100103>为了人类的未来，我还不能被抓到。
23,TEXT_JOBDEFGFF_00726_GUILDIVAIN_000_043,(-不同笔迹的手记4-)今天无意间看到某位冒险者拿着你的灵魂水晶。<hex:02100103>是你选择了那位冒险者吗……这样也好。<hex:02100103>哈提雅，请你原谅已经扭曲堕落的我。
