key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_000,没想到我们竟然也有拿到圣剑的这一天……<hex:02100103>面对那么强大的敌人，能拿回圣剑真是幸运。
1,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_100_030,我还没有自我介绍，我叫罗斯提克。<hex:02100103>在独自与帝国军战斗的时候，是白沙恩救下了陷入绝境的我，<hex:02100103>从那之后，我就加入了博兹雅义军。
2,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_100_040,上次和你见面应该还是我追寻着拉德万的足迹，<hex:02100103>前往艾欧泽亚的时候吧……<hex:02100103>能和他的弟子成为同伴真是让人心里有底啊。
3,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_050,话说回来，和那种大型舰队战斗的话，<hex:02100103>人数自然是越多越好。<hex:02100103>所以今后我也会在白沙恩的指挥下和你们共同行动。
4,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_055,第四军团召集了那么大规模的舰队却没有进攻，<hex:02100103>但似乎也没有撤回达尔马斯卡管区的意思……<hex:02100103>恐怕他们在扎杜诺尔高原另有目的。
5,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_060,第四军团的企图就交给白沙恩他们调查吧。<hex:02100103>我只要作为一名战士挥舞枪刃即可。
6,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_065,正如白沙恩所说，一个人的力量是有限的。<hex:02100103>但只要和同伴并肩作战，夺回祖国就绝非痴人说梦。
7,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_070,那些家伙真正的目的是古代亚拉戈帝国遗物吗……<hex:02100103>也就是说这里很可能埋藏着和究极神兵类似的兵器。<hex:02100103>为了夺回祖国，必须要阻止他们的企图才行！
8,TEXT_REGOTH4MYCROSTIK_00708_ROSTIK_000_075,
9,TEXT_REGOTH4MYCROSTIK_00708_TALK_ACTOR,
