key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGWIL5CHUCHUTO_00770_Q1_000_000,想要问些什么？
1,TEXT_REGWIL5CHUCHUTO_00770_A1_000_001,最近怎么样？
2,TEXT_REGWIL5CHUCHUTO_00770_A1_000_002,关于伊尔萨巴德救援队
3,TEXT_REGWIL5CHUCHUTO_00770_A1_000_003,取消
4,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_000,体力是格斗家的立身之本！<hex:02100103>给我好好吃、好好睡，每天都要有所进步才行啊！
5,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_010,格斗家之路就是毫不间断的锻炼！<hex:02100103><hex:022903EB0203>，来一起加油吧！
6,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_020,托你的福，入门志愿者也在顺利地增多！
7,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_021,要说我的话，每天可是都在忙着指导新人呢。<hex:02100103>不过等下面的弟子成长起来以后，<hex:02100103>我也打算开始做一些自己想做的事情。
8,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_022,我呢，想活用在救援队战斗时获得的经验，<hex:02100103>踏上巡回各地的武者修行。<hex:02100103>顺便也能像你一样帮助那些有困难的人们。
9,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_023,啊、这件事还没跟师父说过呢，也请你保密哦！<hex:02100103>现在光是行会的事情就已经忙不过来了，<hex:02100103>这件事估计得放到很久以后了吧！
10,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_100,救援队的任务自然是必须要做的，<hex:02100103>但我也得抽空完成行会的工作才行。
11,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_101,与他国的精锐一起行动，<hex:02100103>让我深深地感到了自己的实力不足。<hex:02100103>我必须变得更强才行！
12,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_110,伊尔萨巴德救援队的任务辛苦你了！<hex:02100103>在魔导工厂与你们分开后，<hex:02100103>我们也在那里与信徒们展开了战斗……
13,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_111,这让我重新认识到<hex:022903EB0203>你到底有多厉害，<hex:02100103>我从心底对你感到尊敬！<hex:02100103>因为你是所有人的希望啊。
14,TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_112,就在我也感到快要不行的时候，<hex:02100103>是你成为了我心中坚强的依靠，所以我才能撑了过来。<hex:02100103>谢谢你给与了我勇气和希望！
