key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_001,给你个忠告，克扎玛乌卡湿地中栖息着许多色彩鲜艳的野生动物。<hex:02100103>那大多是威胁敌人的警戒色。<hex:02100103>你可不要被那鲜艳的外表骗了，误以为它们没什么威胁。
1,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_002,哟，你终于来了。<hex:02100103>波尔·欧伽让我告诉你一些狩猎的信息。<hex:02100103>如果你想了解这片区域中危险的魔物，尽管来问我。
2,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_Q1_000_000,想了解什么？
3,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_001,关于B级怪物：林中巨鳄——撞角头
4,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_002,关于B级怪物：吃人的鱼怪——格佐亚库拜
5,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_003,关于A级怪物：雨中欢歌——惊雨蟾蜍
6,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_004,关于A级怪物：亢奋的怪鸟——普库恰
7,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_005,
8,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_006,取消
9,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_010,克扎玛乌卡湿地中水资源丰富，河岸随处可见，<hex:02100103>因此锤头鳄这类食肉性鳄鱼也广有分布，<hex:02100103>撞角头就是它的近亲。
10,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_011,它们虽然长得差不多，<hex:02100103>但撞角头的体形更为巨大，力量也和锤头鳄天差地别。<hex:02100103>它会用脑袋撞昏猎物，然后整个吞进胃里。
11,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_012,居民和家畜经常遭到它的袭击，<hex:02100103>如果你看见它了，请一定不要手下留情。<hex:02100103>我们必须履行好保护居民安全的使命。
12,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_020,在哈努语中，格佐亚库拜的意思是“吃人的鱼怪”。<hex:02100103>“鱼怪”指的是沼泽鬼鱼，这是哈努族特有的叫法。
13,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_021,顾名思义，正是因为它吃人，才会被通缉为恶名精英。<hex:02100103>如果置之不理，一定会有更多人命丧其口。
14,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_022,所以你能尽快帮我们解决它吗？<hex:02100103>哈努族善良淳朴，他们害怕的样子实在让我心碎。<hex:02100103>但只要格佐亚库拜还活着，居民们的恐惧就不会消失。
15,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_030,每隔一段时间，就会有一只红眼的毒蛙从泥里钻出来，<hex:02100103>袭击克扎玛乌卡湿地。人们叫它“惊雨蟾蜍”，<hex:02100103>它非常擅长水属性魔法，还喜欢和其他生物玩耍。
16,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_031,话虽如此，和它玩耍的一方通常都是被迫的，那叫一个遭罪。<hex:02100103>它的水属性魔法威力惊人，切胳膊断腿简直就是洒洒水的事情。
17,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_032,如果你要去讨伐它，我可以给你一个建议。<hex:02100103>它是只表演欲旺盛的蛤蟆，喜欢用叫声宣告自己的动作。<hex:02100103>所以只要在战斗时竖起耳朵，就能预判它的行动。
18,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_040,声名显赫的卓越武者佐拉加大人在儿时曾有过这样一段轶事。<hex:02100103>为了磨练剑术，他抓了一只巨喙蜂鸟到王宫里，<hex:02100103>当蜂鸟在四周飞速盘旋时，他便试图用木剑将其击落。
19,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_041,时光飞逝，佐拉加因此掌握了疾如电掣的剑术，<hex:02100103>同时，为了应对佐拉加的成长，那只巨喙蜂鸟也变得更加强大。<hex:02100103>某天，它挣脱了联王宫的束缚，飞向了外界的天空。
20,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_042,几年后，<hex:02100103>一只巨大的巨喙蜂鸟在克扎玛乌卡湿地肆虐逞威。<hex:02100103>许多人都联想到了佐拉加王子的轶事。
21,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_043,人们用佐拉加王子对练的那只巨喙蜂鸟的名字称呼它，<hex:02100103>想必也是出于这个原因吧。<hex:02100103>不过，没人能确定它们是不是同一只鸟。
22,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_050,
23,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_051,
24,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_052,
25,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_053,
