key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSMJICONTACTNPC_00807_OPERATORMAMMET_000_000,如果塔塔露联系过来的话，我会告诉你的！
1,TEXT_CTSMJICONTACTNPC_00807_OPERATORMAMMET_000_010,如果塔塔露再联系过来的话，我还是会提醒你的！
2,TEXT_CTSMJICONTACTNPC_00807_OPERATORMAMMET_000_020,欢迎！欢迎！<hex:02100103>希望你在岛上玩得开心！
3,TEXT_CTSMJICONTACTNPC_00807_OPERATORMAMMET_000_030,现在岛上正有客人拜访！<hex:02100103>希望客人们能在岛上度过一段愉快的时光！
4,TEXT_CTSMJICONTACTNPC_00807_OPERATORMAMMET_000_040,塔塔露打算再邀请一组客人来岛上拜访。<hex:02100103>如果她联系过来的话，我还是会提醒你的！
5,TEXT_CTSMJICONTACTNPC_00807_OPERATORMAMMET_000_050,
