key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_000,
1,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_001,
2,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_002,
3,TEXT_FESHLW2023TRANSFORM_00834_Q1_000_000,
4,TEXT_FESHLW2023TRANSFORM_00834_A1_000_001,
5,TEXT_FESHLW2023TRANSFORM_00834_A1_000_002,
6,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_003,
7,TEXT_FESHLW2023TRANSFORM_00834_Q2_000_000,
8,TEXT_FESHLW2023TRANSFORM_00834_A2_000_001,
9,TEXT_FESHLW2023TRANSFORM_00834_A2_000_002,
10,TEXT_FESHLW2023TRANSFORM_00834_A2_000_003,
11,TEXT_FESHLW2023TRANSFORM_00834_A2_000_004,
12,TEXT_FESHLW2023TRANSFORM_00834_A2_000_005,
13,TEXT_FESHLW2023TRANSFORM_00834_A2_000_006,
14,TEXT_FESHLW2023TRANSFORM_00834_A2_000_007,
15,TEXT_FESHLW2023TRANSFORM_00834_A2_100_008,
16,TEXT_FESHLW2023TRANSFORM_00834_A2_100_009,
17,TEXT_FESHLW2023TRANSFORM_00834_A2_100_010,
18,TEXT_FESHLW2023TRANSFORM_00834_A2_100_011,
19,TEXT_FESHLW2023TRANSFORM_00834_A2_100_012,
20,TEXT_FESHLW2023TRANSFORM_00834_A2_100_013,
21,TEXT_FESHLW2023TRANSFORM_00834_A2_100_014,
22,TEXT_FESHLW2023TRANSFORM_00834_A2_100_015,
23,TEXT_FESHLW2023TRANSFORM_00834_A2_000_009,
24,TEXT_FESHLW2023TRANSFORM_00834_A2_000_010,
25,TEXT_FESHLW2023TRANSFORM_00834_A2_000_011,
26,TEXT_FESHLW2023TRANSFORM_00834_A2_000_012,
27,TEXT_FESHLW2023TRANSFORM_00834_A2_000_013,
28,TEXT_FESHLW2023TRANSFORM_00834_A2_000_014,
29,TEXT_FESHLW2023TRANSFORM_00834_A2_000_015,
30,TEXT_FESHLW2023TRANSFORM_00834_A2_000_025,
31,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_004,
32,TEXT_FESHLW2023TRANSFORM_00834_SYSTEM_000_005,
33,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_010,
