key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_000,冒险者，关于打听到的有关索恩家的事情，<hex:02100103>你要是有不懂的地方都可以来问我。
1,TEXT_FESPDY2023ALDIYTHA_00810_Q1_000_000,想了解什么？
2,TEXT_FESPDY2023ALDIYTHA_00810_A1_000_001,关于大丁草的花冠
3,TEXT_FESPDY2023ALDIYTHA_00810_A1_000_002,关于福廷·索恩
4,TEXT_FESPDY2023ALDIYTHA_00810_A1_000_003,关于克劳迪娅·索恩
5,TEXT_FESPDY2023ALDIYTHA_00810_A1_000_004,关于索恩王朝
6,TEXT_FESPDY2023ALDIYTHA_00810_A1_000_005,关于扇子和公主之舞
7,TEXT_FESPDY2023ALDIYTHA_00810_A1_000_006,取消
8,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_001,“少女乃国之重宝，她们都是我的公主啊。”<hex:02100103>传承中巴尔德里克王发表如此宣言的事件之后，<hex:02100103>他每年都会有一天作为管家去侍奉平民女孩。
9,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_002,在那数年之后，那一年被选中为公主的女孩子<hex:02100103>将大丁草的花束赠送给了巴尔德里克王，<hex:02100103>当做他作为一日管家侍奉自己的谢礼。
10,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_003,国王当场命令侍从用那些花朵制作了两个花冠。<hex:02100103>然后国王还摘下了自己的王冠……<hex:02100103>将花冠戴在了自己和女孩子的头上，并笑称“这样就是一对了”……
11,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_004,从那以后，对于索恩家来说大丁草之花<hex:02100103>就成为了“祈愿女孩子幸福的花朵”。
12,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_005,怎么了？<hex:02100103>你是不是知道一些关于大丁草的花冠的事情？
13,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_006,原来如此，因为雇主的原因不方便告诉我吗……<hex:02100103>也对，你身为冒险者，<hex:02100103>肯定会有一些秘密的冒险故事。
14,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_007,不过说实话，你这么隐瞒我反而更感兴趣了。<hex:02100103>希望有朝一日你能给我讲讲你的秘密的冒险故事。
15,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_010,福廷·索恩既是我的父亲也是现任索恩家当家。<hex:02100103>父亲作为索恩家的代表，一直支持着女儿节的举行。
16,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_011,现在我知道了他这样做，<hex:02100103>不光是想保留索恩家族的传统，<hex:02100103>更是想要守护这充满了他与母亲相遇回忆的节日。
17,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_012,据说艾德薇雅公主和巴尔德里克王的关系曾经相当紧张，<hex:02100103>但在失踪事件之后二人就又和好了。<hex:02100103>我和我父亲也是一样的，现在我们两人之间的隔阂又少了一些。
18,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_015,我的母亲，克劳迪娅·索恩是索恩家的长女。<hex:02100103>听说她在我记事之前就病故了。
19,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_016,因为体弱多病，她很少出席贵族们的社交活动。<hex:02100103>不过相对地，在身体状态不错的时候她参加了女儿节，<hex:02100103>并在那时向父亲展示了公主之舞……
20,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_017,虽然关于母亲的事情我知道的还并不是很多，<hex:02100103>但从听到的消息来看，我有很多地方都和她相似。<hex:02100103>毕竟我的一切都继承自我的母亲。
21,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_020,乌尔达哈虽然是从乌尔朝开始的，<hex:02100103>但在历史上也曾有因争斗导致内政荒废的时期……<hex:02100103>而在那时，索恩家曾暂时代管整个国家。
22,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_021,这已经是350多年前的事情了。<hex:02100103>自那以后的100年间索恩家执行仁政，<hex:02100103>一点一点地解决了国家问题。
23,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_022,最后结束使命的索恩家将国家还给了乌尔家，<hex:02100103>直到现在都在默默地支援着乌尔达哈的发展。
24,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_025,“公主失踪事件”之后，<hex:02100103>艾德薇雅公主也成为了一位参加社交活动的淑女。
25,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_026,但是公主的活泼即使在成人之后也未曾改变。<hex:02100103>甚至手持本应用来遮挡脸部的扇子即兴起舞！
26,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_027,见此举动的国王与管家们很是吃惊，<hex:02100103>而贵族们却被那精彩的舞蹈所吸引拍手称赞。
27,TEXT_FESPDY2023ALDIYTHA_00810_ALDIYTHA_000_028,自那以后，艾德薇雅公主的舞蹈便被人们称为公主之舞，<hex:02100103>与扇子一同被索恩家的女性世代相传。
