key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4ENTRANCE_00942_VANTHAU_000_000,哎呀……？<hex:02100103>您看起来并没有准备好进行探索呢……。
1,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER,<hex:024804F2023503><hex:024904F2023603>挑战“巡礼漫步”<hex:0249020103><hex:0248020103>
2,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER3,<hex:024804F2023503><hex:024904F2023603>挑战“至极悲痛歼灭战”<hex:0249020103><hex:0248020103>
3,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER2,<hex:024804F2023503><hex:024904F2023603>挑战“至极悲痛诗想歼灭战”<hex:0249020103><hex:0248020103>
4,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_RESET,重置“通关进度”
5,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_BREAKUP,解散“固定队伍”
6,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_SCORE,查看“分数”
7,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ABOUT,查看说明
8,TEXT_CTSDDD4ENTRANCE_00942_OPEN_CONTENTS_NOTE,打开挑战笔记
9,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_TITLE,想做什么？
10,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_FIXED,以“固定队伍”进入
11,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_MATCHING,以“匹配队伍”进入
12,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_BACK,返回
13,TEXT_CTSDDD4ENTRANCE_00942_ENTER_FIXED_Q,要以“固定队伍”进入吗？
14,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MATCHING_Q,要以“匹配队伍”进入吗？
15,TEXT_CTSDDD4ENTRANCE_00942_VANTHAU_000_010,一个人去……？<hex:02100103>好大的勇气啊……我肯定会吓得瑟瑟发抖的……。<hex:02100103>拜托了，请一定要平安回来哦……。
16,TEXT_CTSDDD4ENTRANCE_00942_ENTER_SOLO,真的要一个人突入“巡礼漫步”吗？
17,TEXT_CTSDDD4ENTRANCE_00942_ENTER_WHICH_Q,要从哪里突入？
18,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A1,第1巡礼路
19,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A2,第21巡礼路
20,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A4,第31巡礼路
21,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A5,第51巡礼路
22,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A6,第71巡礼路
23,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A3,返回
24,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_TITLE_EG_NORMAL,<hex:024804F2023503><hex:024904F2023603>“至极悲痛歼灭战”是<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F2023503><hex:024904F2023603>一个可以重复挑战“T99”的<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F2023503><hex:024904F2023603>练习用副本。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>想做什么？
25,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_TOP_MENU_NEXT,<hex:024804F2023503><hex:024904F2023603>挑战下一巡礼路<hex:0249020103><hex:0248020103>
26,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_TOP_MENU_EXPLAIN,查看说明
27,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_Q,可以以现在的小队继续进行攻略。<hex:02100103>要前往下一层吗？
