key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4REWARD_00944_OSEWYDOSEWYD_000_000,好啦好啦，我也该准备一下了。<hex:02100103>既不用笔，也不用剑，就用我们工匠的方式，<hex:02100103>来帮助王之幼木吧！
1,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_010,我说过吧，我是个随性的工匠！<hex:02100103>只要您提供了“基础材料”，<hex:02100103>我就会献上精湛的技艺！
2,TEXT_CTSDDD4REWARD_00944_Q1_000_020,想做什么？
3,TEXT_CTSDDD4REWARD_00944_A1_000_021,交换道具
4,TEXT_CTSDDD4REWARD_00944_A1_100_021,兑换“光耀圣典”
5,TEXT_CTSDDD4REWARD_00944_A1_000_022,取出魔器装备
6,TEXT_CTSDDD4REWARD_00944_A1_000_023,制作“光耀魔器柄”
7,TEXT_CTSDDD4REWARD_00944_A1_000_024,听取说明
8,TEXT_CTSDDD4REWARD_00944_A1_000_025,取消
9,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_030,祭祀用的精美武器，也想在教会外使用？<hex:02100103>那就改日再来吧，我得稍微通融一下情理，<hex:02100103>让道理稍微退让一下！
10,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_031,要想把巡礼漫步用的魔器装备带到外面，<hex:02100103>需要先完成通关“T30”时触发的任务。
11,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_040,哎呀，别这么着急嘛。<hex:02100103>无论如何，都要等调查结束，并把结果拿出来之后，<hex:02100103>才能尽情地把玩它！
12,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_041,要制作“光耀魔器柄”，<hex:02100103>需要先完成通关“T30”时触发的任务。
13,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_050,嗯——还远远不够啊。<hex:02100103>无论是空荡荡的武器还是防具，都必须先恢复力量，<hex:02100103>才能体现出它们的“价值”……。
14,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_051,要制作“光耀魔器柄”，<hex:02100103>“魔器装备（武器/盾牌）”和“魔器装备（防具）”的强化值，<hex:02100103>都需要达到“10”以上。
15,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_052,啊，不错，装备的力量恢复了。<hex:02100103>那么，我就来制作魔器柄吧，<hex:02100103>就像悄悄地从人身上抽取灵魂一样！
16,TEXT_CTSDDD4REWARD_00944_Q2_000_053,要制作“光耀魔器柄”吗？<hex:02100103><hex:024804F201F403><hex:024904F201F503>※“魔器装备（武器/盾牌）”和“魔器装备（防具）”的<hex:02100103>　强化值将各减少“10”。<hex:0249020103><hex:0248020103>
17,TEXT_CTSDDD4REWARD_00944_Q3_000_060,想听什么？
18,TEXT_CTSDDD4REWARD_00944_A3_000_061,关于道具交换
19,TEXT_CTSDDD4REWARD_00944_A3_000_062,关于取出魔器装备
20,TEXT_CTSDDD4REWARD_00944_A3_000_063,返回
21,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_070,那当然，我可是仙子族。<hex:02100103>虽然幻梦是我的拿手好戏，但如果把那个交给您，您会生气吧？
22,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_071,因此呢，我只会制作等量的东西。<hex:02100103>请把遗留在教会内，带有魔力的魔器碎片，<hex:02100103>作为材料交给我吧！
23,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_072,此外，还有“特别的东西”等着您。<hex:02100103>如果是精美的宝石或香油，我会毫不客气地进行交换！
24,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_080,那些纤巧又奢华的魔器，会在祭祀中展现力量。<hex:02100103>但平时可是个麻烦……<hex:02100103>只要稍微磕碰一下，就会破碎或缺损！
25,TEXT_CTSDDD4REWARD_00944_OSEWYD_000_081,于是我就动了点心思。<hex:02100103>将它们在祭祀中的“状态”抽出、揉搓、塑形、定型。<hex:02100103>只要收集起来，其易用性可比真品强多了！
26,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_082,要想取出“初光装备”，<hex:02100103>就需要“光耀魔器柄”。<hex:02100103>可以带到外面的，只有武器和盾牌。
27,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_083,“光耀魔器柄”可以通过<hex:02100103>消耗“魔器装备（武器/盾牌）”和“魔器装备（防具）”的强化值各“10”来制作。
28,TEXT_CTSDDD4REWARD_00944_SYSTEM_000_084,另外，要进行这些制作和取出操作，<hex:02100103>需要完成在巡礼漫步中通关“T30”时触发的任务。
