key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_000,
1,TEXT_FESXMS2024GUIDE_00910_Q1_000_001,
2,TEXT_FESXMS2024GUIDE_00910_A1_000_001,
3,TEXT_FESXMS2024GUIDE_00910_A1_000_002,
4,TEXT_FESXMS2024GUIDE_00910_A1_000_003,
5,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_010,
6,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_011,
7,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_012,
8,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_013,
9,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_014,
10,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_020,
11,TEXT_FESXMS2024GUIDE_00910_GUIDEXMS2024_000_021,
