key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CLSARC006_00076_SEQ_00,弓箭手行会的会长吕西安娜身边好像发生了什么争执……
1,TEXT_CLSARC006_00076_SEQ_01,西尔瓦尔为了掌握帕瓦·姆茱克的线索，打算孤身一人前往偷猎者的据点。即刻前往南部林区，阻止西尔瓦尔。
2,TEXT_CLSARC006_00076_SEQ_02,为了扰乱帕瓦·姆茱克一伙的行动，在位于南部林区空居东边的泉水中吹响骨制警笛。
3,TEXT_CLSARC006_00076_SEQ_03,击退了偷猎者一伙，成功捕获了帕瓦·姆茱克。回到弓箭手行会，向吕西安娜报告。
4,TEXT_CLSARC006_00076_SEQ_04,吕西安娜说，冒险者用其双眼和弓，帮助了蕾伊和西尔瓦尔，并为捕获帕瓦·姆茱克出了一份力。冒险者已经掌握了“看”——这一弓术精髓。作为完成了弓箭手行会试炼的证明，吕西安娜传授了“风蚀箭”。牢记吕西安娜、蕾伊、西尔瓦尔所教的东西，坚信自己的双眼，继续在弓箭手的道路上走下去。
5,TEXT_CLSARC006_00076_SEQ_05,空
6,TEXT_CLSARC006_00076_SEQ_06,空
7,TEXT_CLSARC006_00076_SEQ_07,空
8,TEXT_CLSARC006_00076_SEQ_08,空
9,TEXT_CLSARC006_00076_SEQ_09,空
10,TEXT_CLSARC006_00076_SEQ_10,空
11,TEXT_CLSARC006_00076_SEQ_11,空
12,TEXT_CLSARC006_00076_SEQ_12,空
13,TEXT_CLSARC006_00076_SEQ_13,空
14,TEXT_CLSARC006_00076_SEQ_14,空
15,TEXT_CLSARC006_00076_SEQ_15,空
16,TEXT_CLSARC006_00076_SEQ_16,空
17,TEXT_CLSARC006_00076_SEQ_17,空
18,TEXT_CLSARC006_00076_SEQ_18,空
19,TEXT_CLSARC006_00076_SEQ_19,空
20,TEXT_CLSARC006_00076_SEQ_20,空
21,TEXT_CLSARC006_00076_SEQ_21,空
22,TEXT_CLSARC006_00076_SEQ_22,空
23,TEXT_CLSARC006_00076_SEQ_23,空
24,TEXT_CLSARC006_00076_TODO_00,和南部林区的西尔瓦尔对话
25,TEXT_CLSARC006_00076_TODO_01,在指定地点吹响骨制警笛
26,TEXT_CLSARC006_00076_TODO_02,向弓箭手行会的吕西安娜报告
27,TEXT_CLSARC006_00076_TODO_03,空
28,TEXT_CLSARC006_00076_TODO_04,空
29,TEXT_CLSARC006_00076_TODO_05,空
30,TEXT_CLSARC006_00076_TODO_06,空
31,TEXT_CLSARC006_00076_TODO_07,空
32,TEXT_CLSARC006_00076_TODO_08,空
33,TEXT_CLSARC006_00076_TODO_09,空
34,TEXT_CLSARC006_00076_TODO_10,空
35,TEXT_CLSARC006_00076_TODO_11,空
36,TEXT_CLSARC006_00076_TODO_12,空
37,TEXT_CLSARC006_00076_TODO_13,空
38,TEXT_CLSARC006_00076_TODO_14,空
39,TEXT_CLSARC006_00076_TODO_15,空
40,TEXT_CLSARC006_00076_TODO_16,空
41,TEXT_CLSARC006_00076_TODO_17,空
42,TEXT_CLSARC006_00076_TODO_18,空
43,TEXT_CLSARC006_00076_TODO_19,空
44,TEXT_CLSARC006_00076_TODO_20,空
45,TEXT_CLSARC006_00076_TODO_21,空
46,TEXT_CLSARC006_00076_TODO_22,空
47,TEXT_CLSARC006_00076_TODO_23,空
48,TEXT_CLSARC006_00076_LEIHALIAPOH_000_1,<hex:022903EB0203>！<hex:02100103>你来得正好……<hex:02100103>快劝劝西尔瓦尔！
49,TEXT_CLSARC006_00076_LUCIANE_000_2,你太乱来了，西尔瓦尔。<hex:02100103>至少要等双蛇党的协助……
50,TEXT_CLSARC006_00076_SILVAIRRE_000_3,帕瓦一伙马上就要转移了，已经没有时间了。<hex:02100103>等双蛇党准备好，那些家伙早就逃走了。
51,TEXT_CLSARC006_00076_SILVAIRRE_000_4,我必须要尽快潜入偷猎者的据点，<hex:02100103>让他们吐出有关帕瓦的情报。<hex:02100103>只有一个弓箭手的话，那些家伙也会放松警惕吧。
52,TEXT_CLSARC006_00076_LEIHALIAPOH_000_5,西尔瓦尔……<hex:02100103>我明白你现在的心情，但也不能过于鲁莽啊。<hex:02100103>至少要和我，还有<hex:022903EB0203>3个人一起……
53,TEXT_CLSARC006_00076_SILVAIRRE_000_6,……哼。<hex:02100103>冒险者和护月之民能懂什么？
54,TEXT_CLSARC006_00076_LUCIANE_000_7,西尔瓦尔！
55,TEXT_CLSARC006_00076_LEIHALIAPOH_000_8,我懂的……故乡也好，为同伴而战的信念也好。<hex:02100103>用心观察和体会周围的事与物，奋力而战。
56,TEXT_CLSARC006_00076_LEIHALIAPOH_000_9,我在这个行会中学到了“看”的意义。<hex:02100103>我能清楚地看到我们身上都肩负着保护同伴的责任，<hex:02100103>那是无比重要的责任。
57,TEXT_CLSARC006_00076_SILVAIRRE_000_10,……我从来没有把你们当做同伴。<hex:02100103>你们只会碍事，不许跟过来。
58,TEXT_CLSARC006_00076_LEIHALIAPOH_000_11,……真是个笨蛋。<hex:02100103><hex:022903EB0203>，你注意到了吗？<hex:02100103>那家伙又“用手遮住了嘴”。
59,TEXT_CLSARC006_00076_LEIHALIAPOH_000_12,他是不想让我们受到牵连，所以才说的谎。<hex:02100103>我们走，去南部林区！一定要阻止那家伙！
60,TEXT_CLSARC006_00076_SILVAIRRE_000_21,唔……竟然会在这种地方……
61,TEXT_CLSARC006_00076_LEIHALIAPOH_000_22,西尔瓦尔！
62,TEXT_CLSARC006_00076_SILVAIRRE_000_23,蕾伊？<hex:022903EB0203>？！<hex:02100103>你们为什么跟过来！我不是说过你们只会碍事吗！
63,TEXT_CLSARC006_00076_LEIHALIAPOH_000_24,不要小看我们。<hex:02100103>想要骗过弓箭手的眼睛可不是那么容易的！
64,TEXT_CLSARC006_00076_LEIHALIAPOH_000_25,<hex:022903EB0203>，我们把这些追兵击垮！
65,TEXT_CLSARC006_00076_SILVAIRRE_000_30,……我已经说过了。<hex:02100103>我从没有把你们当做同伴。
66,TEXT_CLSARC006_00076_LEIHALIAPOH_000_31,你根本就没有看清你自己。<hex:02100103>你在说谎的时候，会用手遮住嘴巴。<hex:02100103>这个小动作连你自己都没有察觉吧！
67,TEXT_CLSARC006_00076_SILVAIRRE_000_32,……
68,TEXT_CLSARC006_00076_LEIHALIAPOH_000_33,要认真观察对方的动作，不漏掉一丝细节。<hex:02100103>通过观察，了解其特性，然后考虑如何行动。
69,TEXT_CLSARC006_00076_LEIHALIAPOH_000_34,这是我跟吕西安娜，<hex:022903EB0203>……<hex:02100103>还有西尔瓦尔你……学到的东西。
70,TEXT_CLSARC006_00076_LEIHALIAPOH_000_35,的确，我们不够了解格里达尼亚。<hex:02100103>所以你要多告诉我们一些，<hex:02100103>多让我们看一些这座城市的魅力之处啊。
71,TEXT_CLSARC006_00076_SILVAIRRE_000_36,……哼。<hex:02100103>那好吧，就当抵消这次欠你们的。
