key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_GAIUSE410_00078_SEQ_00,阿德内尔占星台的阿尔菲诺，想和冒险者一起听取伊尔伯德的报告。
1,TEXT_GAIUSE410_00078_SEQ_01,听取了伊尔伯德的报告，得知了恒辉队内加雷马帝国密探的搜查进展。在抓捕到的密探中，有人把供应给丧灵钟开拓团的支援物资情报卖给异端者的支持者——库尔札斯商人。异端者之所以能够准确无误地袭击运输队，正是因为他们掌握了帝国密探提供的情报。虽然目前尚未得知异端者与帝国密探勾结的理由，但统领异端者的“常春藤”的真面目已经逐渐浮出了水面。另一方面，加雷马帝国内部也发生了巨变，三大城邦的领袖为此集结到了一起。再次和阿德内尔占星台的阿尔菲诺谈谈。
2,TEXT_GAIUSE410_00078_SEQ_02,和阿尔菲诺进行了交谈。据他所说，三大城邦的领袖将在格里达尼亚举行会谈。前往格里达尼亚的丰饶神祭坛，和阿尔菲诺汇合。
3,TEXT_GAIUSE410_00078_SEQ_03,和阿尔菲诺顺利汇合。寂静的法师会带领冒险者前往会谈场地。
4,TEXT_GAIUSE410_00078_SEQ_04,和阿尔菲诺汇合，参加了三大城邦领袖的会谈。得知加雷马帝国的初代皇帝——索鲁斯·佐斯·加尔乌斯驾崩，孙辈大将军瓦厉斯·耶·加尔乌斯将作为瓦厉斯·佐斯·加尔乌斯继位，成为帝国的二代皇帝。由此一来，帝国将结束内乱，从而再次进攻艾欧泽亚。嘉恩·艾提议，趁新皇帝巩固国内体制之时，加强三大城邦的凝聚力，并要拉拢伊修加德再次加入艾欧泽亚同盟军。和丰饶神祭坛的阿尔菲诺谈谈，共同探讨今后的对策。
5,TEXT_GAIUSE410_00078_SEQ_05,和阿尔菲诺进行了交谈。前去调查加雷马帝国密探的伊尔伯德已掌握了关于常春藤真面目的有力情报。前往格里达尼亚的以太之光广场，协助伊尔伯德逮捕常春藤。
6,TEXT_GAIUSE410_00078_SEQ_06,和伊尔伯德顺利汇合。为逮捕常春藤，冒险者等人开始了新一轮的搜查。
7,TEXT_GAIUSE410_00078_SEQ_07,无
8,TEXT_GAIUSE410_00078_SEQ_08,无
9,TEXT_GAIUSE410_00078_SEQ_09,无
10,TEXT_GAIUSE410_00078_SEQ_10,无
11,TEXT_GAIUSE410_00078_SEQ_11,无
12,TEXT_GAIUSE410_00078_SEQ_12,无
13,TEXT_GAIUSE410_00078_SEQ_13,无
14,TEXT_GAIUSE410_00078_SEQ_14,无
15,TEXT_GAIUSE410_00078_SEQ_15,无
16,TEXT_GAIUSE410_00078_SEQ_16,无
17,TEXT_GAIUSE410_00078_SEQ_17,无
18,TEXT_GAIUSE410_00078_SEQ_18,无
19,TEXT_GAIUSE410_00078_SEQ_19,无
20,TEXT_GAIUSE410_00078_SEQ_20,无
21,TEXT_GAIUSE410_00078_SEQ_21,无
22,TEXT_GAIUSE410_00078_SEQ_22,无
23,TEXT_GAIUSE410_00078_SEQ_23,
24,TEXT_GAIUSE410_00078_TODO_00,和阿尔菲诺对话
25,TEXT_GAIUSE410_00078_TODO_01,和格里达尼亚的阿尔菲诺对话
26,TEXT_GAIUSE410_00078_TODO_02,和寂静的法师对话
27,TEXT_GAIUSE410_00078_TODO_03,和阿尔菲诺对话
28,TEXT_GAIUSE410_00078_TODO_04,和以太之光广场的伊尔伯德对话
29,TEXT_GAIUSE410_00078_TODO_05,无
30,TEXT_GAIUSE410_00078_TODO_06,无
31,TEXT_GAIUSE410_00078_TODO_07,无
32,TEXT_GAIUSE410_00078_TODO_08,无
33,TEXT_GAIUSE410_00078_TODO_09,无
34,TEXT_GAIUSE410_00078_TODO_10,无
35,TEXT_GAIUSE410_00078_TODO_11,无
36,TEXT_GAIUSE410_00078_TODO_12,无
37,TEXT_GAIUSE410_00078_TODO_13,无
38,TEXT_GAIUSE410_00078_TODO_14,无
39,TEXT_GAIUSE410_00078_TODO_15,无
40,TEXT_GAIUSE410_00078_TODO_16,无
41,TEXT_GAIUSE410_00078_TODO_17,无
42,TEXT_GAIUSE410_00078_TODO_18,无
43,TEXT_GAIUSE410_00078_TODO_19,无
44,TEXT_GAIUSE410_00078_TODO_20,无
45,TEXT_GAIUSE410_00078_TODO_21,无
46,TEXT_GAIUSE410_00078_TODO_22,无
47,TEXT_GAIUSE410_00078_TODO_23,
48,TEXT_GAIUSE410_00078_ALPHINAUD_000_001,伊尔伯德队长，辛苦了，<hex:02100103>请报告一下进展。
49,TEXT_GAIUSE410_00078_ILBERD_000_002,是！<hex:02100103>首先，我们对英雄抓捕来的异端者进行了审讯，<hex:02100103>结果他们并不知道蛮神希瓦的事情。
50,TEXT_GAIUSE410_00078_ILBERD_000_003,因此我们已经把异端者转交给伊修加德方面，<hex:02100103>今后会由他们继续进行审问。
51,TEXT_GAIUSE410_00078_ILBERD_000_004,不过，倒也不是一点收获都没有。<hex:02100103>我们弄清楚了异端者掌握物资运输计划的原因。
52,TEXT_GAIUSE410_00078_ALPHINAUD_000_005,……快快向我说明。
53,TEXT_GAIUSE410_00078_ILBERD_000_006,这还要从帝国密探的事件说起……<hex:02100103>我们以先前掌握的情报为线索，<hex:02100103>顺藤摸瓜查出了几个有嫌疑的人，但线索至此便断了。
54,TEXT_GAIUSE410_00078_ILBERD_000_007,考虑到侦察行动可能已经暴露，<hex:02100103>因此我们一口气把所有有嫌疑的人抓了起来，<hex:02100103>总共有5名。
55,TEXT_GAIUSE410_00078_ILBERD_000_008,其中有一人是负责丧灵钟开拓团支援任务的<hex:02100103>恒辉队辎重部队的一员。
56,TEXT_GAIUSE410_00078_ILBERD_000_009,该人负责检点送往丧灵钟开拓团的物资，<hex:02100103>以防和其他城邦运输的物资有冲突。<hex:02100103>因此，他便掌握了所有城邦的支援情况。
57,TEXT_GAIUSE410_00078_ILBERD_000_010,这次遇袭的福尔唐家的物资也是，<hex:02100103>他连物资内容和运送路线都了如指掌。
58,TEXT_GAIUSE410_00078_ILBERD_000_011,然后，他把这些情报，<hex:02100103>卖给了出入库尔札斯的商人……
59,TEXT_GAIUSE410_00078_ALPHINAUD_000_012,就是刚才那个……
60,TEXT_GAIUSE410_00078_ILBERD_000_013,没错。<hex:02100103>通过审问，得知买走情报的商人是异端者的支持者。
61,TEXT_GAIUSE410_00078_ALPHINAUD_000_014,原来如此，<hex:02100103>这样一来，异端者的情报来源就搞清楚了。<hex:02100103>但问题是密探们的主谋，也就是至今尚未现身的那个常春藤。
62,TEXT_GAIUSE410_00078_ILBERD_000_015,关于此人，我们也有了眉目。<hex:02100103>因为线索断得实在是太不自然了。
63,TEXT_GAIUSE410_00078_ILBERD_000_016,调查密探这件事，乃是重要机密，<hex:02100103>就算在恒辉队里，也只有包含局长在内的个别几人知道。
64,TEXT_GAIUSE410_00078_ILBERD_000_017,在这之中，积累了常年的人脉，<hex:02100103>又有权干涉人事，能抹消掉协助、参与人员踪迹的人……
