key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CLSALC001_00190_SEQ_00,
1,TEXT_CLSALC001_00190_SEQ_01,
2,TEXT_CLSALC001_00190_SEQ_02,
3,TEXT_CLSALC001_00190_SEQ_03,
4,TEXT_CLSALC001_00190_SEQ_04,
5,TEXT_CLSALC001_00190_SEQ_05,
6,TEXT_CLSALC001_00190_SEQ_06,
7,TEXT_CLSALC001_00190_SEQ_07,
8,TEXT_CLSALC001_00190_SEQ_08,
9,TEXT_CLSALC001_00190_SEQ_09,
10,TEXT_CLSALC001_00190_SEQ_10,
11,TEXT_CLSALC001_00190_SEQ_11,
12,TEXT_CLSALC001_00190_SEQ_12,
13,TEXT_CLSALC001_00190_SEQ_13,
14,TEXT_CLSALC001_00190_SEQ_14,
15,TEXT_CLSALC001_00190_SEQ_15,
16,TEXT_CLSALC001_00190_SEQ_16,
17,TEXT_CLSALC001_00190_SEQ_17,
18,TEXT_CLSALC001_00190_SEQ_18,
19,TEXT_CLSALC001_00190_SEQ_19,
20,TEXT_CLSALC001_00190_SEQ_20,
21,TEXT_CLSALC001_00190_SEQ_21,
22,TEXT_CLSALC001_00190_SEQ_22,
23,TEXT_CLSALC001_00190_SEQ_23,
24,TEXT_CLSALC001_00190_TODO_00,
25,TEXT_CLSALC001_00190_TODO_01,
26,TEXT_CLSALC001_00190_TODO_02,
27,TEXT_CLSALC001_00190_TODO_03,
28,TEXT_CLSALC001_00190_TODO_04,
29,TEXT_CLSALC001_00190_TODO_05,
30,TEXT_CLSALC001_00190_TODO_06,
31,TEXT_CLSALC001_00190_TODO_07,
32,TEXT_CLSALC001_00190_TODO_08,
33,TEXT_CLSALC001_00190_TODO_09,
34,TEXT_CLSALC001_00190_TODO_10,
35,TEXT_CLSALC001_00190_TODO_11,
36,TEXT_CLSALC001_00190_TODO_12,
37,TEXT_CLSALC001_00190_TODO_13,
38,TEXT_CLSALC001_00190_TODO_14,
39,TEXT_CLSALC001_00190_TODO_15,
40,TEXT_CLSALC001_00190_TODO_16,
41,TEXT_CLSALC001_00190_TODO_17,
42,TEXT_CLSALC001_00190_TODO_18,
43,TEXT_CLSALC001_00190_TODO_19,
44,TEXT_CLSALC001_00190_TODO_20,
45,TEXT_CLSALC001_00190_TODO_21,
46,TEXT_CLSALC001_00190_TODO_22,
47,TEXT_CLSALC001_00190_TODO_23,
48,TEXT_CLSALC001_00190_DEITRICH_000,……你是冒险者吗？<hex:02100103>这里是炼金术士行会，是炼金术士汇聚一堂，<hex:02100103>全身心地投入到对智慧的无尽探求上的地方。
49,TEXT_CLSALC001_00190_DEITRICH_001,炼金术士的主要工作是调配药剂。<hex:02100103>治疗创伤及身体不适的药剂自不必说，要是娴熟的术士的话，<hex:02100103>连提高身体能力的药剂都可以做出来。
50,TEXT_CLSALC001_00190_DEITRICH_002,要是冒险者的话，就能懂得它的实用性了吧。<hex:02100103>……怎么样，要不要在炼金术士行会学习呢？
51,TEXT_CLSALC001_00190_Q1_1,你想要加入炼金术士行会吗？
52,TEXT_CLSALC001_00190_A1_1,是
53,TEXT_CLSALC001_00190_A1_2,否
54,TEXT_CLSALC001_00190_DEITRICH_010,唔！居然对我的说明不感兴趣……<hex:02100103>想必你对我们的行会会长有所耳闻吧？
55,TEXT_CLSALC001_00190_DEITRICH_011,也罢。以半吊子的态度学习的话，<hex:02100103>只不过是在浪费时间而已。
56,TEXT_CLSALC001_00190_DEITRICH_020,哎呀，你还是一名初出茅庐的冒险者。<hex:02100103>现在你还不具备加入炼金术士行会的资格。
57,TEXT_CLSALC001_00190_DEITRICH_021,实在抱歉，邀请你之前我就应该察觉到才是。<hex:02100103>请你作为一名冒险者积累经验后，<hex:02100103>再告诉我你的答案。
58,TEXT_CLSALC001_00190_SYS_022,要想学习其他职业的本领，<hex:02100103>就要完成最开始选择的“战斗职业”的10级职业任务。
59,TEXT_CLSALC001_00190_DEITRICH_030,可以了，在办正式手续之前，<hex:02100103>我来给你讲讲炼金术及行会的历史。
60,TEXT_CLSALC001_00190_DEITRICH_031,如今被当做制药人的炼金术士，<hex:02100103>其由来是人们未曾实现的梦想……<hex:02100103>即把常见金属转化为金、银的梦想。
61,TEXT_CLSALC001_00190_DEITRICH_032,传说中能够将其实现的触媒贤者之石，<hex:02100103>它不仅可治百病，还可以带来永恒的生命。
62,TEXT_CLSALC001_00190_DEITRICH_033,对炼制贤者之石的探求心，<hex:02100103>带动了炼金术中药剂调配技术的发展。
63,TEXT_CLSALC001_00190_DEITRICH_034,但是，炼金术的可能性并没有很快传达给人民。<hex:02100103>反而作为异端的秘术被众人所忌讳。
64,TEXT_CLSALC001_00190_DEITRICH_035,后来是培养御医的福隆戴尔药学院<hex:02100103>将其与医学、药剂学整合在一起，<hex:02100103>使之作为正式的一门学问被众人所认知。
65,TEXT_CLSALC001_00190_DEITRICH_036,此后，为了寻求自由的研究场所，<hex:02100103>各地的炼金术士开始聚集在乌尔达哈，<hex:02100103>作为共享技术的场所，炼金术士行会也由此成立了。
66,TEXT_CLSALC001_00190_DEITRICH_037,对于炼金术士行会而言，<hex:02100103>重要的不仅是共享技术和研究材料，<hex:02100103>维护炼金术本身的信心也是很重要的。
67,TEXT_CLSALC001_00190_DEITRICH_038,在享受炼金术带来的恩惠的同时，<hex:02100103>也承担着炼金术带来的责任……<hex:02100103>如果你下定了决心，就再来与我交谈吧。
