key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CLSCUL001_00191_SEQ_00,
1,TEXT_CLSCUL001_00191_SEQ_01,
2,TEXT_CLSCUL001_00191_SEQ_02,
3,TEXT_CLSCUL001_00191_SEQ_03,
4,TEXT_CLSCUL001_00191_SEQ_04,
5,TEXT_CLSCUL001_00191_SEQ_05,
6,TEXT_CLSCUL001_00191_SEQ_06,
7,TEXT_CLSCUL001_00191_SEQ_07,
8,TEXT_CLSCUL001_00191_SEQ_08,
9,TEXT_CLSCUL001_00191_SEQ_09,
10,TEXT_CLSCUL001_00191_SEQ_10,
11,TEXT_CLSCUL001_00191_SEQ_11,
12,TEXT_CLSCUL001_00191_SEQ_12,
13,TEXT_CLSCUL001_00191_SEQ_13,
14,TEXT_CLSCUL001_00191_SEQ_14,
15,TEXT_CLSCUL001_00191_SEQ_15,
16,TEXT_CLSCUL001_00191_SEQ_16,
17,TEXT_CLSCUL001_00191_SEQ_17,
18,TEXT_CLSCUL001_00191_SEQ_18,
19,TEXT_CLSCUL001_00191_SEQ_19,
20,TEXT_CLSCUL001_00191_SEQ_20,
21,TEXT_CLSCUL001_00191_SEQ_21,
22,TEXT_CLSCUL001_00191_SEQ_22,
23,TEXT_CLSCUL001_00191_SEQ_23,
24,TEXT_CLSCUL001_00191_TODO_00,
25,TEXT_CLSCUL001_00191_TODO_01,
26,TEXT_CLSCUL001_00191_TODO_02,
27,TEXT_CLSCUL001_00191_TODO_03,
28,TEXT_CLSCUL001_00191_TODO_04,
29,TEXT_CLSCUL001_00191_TODO_05,
30,TEXT_CLSCUL001_00191_TODO_06,
31,TEXT_CLSCUL001_00191_TODO_07,
32,TEXT_CLSCUL001_00191_TODO_08,
33,TEXT_CLSCUL001_00191_TODO_09,
34,TEXT_CLSCUL001_00191_TODO_10,
35,TEXT_CLSCUL001_00191_TODO_11,
36,TEXT_CLSCUL001_00191_TODO_12,
37,TEXT_CLSCUL001_00191_TODO_13,
38,TEXT_CLSCUL001_00191_TODO_14,
39,TEXT_CLSCUL001_00191_TODO_15,
40,TEXT_CLSCUL001_00191_TODO_16,
41,TEXT_CLSCUL001_00191_TODO_17,
42,TEXT_CLSCUL001_00191_TODO_18,
43,TEXT_CLSCUL001_00191_TODO_19,
44,TEXT_CLSCUL001_00191_TODO_20,
45,TEXT_CLSCUL001_00191_TODO_21,
46,TEXT_CLSCUL001_00191_TODO_22,
47,TEXT_CLSCUL001_00191_TODO_23,
48,TEXT_CLSCUL001_00191_CHARLYS_000_1,客人，这里是“烹调师行会”。<hex:02100103>如果您想在“俾斯麦餐厅”就餐，<hex:02100103>请到外面的桌边……
49,TEXT_CLSCUL001_00191_CHARLYS_000_2,啊呀，弄错了吗？<hex:02100103>那么您是想成为烹调各种食材，<hex:02100103>填饱人们的肚子和心灵的“烹调师”吗？
50,TEXT_CLSCUL001_00191_CHARLYS_000_3,那么，推荐您加入统领烹调师的“烹调师行会”。
51,TEXT_CLSCUL001_00191_Q1_000_1,你想要加入烹调师行会吗？
52,TEXT_CLSCUL001_00191_A1_000_1,是
53,TEXT_CLSCUL001_00191_A1_000_2,否
54,TEXT_CLSCUL001_00191_CHARLYS_000_11,唔，这可真是失礼了。<hex:02100103>是我太武断了。
55,TEXT_CLSCUL001_00191_CHARLYS_000_12,那么客人，请到桌边去点单。<hex:02100103>如果您改变了主意，请和我打招呼。<hex:02100103>我会向您介绍行会的相关情况。
56,TEXT_CLSCUL001_00191_CHARLYS_000_15,说句失礼的话，客人您作为一名冒险者似乎还不够成熟。<hex:02100103>首先专心把客人现在正在学习的技能磨练娴熟比较好。
57,TEXT_CLSCUL001_00191_CHARLYS_000_16,那之后再来学烹调也不迟。<hex:02100103>客人请积累经验后再来行会，<hex:02100103>我们衷心期待您的光临。
58,TEXT_CLSCUL001_00191_SYSTEM_17,想要学习其他职业的本领，<hex:02100103>就要完成最开始选择的“战斗职业”的10级职业任务。
59,TEXT_CLSCUL001_00191_CHARLYS_000_21,……原来如此，你想成为烹调师？<hex:02100103>那么就不对你打正儿八经的官腔了，<hex:02100103>现在说明一下我们行会的相关情况。
60,TEXT_CLSCUL001_00191_CHARLYS_000_22,原本，利姆萨·罗敏萨就是<hex:02100103>山珍海味食材都很丰富的城邦。
61,TEXT_CLSCUL001_00191_CHARLYS_000_23,加上商船往来，<hex:02100103>丰富多彩的异国食材和调味料也传了进来。<hex:02100103>其中还包括记录了烹调方法的菜谱。
62,TEXT_CLSCUL001_00191_CHARLYS_000_24,有个伟大的人，<hex:02100103>把这些数量庞大的菜谱收集起来整理成了体系。<hex:02100103>那个人就是行会的创建者、沙克克里瓦提督。
63,TEXT_CLSCUL001_00191_CHARLYS_000_25,他不光是个美食家，自己也成天泡在军舰的厨房里，<hex:02100103>热爱烹调的他在挑战这项伟大事业的过程中，<hex:02100103>创立了行会，确立了近代烹调方法。
64,TEXT_CLSCUL001_00191_CHARLYS_000_26,当然，行会的职责不仅限于收集菜谱。<hex:02100103>开创前所未有的新菜肴也是很重要的工作。
65,TEXT_CLSCUL001_00191_CHARLYS_000_27,让你这样的冒险者加入行会，就是为了创新。<hex:02100103>简单说来，冒险者好比食材，装入行会这口锅中，<hex:02100103>创造出新的美味。
66,TEXT_CLSCUL001_00191_CHARLYS_000_28,我们的行会会长林格萨斯，<hex:02100103>就是那种富有激情、积极向上的人。<hex:02100103>只要得到他的认可，就能加入烹调师行会。
67,TEXT_CLSCUL001_00191_CHARLYS_000_29,把你的手放在胸前，确认你对烹调的热情。<hex:02100103>如果你的热情越来越高涨，就来和我打招呼。<hex:02100103>我介绍林格萨斯会长给你认识。
