key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_SUBLAK003_00100_SEQ_00,多玛冒险者团的阳山想要开始调查。
1,TEXT_SUBLAK003_00100_SEQ_01,多玛冒险者团决定对可疑的拉拉菲尔族四人组进行调查。前往摩杜纳丧灵钟的东南门附近，和小春谈谈。
2,TEXT_SUBLAK003_00100_SEQ_02,小春对那里的拉拉菲尔族们进行了确认。那里的拉拉菲尔族们的确是小春看见的四人组的成员。为了确认他们是否是犯人冒险者团上演了一出戏，四人组是犯人的可能性很高。和废弃营地以东的阳山谈谈。
3,TEXT_SUBLAK003_00100_SEQ_03,和躲在废弃营地附近的岩石后面的阳山进行了交谈。没过多久，拉拉菲尔族四人组带着<hex:022811FF0A>EventItem<hex:F61E8A370103>现身了。四人组的头目伽伽鲁亚注意到这是为了诱出他们设下的圈套，他指示他的同伴们对多玛冒险者团进行制裁。和废弃营地以东的伽伽鲁亚谈谈，如果对方发起攻击的话就将其击退。
4,TEXT_SUBLAK003_00100_SEQ_04,伽伽鲁亚的同伴们发动了攻击，但被冒险者等人击退了。再次跟伽伽鲁亚谈谈。
5,TEXT_SUBLAK003_00100_SEQ_05,伽伽鲁亚等人注意到了冒险者的真实身份。逞强的伽伽鲁亚等人虚张声势将冒险者团的注意力吸引至上空，然后一溜烟地跑了。获取放置在废弃营地的<hex:022811FF0A>EventItem<hex:F61E8A370103>。
6,TEXT_SUBLAK003_00100_SEQ_06,获取了罗薇娜被盗的<hex:022811FF0A>EventItem<hex:F61E8A370103>。向废弃营地以东的阳山报告。
7,TEXT_SUBLAK003_00100_SEQ_07,告诉阳山已经拿回了<hex:022811FF0A>EventItem<hex:F61E8A370103>。将<hex:022811FF0A>EventItem<hex:F61E8A370103>交给丧灵钟的斯拉佛伯恩。
8,TEXT_SUBLAK003_00100_SEQ_08,将<hex:022811FF0A>EventItem<hex:F61E8A370103>交给了斯拉佛伯恩。斯拉佛伯恩在得知孩子们从伽伽鲁亚等人手中夺回了<hex:022811FF0A>EventItem<hex:F61E8A370103>时感到非常惊讶。得到斯拉佛伯恩认可的多玛冒险者团的小冒险者们满足地离去了。
9,TEXT_SUBLAK003_00100_SEQ_09,空
10,TEXT_SUBLAK003_00100_SEQ_10,空
11,TEXT_SUBLAK003_00100_SEQ_11,空
12,TEXT_SUBLAK003_00100_SEQ_12,空
13,TEXT_SUBLAK003_00100_SEQ_13,空
14,TEXT_SUBLAK003_00100_SEQ_14,空
15,TEXT_SUBLAK003_00100_SEQ_15,空
16,TEXT_SUBLAK003_00100_SEQ_16,空
17,TEXT_SUBLAK003_00100_SEQ_17,空
18,TEXT_SUBLAK003_00100_SEQ_18,空
19,TEXT_SUBLAK003_00100_SEQ_19,空
20,TEXT_SUBLAK003_00100_SEQ_20,空
21,TEXT_SUBLAK003_00100_SEQ_21,空
22,TEXT_SUBLAK003_00100_SEQ_22,空
23,TEXT_SUBLAK003_00100_SEQ_23,空
24,TEXT_SUBLAK003_00100_TODO_00,和小春对话
25,TEXT_SUBLAK003_00100_TODO_01,和阳山对话
26,TEXT_SUBLAK003_00100_TODO_02,和伽伽鲁亚对话 击退他的同伴们
27,TEXT_SUBLAK003_00100_TODO_03,和伽伽鲁亚对话
28,TEXT_SUBLAK003_00100_TODO_04,获取<hex:022811FF0A>EventItem<hex:F61E8A370103>
29,TEXT_SUBLAK003_00100_TODO_05,和阳山对话
30,TEXT_SUBLAK003_00100_TODO_06,将<hex:022811FF0A>EventItem<hex:F61E8A370103>交给斯拉佛伯恩
31,TEXT_SUBLAK003_00100_TODO_07,空
32,TEXT_SUBLAK003_00100_TODO_08,空
33,TEXT_SUBLAK003_00100_TODO_09,空
34,TEXT_SUBLAK003_00100_TODO_10,空
35,TEXT_SUBLAK003_00100_TODO_11,空
36,TEXT_SUBLAK003_00100_TODO_12,空
37,TEXT_SUBLAK003_00100_TODO_13,空
38,TEXT_SUBLAK003_00100_TODO_14,空
39,TEXT_SUBLAK003_00100_TODO_15,空
40,TEXT_SUBLAK003_00100_TODO_16,空
41,TEXT_SUBLAK003_00100_TODO_17,空
42,TEXT_SUBLAK003_00100_TODO_18,空
43,TEXT_SUBLAK003_00100_TODO_19,空
44,TEXT_SUBLAK003_00100_TODO_20,空
45,TEXT_SUBLAK003_00100_TODO_21,空
46,TEXT_SUBLAK003_00100_TODO_22,空
47,TEXT_SUBLAK003_00100_TODO_23,空
48,TEXT_SUBLAK003_00100_YOUZAN_000_000,<hex:020819E905FF0A>大姐姐<hex:FF0A>大哥哥<hex:03>！<hex:02100103>我们先去调查那个拉拉菲尔族四人组吧。
49,TEXT_SUBLAK003_00100_YOUZAN_000_001,他们的货车应该就停在东南门前，<hex:02100103>我们让小春偷偷地确认一下吧！
50,TEXT_SUBLAK003_00100_KOHARU_000_010,嘿嘿嘿……<hex:02100103>揭晓真相的时刻就要到来了。
51,TEXT_SUBLAK003_00100_SHIUN_000_015,那个拉拉菲尔族四人组吗……要是他们有武器可怎么办……<hex:02100103>以防万一，是不是回去把忍者装备取来比较好呢？
52,TEXT_SUBLAK003_00100_ROKKA_000_020,……有必要调查一下那个拉拉菲尔族四人组。<hex:02100103>不过话说回来，小春怎么那么高兴呢。
53,TEXT_SUBLAK003_00100_KOHARU_000_030,……嗯，一定没错。<hex:02100103>现在虽然只有两个人在那里，但他们是那个四人组的人没错。
54,TEXT_SUBLAK003_00100_SHIUN_000_031,不过我们怎么确认他们是不是偷盗犯呢？<hex:02100103>看上去他们好像没拿着魔导书。<hex:02100103>会不会藏在货车里了？
55,TEXT_SUBLAK003_00100_ROKKA_000_032,……说不定书在另外两个人手里呢。<hex:02100103>也有可能根本就不是他们偷的。
56,TEXT_SUBLAK003_00100_YOUZAN_000_033,我有个主意。<hex:02100103>……六花，你来帮帮我。
57,TEXT_SUBLAK003_00100_ROKKA_000_034,……对了，你听说了吗？<hex:02100103>罗薇娜手里的魔导书被偷了。
58,TEXT_SUBLAK003_00100_YOUZAN_000_035,我知道这事。<hex:02100103>真可惜啊，我本来还想把那东西弄到手的！
59,TEXT_SUBLAK003_00100_ROKKA_000_036,那本魔导书中隐藏着“丧灵钟的宝藏”的所在之处……<hex:02100103>只要有了那本书便可以找到宝藏。
60,TEXT_SUBLAK003_00100_YOUZAN_000_037,没错……宝藏中有过去的冒险者们偷偷收集的金银珠宝！<hex:02100103>还有威力不亚于加雷马帝国的究极兵器！
61,TEXT_SUBLAK003_00100_YOUZAN_000_038,我明明都已经掌握了宝藏的埋藏地，就在废弃营地那边。<hex:02100103>真是白费功夫了。
62,TEXT_SUBLAK003_00100_ROKKA_000_039,……没有魔导书就找不到宝藏了呢。<hex:02100103>趁早放弃吧。
63,TEXT_SUBLAK003_00100_WAWATON_000_040,……喂，你听见他们说的话了吗？<hex:02100103>不光是金银财宝，还有究极兵器！<hex:02100103>不能再在这磨蹭了，得赶快去报告！
