key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CLSARM051_00275_SEQ_00,铸甲匠行会的赫·纳恩萨，希望冒险者帮忙工作。
1,TEXT_CLSARM051_00275_SEQ_01,铸甲匠行会接受了大量订单，仅靠年轻铸甲匠斯威辛根本无法处理，便让冒险者也来帮忙工作。筹备3面<hex:02280BFF05>Item<hex:F208B20103>，交给铸甲匠行会的赫·纳恩萨。
2,TEXT_CLSARM051_00275_SEQ_02,成功将<hex:02280BFF05>Item<hex:F208B20103>交给了赫·纳恩萨。这次的品质也令她十分满意。为了回应赫·纳恩萨所寄予的期待，熟练使用从她那里得到的副工具<hex:02280BFF05>Item<hex:F2094C0103>，继续作为一名铸甲匠进行磨练。<hex:02100103><hex:02100103>※铸甲匠的等级达到10级以上时，可以从赫·纳恩萨那里领取下一个铸甲匠任务。
3,TEXT_CLSARM051_00275_SEQ_03,
4,TEXT_CLSARM051_00275_SEQ_04,
5,TEXT_CLSARM051_00275_SEQ_05,
6,TEXT_CLSARM051_00275_SEQ_06,
7,TEXT_CLSARM051_00275_SEQ_07,
8,TEXT_CLSARM051_00275_SEQ_08,
9,TEXT_CLSARM051_00275_SEQ_09,
10,TEXT_CLSARM051_00275_SEQ_10,
11,TEXT_CLSARM051_00275_SEQ_11,
12,TEXT_CLSARM051_00275_SEQ_12,
13,TEXT_CLSARM051_00275_SEQ_13,
14,TEXT_CLSARM051_00275_SEQ_14,
15,TEXT_CLSARM051_00275_SEQ_15,
16,TEXT_CLSARM051_00275_SEQ_16,
17,TEXT_CLSARM051_00275_SEQ_17,
18,TEXT_CLSARM051_00275_SEQ_18,
19,TEXT_CLSARM051_00275_SEQ_19,
20,TEXT_CLSARM051_00275_SEQ_20,
21,TEXT_CLSARM051_00275_SEQ_21,
22,TEXT_CLSARM051_00275_SEQ_22,
23,TEXT_CLSARM051_00275_SEQ_23,
24,TEXT_CLSARM051_00275_TODO_00,将<hex:02280BFF05>Item<hex:F208B20103>交给赫·纳恩萨
25,TEXT_CLSARM051_00275_TODO_01,
26,TEXT_CLSARM051_00275_TODO_02,
27,TEXT_CLSARM051_00275_TODO_03,
28,TEXT_CLSARM051_00275_TODO_04,
29,TEXT_CLSARM051_00275_TODO_05,
30,TEXT_CLSARM051_00275_TODO_06,
31,TEXT_CLSARM051_00275_TODO_07,
32,TEXT_CLSARM051_00275_TODO_08,
33,TEXT_CLSARM051_00275_TODO_09,
34,TEXT_CLSARM051_00275_TODO_10,
35,TEXT_CLSARM051_00275_TODO_11,
36,TEXT_CLSARM051_00275_TODO_12,
37,TEXT_CLSARM051_00275_TODO_13,
38,TEXT_CLSARM051_00275_TODO_14,
39,TEXT_CLSARM051_00275_TODO_15,
40,TEXT_CLSARM051_00275_TODO_16,
41,TEXT_CLSARM051_00275_TODO_17,
42,TEXT_CLSARM051_00275_TODO_18,
43,TEXT_CLSARM051_00275_TODO_19,
44,TEXT_CLSARM051_00275_TODO_20,
45,TEXT_CLSARM051_00275_TODO_21,
46,TEXT_CLSARM051_00275_TODO_22,
47,TEXT_CLSARM051_00275_TODO_23,
48,TEXT_CLSARM051_00275_HNAANZA_000_1,嗯，你是前一阵子加入行会的那个吧？<hex:02100103>怎么样，你没有懈怠每天的修炼吧？
49,TEXT_CLSARM051_00275_HNAANZA_000_2,让我看看你的成果吧。<hex:02100103>正好我现在需要人手。
50,TEXT_CLSARM051_00275_HNAANZA_000_3,是这样的，我这里的年轻工匠斯威辛由于工作疏忽，<hex:02100103>导致大量订单处理不完，于是跑到我这里哭诉。<hex:02100103>现在，我已经让所有可以动用的工匠都来办这件事。
51,TEXT_CLSARM051_00275_HNAANZA_000_4,作为铸甲匠行会的一员，希望你也能来帮忙。<hex:02100103>这就是这次的任务，明白了吗？
52,TEXT_CLSARM051_00275_HNAANZA_000_5,你需要制作3面<hex:02280BFF05>Item<hex:F208B20103>。<hex:02100103>制作这种盾牌的材料是<hex:02280BFF05>Item<hex:F213CF0103>和<hex:02280BFF05>Item<hex:F214F10103>。
53,TEXT_CLSARM051_00275_HNAANZA_000_6,对了，你平常都是怎样筹备材料的？<hex:02100103>虽然可以在商店里购买，<hex:02100103>不过也可以委托采矿工和园艺工帮忙筹备。
54,TEXT_CLSARM051_00275_HNAANZA_000_7,比如，铸甲匠经常使用的铜矿和锡矿，<hex:02100103>采矿工便可以在萨纳兰地区采集到。<hex:02100103>自己掌握采矿的本领也是个不错的选择。
55,TEXT_CLSARM051_00275_HNAANZA_000_8,不过，你现在应该专心磨练铸甲的手艺。<hex:02100103>如果你掌握了基础的话，制作<hex:02280BFF05>Item<hex:F208B20103>简直轻而易举。
56,TEXT_CLSARM051_00275_HNAANZA_000_9,但是你绝不能掉以轻心。<hex:02100103>无论制作什么，都全身心地投入其中是我们这里的信条。<hex:02100103>那么，就拜托你了。
57,TEXT_CLSARM051_00275_HNAANZA_000_10,怎么样，新来的。<hex:02100103>制作好3面<hex:02280BFF05>Item<hex:F208B20103>了吗？
58,TEXT_CLSARM051_00275_HNAANZA_000_11,……你还挺能干啊。<hex:02100103>你做的<hex:02280BFF05>Item<hex:F208B20103>着实不错。<hex:02100103>看来你比我想象中还要有才能。
59,TEXT_CLSARM051_00275_HNAANZA_000_12,<hex:02280BFF05>Item<hex:F213CF0103>也被镶嵌得十分牢固。<hex:02100103>这样的话，即便抵御猛烈的攻击，也一定会毫发无伤吧。
60,TEXT_CLSARM051_00275_HNAANZA_000_13,最重要的是，你完成工作的速度很快。<hex:02100103>记好了，高效可是行商的一把利器。<hex:02100103>慢慢吞吞的话，就会错失商机。
61,TEXT_CLSARM051_00275_HNAANZA_000_14,特别是最近，从重组战力的黑涡团那里，<hex:02100103>接连不断地发来了武器和防具的订单。
62,TEXT_CLSARM051_00275_HNAANZA_000_15,不论制作多少，仍是杯水车薪。<hex:02100103>这面<hex:02280BFF05>Item<hex:F208B20103>，曾经在团体战法中大放异彩，<hex:02100103>我们也要向它学习，令行会团结一心，不畏任何强敌。
63,TEXT_CLSARM051_00275_HNAANZA_000_16,即使是新人，有你这样的手艺，也能立即成为战力。<hex:02100103>对了，我挺看好你的，<hex:02100103>也是时候该将那个交给你了。
64,TEXT_CLSARM051_00275_HNAANZA_000_17,给你这把<hex:02280BFF05>Item<hex:F2094C0103>。<hex:02100103>它是副工具，<hex:02100103>需要与锤子这种主工具一同装备。
65,TEXT_CLSARM051_00275_HNAANZA_000_18,运用自如的话，将会提高工作的效率。<hex:02100103>当你能熟练地使用这把钳子的时候，<hex:02100103>再来让我看看你的成果吧。
66,TEXT_CLSARM051_00275_SYSTEM_001_9,通过改变装备，<hex:02100103>可以提高“作业精度 ”、“加工精度”和“制作力”。
67,TEXT_CLSARM051_00275_SYSTEM_002_9,“作业精度”是提升作业进度的能力，<hex:02100103>“加工精度”是提升制品品质的能力，<hex:02100103>而“制作力”则在施放制作技能时消耗。
