key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_FESNYR101_00252_SEQ_00,※本任务是特定期间内的任务。<hex:02100103><hex:02100103>利姆萨·罗敏萨的开心的少女希望向冒险者介绍降神节的活动内容。
1,TEXT_FESNYR101_00252_SEQ_01,※本任务只有在季节活动开放期间才能接受和进行。<hex:02100103>　季节活动结束后无法进行，敬请注意。<hex:02100103>　详情请参见官方网站。<hex:02100103><hex:02100103>开心的少女说降神节是庆祝新主神选定的节日。节日之际远东国家的使节团也来到了这里，不过使节团的代表看上去有些不对劲。和舰尾楼的羊奉行对话。
2,TEXT_FESNYR101_00252_SEQ_02,羊奉行委托冒险者协助“羊队”计划。为了和睡羊羊拉近关系，和东国际商贩路的艾恩盖兰德对话，获取饲料。
3,TEXT_FESNYR101_00252_SEQ_03,从艾恩盖兰德那里得到了<hex:022811FF0A>EventItem<hex:F61E8A6A0103>。给舰尾楼的睡羊羊喂食<hex:022811FF0A>EventItem<hex:F61E8A6A0103>。
4,TEXT_FESNYR101_00252_SEQ_04,给睡羊羊喂食后，它终于愿意搭理冒险者了。作为成为同伴的证明，从羊奉行那里获赠了羊形状的头盔。羊奉行希望冒险者戴上头盔，在格里达尼亚、利姆萨·罗敏萨、乌尔达哈宣传催眠之术的威力。不知道冒险者是否能在艾欧泽亚成功推广羊的力量……
5,TEXT_FESNYR101_00252_SEQ_05,无
6,TEXT_FESNYR101_00252_SEQ_06,无
7,TEXT_FESNYR101_00252_SEQ_07,无
8,TEXT_FESNYR101_00252_SEQ_08,无
9,TEXT_FESNYR101_00252_SEQ_09,无
10,TEXT_FESNYR101_00252_SEQ_10,无
11,TEXT_FESNYR101_00252_SEQ_11,无
12,TEXT_FESNYR101_00252_SEQ_12,无
13,TEXT_FESNYR101_00252_SEQ_13,无
14,TEXT_FESNYR101_00252_SEQ_14,无
15,TEXT_FESNYR101_00252_SEQ_15,无
16,TEXT_FESNYR101_00252_SEQ_16,无
17,TEXT_FESNYR101_00252_SEQ_17,无
18,TEXT_FESNYR101_00252_SEQ_18,无
19,TEXT_FESNYR101_00252_SEQ_19,无
20,TEXT_FESNYR101_00252_SEQ_20,无
21,TEXT_FESNYR101_00252_SEQ_21,无
22,TEXT_FESNYR101_00252_SEQ_22,无
23,TEXT_FESNYR101_00252_SEQ_23,无
24,TEXT_FESNYR101_00252_TODO_00,和羊奉行对话
25,TEXT_FESNYR101_00252_TODO_01,和东国际商贩路的艾恩盖兰德对话
26,TEXT_FESNYR101_00252_TODO_02,给舰尾楼的睡羊羊喂食<hex:022811FF0A>EventItem<hex:F61E8A6A0103>
27,TEXT_FESNYR101_00252_TODO_03,无
28,TEXT_FESNYR101_00252_TODO_04,无
29,TEXT_FESNYR101_00252_TODO_05,无
30,TEXT_FESNYR101_00252_TODO_06,无
31,TEXT_FESNYR101_00252_TODO_07,无
32,TEXT_FESNYR101_00252_TODO_08,无
33,TEXT_FESNYR101_00252_TODO_09,无
34,TEXT_FESNYR101_00252_TODO_10,无
35,TEXT_FESNYR101_00252_TODO_11,无
36,TEXT_FESNYR101_00252_TODO_12,无
37,TEXT_FESNYR101_00252_TODO_13,无
38,TEXT_FESNYR101_00252_TODO_14,无
39,TEXT_FESNYR101_00252_TODO_15,无
40,TEXT_FESNYR101_00252_TODO_16,无
41,TEXT_FESNYR101_00252_TODO_17,无
42,TEXT_FESNYR101_00252_TODO_18,无
43,TEXT_FESNYR101_00252_TODO_19,无
44,TEXT_FESNYR101_00252_TODO_20,无
45,TEXT_FESNYR101_00252_TODO_21,无
46,TEXT_FESNYR101_00252_TODO_22,无
47,TEXT_FESNYR101_00252_TODO_23,无
48,TEXT_FESNYR101_00252_SYOJO_000_000,喂，你……你是位冒险者没错吧！<hex:02100103>你看这阳光明媚的天气……呃，还有这些装饰多么漂亮！<hex:02100103>现在艾欧泽亚正在庆祝降神节这一节日！
49,TEXT_FESNYR101_00252_SYOJO_000_001,降神节可是个非常神圣的节日！<hex:02100103>人们在此刻庆祝从十二神中选出了新的主神，<hex:02100103>也就是神明的统领。
50,TEXT_FESNYR101_00252_SYOJO_000_002,这次选出来的主神是慈爱女神梅茵菲娜！<hex:02100103>受到女神的加护，与家人、恋人相互多一分体谅关心……<hex:02100103>这样的节日是多么美好！
51,TEXT_FESNYR101_00252_SYOJO_000_003,不过有件事让我很是顾虑……啊、不对，只是有些在意。<hex:02100103>为了庆祝降神节的到来，<hex:02100103>有个来自东方的使节团来到了这里……
52,TEXT_FESNYR101_00252_SYOJO_000_004,使节团长羊奉行看起来有些不对劲……<hex:02100103>他似乎一直在念叨着什么，能不能请你去跟他谈一谈呢？<hex:02100103>冒险者的话他应该会放松警惕……啊！没什么，都交给你了！
53,TEXT_FESNYR101_00252_SYOJO_000_005,使节团长羊奉行看起来有些不对劲……<hex:02100103>他似乎一直在念叨着什么，能不能请你去跟他谈一谈呢？
54,TEXT_FESNYR101_00252_SYSTEM_000_006,睡羊羊一直凝视着地面，完全没有注意到冒险者……
55,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_007,无
56,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_020,还是需要帮手啊……不对，可是……<hex:02100103>……虽然不清楚你是哪一位，我可是很忙的。<hex:02100103>有事找我的话还请稍后再来……
57,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_021,唔、这身装扮……难道你是位冒险者吗？！<hex:02100103>刚才我可真是失礼了。<hex:02100103>事出突然实在不好意思，希望你能听听我的请求！
58,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_022,我是羊奉行。<hex:02100103>为了庆祝降神节、加深我国与艾欧泽亚之间的友谊，<hex:02100103>我从遥远的东方来到了这里！
59,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_023,本来我的任务应该是同艾欧泽亚人民一起庆祝新年的到来……<hex:02100103>但是现在，我有了比这更加重要的使命。<hex:02100103>没错……那就是在艾欧泽亚推广我的“羊队”！
60,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_024,其实，我在祖国时就开始计划将羊运用在军事上……<hex:02100103>一直在研究会使用特殊咒语的睡羊羊。
61,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_025,只要这个军用羊试作品能得到实际运用，甚至能够出口的话，<hex:02100103>不仅可以增强你们的战斗力，还能加深与我国的交流！<hex:02100103>对于艾欧泽亚来说是件不错的事吧……
62,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_026,可不管我怎么说，大家的注意力都只集中在这个头盔上……<hex:02100103>为什么不能认真地听我说话呢！
63,TEXT_FESNYR101_00252_SHEEPMISSIONARY_000_027,冒险者，你在这片土地上来去自如，若有你协助我就有底气多了！<hex:02100103>能否请你为我的计划出一份力呢？
64,TEXT_FESNYR101_00252_SHEEPMISSIONARY_Q1_000_000,要协助羊奉行吗？
65,TEXT_FESNYR101_00252_A1_000_001,是
