key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CLSACN020_00453_SEQ_00,秘术师行会接待处的缪里，在为冒险者办理入会的手续时，需要确认一下冒险者的决心。
1,TEXT_CLSACN020_00453_SEQ_01,缪里要求冒险者将入会的意愿传达给代理会长图比尔盖姆。去和秘术师行会的图比尔盖姆打声招呼。
2,TEXT_CLSACN020_00453_SEQ_02,图比尔盖姆要求冒险者证明学习秘术的决心，为此需要完成试炼。前往拉诺西亚低地，使用秘术打倒码头沟鼠、海月水母和花甲虫各3只。
3,TEXT_CLSACN020_00453_SEQ_03,成功讨伐了指定的魔物。向秘术师行会的图比尔盖姆报告。
4,TEXT_CLSACN020_00453_SEQ_04,冒险者完成了试炼，证明了自己的决心。得到了秘术师行会代理会长的认可，加入了秘术师行会。遵循图比尔盖姆的指导，积累实战经验，熟悉秘术。<hex:02100103><hex:02100103>※秘术师的等级达到5级以上时，可以从图比尔盖姆那里领取下一个秘术师任务。
5,TEXT_CLSACN020_00453_SEQ_05,
6,TEXT_CLSACN020_00453_SEQ_06,
7,TEXT_CLSACN020_00453_SEQ_07,
8,TEXT_CLSACN020_00453_SEQ_08,
9,TEXT_CLSACN020_00453_SEQ_09,
10,TEXT_CLSACN020_00453_SEQ_10,
11,TEXT_CLSACN020_00453_SEQ_11,
12,TEXT_CLSACN020_00453_SEQ_12,
13,TEXT_CLSACN020_00453_SEQ_13,
14,TEXT_CLSACN020_00453_SEQ_14,
15,TEXT_CLSACN020_00453_SEQ_15,
16,TEXT_CLSACN020_00453_SEQ_16,
17,TEXT_CLSACN020_00453_SEQ_17,
18,TEXT_CLSACN020_00453_SEQ_18,
19,TEXT_CLSACN020_00453_SEQ_19,
20,TEXT_CLSACN020_00453_SEQ_20,
21,TEXT_CLSACN020_00453_SEQ_21,
22,TEXT_CLSACN020_00453_SEQ_22,
23,TEXT_CLSACN020_00453_SEQ_23,
24,TEXT_CLSACN020_00453_TODO_00,和图比尔盖姆对话
25,TEXT_CLSACN020_00453_TODO_01,使用秘术讨伐码头沟鼠
26,TEXT_CLSACN020_00453_TODO_02,使用秘术讨伐海月水母
27,TEXT_CLSACN020_00453_TODO_03,使用秘术讨伐花甲虫
28,TEXT_CLSACN020_00453_TODO_04,向秘术师行会的图比尔盖姆报告
29,TEXT_CLSACN020_00453_TODO_05,
30,TEXT_CLSACN020_00453_TODO_06,
31,TEXT_CLSACN020_00453_TODO_07,
32,TEXT_CLSACN020_00453_TODO_08,
33,TEXT_CLSACN020_00453_TODO_09,
34,TEXT_CLSACN020_00453_TODO_10,
35,TEXT_CLSACN020_00453_TODO_11,
36,TEXT_CLSACN020_00453_TODO_12,
37,TEXT_CLSACN020_00453_TODO_13,
38,TEXT_CLSACN020_00453_TODO_14,
39,TEXT_CLSACN020_00453_TODO_15,
40,TEXT_CLSACN020_00453_TODO_16,
41,TEXT_CLSACN020_00453_TODO_17,
42,TEXT_CLSACN020_00453_TODO_18,
43,TEXT_CLSACN020_00453_TODO_19,
44,TEXT_CLSACN020_00453_TODO_20,
45,TEXT_CLSACN020_00453_TODO_21,
46,TEXT_CLSACN020_00453_TODO_22,
47,TEXT_CLSACN020_00453_TODO_23,
48,TEXT_CLSACN020_00453_MURIE_000_000,那么，您决心加入秘术师行会了吗？
49,TEXT_CLSACN020_00453_MURIE_000_005,看来您还有点犹豫呢。<hex:02100103>如果下定决心学习秘术的话，<hex:02100103>请再次与我交谈。
50,TEXT_CLSACN020_00453_MURIE_000_010,英明的决定。<hex:02100103>虽然我立刻就想把您入会的意愿告诉行会会长……
51,TEXT_CLSACN020_00453_MURIE_000_011,但是，会长恰巧不在。<hex:02100103>所以请您找代理会长图比尔盖姆吧。<hex:02100103>她现在代为管理行会的事务。
52,TEXT_CLSACN020_00453_MURIE_000_012,她是一个很可靠的人，可以说是我们的行会之母。<hex:02100103>她就在那边的书架前，请您跟她打声招呼。
53,TEXT_CLSACN020_00453_THUBYRGEIM_000_020,欢迎来到秘术师行会。<hex:02100103>我是代理会长图比尔盖姆。<hex:02100103>你已经了解秘术和行会历史了吧？
54,TEXT_CLSACN020_00453_THUBYRGEIM_000_021,我想你已经有所了解，秘术是研究生命奥秘的魔法。<hex:02100103>其象征就是创造并使役魔法生命体“宝石兽”。
55,TEXT_CLSACN020_00453_THUBYRGEIM_000_022,而秘术的关键是，<hex:02100103>寻求可以明确解答命题的答案。<hex:02100103>在战斗中也是如此。
56,TEXT_CLSACN020_00453_THUBYRGEIM_000_023,以胜利为命题，制定解答这一命题的战术。<hex:02100103>因此，秘术师必须具备冷静阅读战况，<hex:02100103>并能在瞬息之间选择最适当魔法的能力。
57,TEXT_CLSACN020_00453_THUBYRGEIM_000_024,那么，你有在这种高强度的脑力战中，<hex:02100103>致力解答秘术命题的决心吗？
58,TEXT_CLSACN020_00453_Q1_000_000,你有致力解答秘术命题的决心吗？
59,TEXT_CLSACN020_00453_A1_000_001,是
60,TEXT_CLSACN020_00453_A1_000_002,否
61,TEXT_CLSACN020_00453_THUBYRGEIM_000_030,这样啊，有点可惜呢……<hex:02100103>不过，总比草率入会后，再退会来得好些。<hex:02100103>如果哪天想学习秘术了，请再来找我。
62,TEXT_CLSACN020_00453_THUBYRGEIM_000_035,一言为定。<hex:02100103>那么，请你证明下，<hex:02100103>你的答案中没有虚假吧。
63,TEXT_CLSACN020_00453_THUBYRGEIM_000_036,前往拉诺西亚低地，<hex:02100103>打倒“码头沟鼠”、“海月水母”和“花甲虫”各3只。
64,TEXT_CLSACN020_00453_THUBYRGEIM_000_037,从暴风陆门出去后，就可以看到这几种魔物了。<hex:02100103>对还没熟悉秘术的你而言，这些对手正合适。<hex:02100103>记住要时刻保持冷静的判断力。
65,TEXT_CLSACN020_00453_THUBYRGEIM_000_038,等你完成试炼之时，<hex:02100103>我将认可你正式加入秘术师行会。<hex:02100103>加油吧。
66,TEXT_CLSACN020_00453_THUBYRGEIM_000_040,你回来啦，看来已经完美地通过了试炼呢。<hex:02100103>那么……再次欢迎你加入秘术师行会！<hex:02100103>今日是秘术师<hex:022903EB0203>的诞生之日。
67,TEXT_CLSACN020_00453_THUBYRGEIM_100_040,虽然谈不上什么庆生礼物，<hex:02100103>不过请你收下这本“讨伐笔记”。
68,TEXT_CLSACN020_00453_THUBYRGEIM_101_040,笔记里记载着适合锻炼秘术的对手。<hex:02100103>请你和笔记里记载的敌人进行实战，<hex:02100103>并牢牢掌握如何制定战术。
69,TEXT_CLSACN020_00453_THUBYRGEIM_000_041,去吧，冲出城市，尽可能地翻阅你手中的“魔导书”吧。<hex:02100103>比起当个书呆子，在实战中你能学到更多。
70,TEXT_CLSACN020_00453_THUBYRGEIM_000_042,等你能熟练召唤宝石兽之后，<hex:02100103>再来向我展示你的锻炼成果吧。<hex:02100103>我会在这里等着你。
