key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_MANFST405_00520_SEQ_00,阿尔菲诺有话想要对冒险者说。
1,TEXT_MANFST405_00520_SEQ_01,虽然成功讨伐了蛮神，但失去的同伴却再也回不来了。但即使如此，阿尔菲诺却依然下定决心，要再次点亮拂晓的灯火……回到黄昏湾的沙之家，拂晓血盟的本部，和先回来的阿尔菲诺谈谈。
2,TEXT_MANFST405_00520_SEQ_02,等待在沙之家的是伊达和雅·修特拉。据她们所说，原以为已经牺牲的敏菲利亚其实是被帝国掳走了。接受新的挑战，救出同伴。
3,TEXT_MANFST405_00520_SEQ_03,空
4,TEXT_MANFST405_00520_SEQ_04,空
5,TEXT_MANFST405_00520_SEQ_05,空
6,TEXT_MANFST405_00520_SEQ_06,空
7,TEXT_MANFST405_00520_SEQ_07,空
8,TEXT_MANFST405_00520_SEQ_08,空
9,TEXT_MANFST405_00520_SEQ_09,空
10,TEXT_MANFST405_00520_SEQ_10,空
11,TEXT_MANFST405_00520_SEQ_11,空
12,TEXT_MANFST405_00520_SEQ_12,空
13,TEXT_MANFST405_00520_SEQ_13,空
14,TEXT_MANFST405_00520_SEQ_14,空
15,TEXT_MANFST405_00520_SEQ_15,空
16,TEXT_MANFST405_00520_SEQ_16,空
17,TEXT_MANFST405_00520_SEQ_17,空
18,TEXT_MANFST405_00520_SEQ_18,空
19,TEXT_MANFST405_00520_SEQ_19,空
20,TEXT_MANFST405_00520_SEQ_20,空
21,TEXT_MANFST405_00520_SEQ_21,空
22,TEXT_MANFST405_00520_SEQ_22,空
23,TEXT_MANFST405_00520_SEQ_23,空
24,TEXT_MANFST405_00520_TODO_00,和沙之家的阿尔菲诺对话
25,TEXT_MANFST405_00520_TODO_01,空
26,TEXT_MANFST405_00520_TODO_02,空
27,TEXT_MANFST405_00520_TODO_03,空
28,TEXT_MANFST405_00520_TODO_04,空
29,TEXT_MANFST405_00520_TODO_05,空
30,TEXT_MANFST405_00520_TODO_06,空
31,TEXT_MANFST405_00520_TODO_07,空
32,TEXT_MANFST405_00520_TODO_08,空
33,TEXT_MANFST405_00520_TODO_09,空
34,TEXT_MANFST405_00520_TODO_10,空
35,TEXT_MANFST405_00520_TODO_11,空
36,TEXT_MANFST405_00520_TODO_12,空
37,TEXT_MANFST405_00520_TODO_13,空
38,TEXT_MANFST405_00520_TODO_14,空
39,TEXT_MANFST405_00520_TODO_15,空
40,TEXT_MANFST405_00520_TODO_16,空
41,TEXT_MANFST405_00520_TODO_17,空
42,TEXT_MANFST405_00520_TODO_18,空
43,TEXT_MANFST405_00520_TODO_19,空
44,TEXT_MANFST405_00520_TODO_20,空
45,TEXT_MANFST405_00520_TODO_21,空
46,TEXT_MANFST405_00520_TODO_22,空
47,TEXT_MANFST405_00520_TODO_23,空
48,TEXT_MANFST405_00520_ALPHINAUD_000_000,接下来，我们就前往黄昏湾的沙之家……<hex:02100103>拂晓血盟的本部吧。
49,TEXT_MANFST405_00520_ALPHINAUD_000_001,我听说发生在沙之家的惨状了，<hex:02100103>但也不能就那么放置不管。<hex:02100103>我们也稍作调整，到那里吊唁牺牲的同伴吧。
50,TEXT_MANFST405_00520_ALPHINAUD_000_002,……让拂晓的灯火，再次从那个地方点亮。
51,TEXT_MANFST405_00520_ALPHINAUD_000_010,<hex:022903EB0203>……<hex:02100103>你最后看到的沙之家是这个样子吗？
52,TEXT_MANFST405_00520_ALPHINAUD_000_011,我总感觉这里好像被收拾了一下……<hex:02100103>抱歉，可能是我多心了。<hex:02100103>好了，让我们进去吧。
53,TEXT_MANFST405_00520_CID_000_100,……慢着。
54,TEXT_MANFST405_00520_YDA_000_101,是谁！！
55,TEXT_MANFST405_00520_ALPHINAUD_000_102,你没学过在问别人名字之前，<hex:02100103>要先报上自己的名字吗？
56,TEXT_MANFST405_00520_YDA_000_103,阿尔菲诺大人！<hex:02100103>还有<hex:022903EB0203>！
57,TEXT_MANFST405_00520_YDA_000_104,什么？<hex:02100103>竟然还有西德！
58,TEXT_MANFST405_00520_CID_000_105,哟！好久不见！
59,TEXT_MANFST405_00520_YDA_000_106,太好了……<hex:02100103>大家都平安无事啊！
60,TEXT_MANFST405_00520_CID_000_107,……不过，这里可真是一片狼藉啊。
61,TEXT_MANFST405_00520_YDA_000_108,在大家讨伐蛮神泰坦的时候，<hex:02100103>我奔赴到格里达尼亚去执行任务了……
62,TEXT_MANFST405_00520_YDA_000_109,但回来之后，就发现变成了这个样子……
63,TEXT_MANFST405_00520_ALPHINAUD_000_110,伊达……
64,TEXT_MANFST405_00520_YDA_000_111,我和雅·修特拉一起埋葬了留在这里的遗体，<hex:02100103>也稍微收拾了一下……
65,TEXT_MANFST405_00520_ALPHINAUD_000_112,她也没事吗？
66,TEXT_MANFST405_00520_YDA_000_113,……嗯。<hex:02100103>她现在出去收集情报了。
67,TEXT_MANFST405_00520_YDA_000_114,我们没有发现帕帕力莫和敏菲利亚他们的遗体。<hex:02100103>雅·修特拉说，他们可能是被带到什么地方去了。
68,TEXT_MANFST405_00520_ALPHINAUD_000_115,这些可能是帝国干的。
69,TEXT_MANFST405_00520_CID_000_116,……帝国？
70,TEXT_MANFST405_00520_ALPHINAUD_000_117,在之前和蛮神迦楼罗作战时，<hex:02100103>我们遇到了帝国的将领盖乌斯。
71,TEXT_MANFST405_00520_ALPHINAUD_000_118,……就是你。
72,TEXT_MANFST405_00520_ALPHINAUD_000_119,盖乌斯说我们是“无能之人”。<hex:02100103>那可能是针对你这种“拥有特殊能力的人”而说的。<hex:02100103>如果这么理解的话……
73,TEXT_MANFST405_00520_ALPHINAUD_000_120,帝国……或者至少盖乌斯，是知道你所拥有的“超越之力”。
74,TEXT_MANFST405_00520_ALPHINAUD_000_121,他们拐走敏菲利亚的原因，<hex:02100103>很有可能就是为了弄清楚这种力量。
75,TEXT_MANFST405_00520_ALPHINAUD_000_122,不过他们竟然知道沙之家的所在地，<hex:02100103>难道说是我方混入了敌人的间谍么……还是说……
76,TEXT_MANFST405_00520_ALPHINAUD_000_123,不过不管怎样，帝国那边在行动着。<hex:02100103>我们必须要重振拂晓，拯救艾欧泽亚。
77,TEXT_MANFST405_00520_ALPHINAUD_000_124,你能来协助我们吗？
78,TEXT_MANFST405_00520_YDA_000_125,嗯……交给我吧……<hex:02100103>请交给我吧！
79,TEXT_MANFST405_00520_ALPHINAUD_000_126,好，首先还是先休息一下吧。<hex:02100103>大家也都累了。
80,TEXT_MANFST405_00520_ALPHINAUD_000_127,休息之后我们就出发。
81,TEXT_MANFST405_00520_100010_HYDAELYN,倾听……感受……思考……
82,TEXT_MANFST405_00520_200020_HYDAELYN,……光之冒险者啊
83,TEXT_MANFST405_00520_200030_HYDAELYN,你集齐了所有的光之水晶……<hex:02100103>拥有无畏的灵魂！
84,TEXT_MANFST405_00520_200040_HYDAELYN,我的名字是海德林……<hex:02100103>是这颗行星的声音
