key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_GAIUSB410_00866_SEQ_00,石绿湖营地疗养院的管理人鲁库萨·珐鲁萨，看上去十分烦恼。
1,TEXT_GAIUSB410_00866_SEQ_01,这个村落本是伤兵进行疗养的场所，不知为何雕金匠造访了这里。从<hex:02280FFF09>BNpcName<hex:F201870103>身上获得4瓶量可以干燥伤患部位的<hex:022811FF0A>EventItem<hex:F61E87210103>。
2,TEXT_GAIUSB410_00866_SEQ_02,获得了4瓶量的<hex:022811FF0A>EventItem<hex:F61E87210103>。让石绿湖营地的雕金匠查看。
3,TEXT_GAIUSB410_00866_SEQ_03,将<hex:022811FF0A>EventItem<hex:F61E87210103>撒满戈德伯特全身。
4,TEXT_GAIUSB410_00866_SEQ_04,再次将<hex:022811FF0A>EventItem<hex:F61E87210103>撒满戈德伯特全身。
5,TEXT_GAIUSB410_00866_SEQ_05,将<hex:022811FF0A>EventItem<hex:F61E87210103>涂遍戈德伯特全身。
6,TEXT_GAIUSB410_00866_SEQ_06,再次将<hex:022811FF0A>EventItem<hex:F61E87210103>涂遍戈德伯特全身。
7,TEXT_GAIUSB410_00866_SEQ_07,将<hex:022811FF0A>EventItem<hex:F61E87210103>涂遍了戈德伯特全身。向石绿湖营地的鲁库萨·珐鲁萨报告。
8,TEXT_GAIUSB410_00866_SEQ_08,鲁库萨·珐鲁萨无法理解乌尔达哈有钱人的想法。戈德伯特真是一个不可思议的人物。
9,TEXT_GAIUSB410_00866_SEQ_09,无
10,TEXT_GAIUSB410_00866_SEQ_10,无
11,TEXT_GAIUSB410_00866_SEQ_11,无
12,TEXT_GAIUSB410_00866_SEQ_12,无
13,TEXT_GAIUSB410_00866_SEQ_13,无
14,TEXT_GAIUSB410_00866_SEQ_14,无
15,TEXT_GAIUSB410_00866_SEQ_15,无
16,TEXT_GAIUSB410_00866_SEQ_16,无
17,TEXT_GAIUSB410_00866_SEQ_17,无
18,TEXT_GAIUSB410_00866_SEQ_18,无
19,TEXT_GAIUSB410_00866_SEQ_19,无
20,TEXT_GAIUSB410_00866_SEQ_20,无
21,TEXT_GAIUSB410_00866_SEQ_21,无
22,TEXT_GAIUSB410_00866_SEQ_22,无
23,TEXT_GAIUSB410_00866_SEQ_23,无
24,TEXT_GAIUSB410_00866_TODO_00,从<hex:02280FFF09>BNpcName<hex:F201870103>身上获取<hex:022811FF0A>EventItem<hex:F61E87210103>
25,TEXT_GAIUSB410_00866_TODO_01,让戈德伯特查看<hex:022811FF0A>EventItem<hex:F61E87210103>
26,TEXT_GAIUSB410_00866_TODO_02,对戈德伯特使用<hex:022811FF0A>EventItem<hex:F61E87210103>
27,TEXT_GAIUSB410_00866_TODO_03,再次对戈德伯特使用<hex:022811FF0A>EventItem<hex:F61E87210103>
28,TEXT_GAIUSB410_00866_TODO_04,给戈德伯特涂<hex:022811FF0A>EventItem<hex:F61E87210103>
29,TEXT_GAIUSB410_00866_TODO_05,再次给戈德伯特涂<hex:022811FF0A>EventItem<hex:F61E87210103>
30,TEXT_GAIUSB410_00866_TODO_06,向鲁库萨·珐鲁萨报告
31,TEXT_GAIUSB410_00866_TODO_07,无
32,TEXT_GAIUSB410_00866_TODO_08,无
33,TEXT_GAIUSB410_00866_TODO_09,无
34,TEXT_GAIUSB410_00866_TODO_10,无
35,TEXT_GAIUSB410_00866_TODO_11,无
36,TEXT_GAIUSB410_00866_TODO_12,无
37,TEXT_GAIUSB410_00866_TODO_13,无
38,TEXT_GAIUSB410_00866_TODO_14,无
39,TEXT_GAIUSB410_00866_TODO_15,无
40,TEXT_GAIUSB410_00866_TODO_16,无
41,TEXT_GAIUSB410_00866_TODO_17,无
42,TEXT_GAIUSB410_00866_TODO_18,无
43,TEXT_GAIUSB410_00866_TODO_19,无
44,TEXT_GAIUSB410_00866_TODO_20,无
45,TEXT_GAIUSB410_00866_TODO_21,无
46,TEXT_GAIUSB410_00866_TODO_22,无
47,TEXT_GAIUSB410_00866_TODO_23,无
48,TEXT_GAIUSB410_00866_RUKUSAFARUSA_000_000,石绿湖营地是提供给伤兵进行疗养，<hex:02100103>用温泉治疗伤痛的场所。<hex:02100103>但却有一位雕金匠大人到来了……
49,TEXT_GAIUSB410_00866_RUKUSAFARUSA_000_001,他前来寻求能够干燥伤患部的<hex:022811FF0A>EventItem<hex:F61E87210103>，<hex:02100103>但不巧的是，我们这刚好没有库存了。
50,TEXT_GAIUSB410_00866_RUKUSAFARUSA_000_002,冒险者，如果可以的话，<hex:02100103>能麻烦你去从<hex:02280FFF09>BNpcName<hex:F201870103>身上，得到4瓶量的<hex:022811FF0A>EventItem<hex:F61E87210103>，<hex:02100103>并将其交给那位客人吗？
51,TEXT_GAIUSB410_00866_DUMMY_000_010,从魔物身上得到3个<hex:022811FF0A>EventItem<hex:F61E87210103>
52,TEXT_GAIUSB410_00866_TODO_000_010,（未使用/预计删除）
53,TEXT_GAIUSB410_00866_GODBERT_000_020,哦！你把<hex:022811FF0A>EventItem<hex:F61E87210103>拿来了啊？！
54,TEXT_GAIUSB410_00866_GODBERT_000_021,为了筹备大角，我单凭一把手锯便前去挑战巨大的水牛，<hex:02100103>一大意，就弄得遍体鳞伤了！
55,TEXT_GAIUSB410_00866_GODBERT_000_022,我戈德伯特身为艾欧泽亚最强的雕金匠……<hex:02100103>竟搞成这样，真是惭愧……
56,TEXT_GAIUSB410_00866_GODBERT_000_023,你快动手吧！千万别客气！<hex:02100103>把<hex:022811FF0A>EventItem<hex:F61E87210103>抹到我身上来吧！<hex:02100103>胸肌！背肌！腹肌！一处都不要落下！
57,TEXT_GAIUSB410_00866_GODBERT_000_024,还没抹好<hex:022811FF0A>EventItem<hex:F61E87210103>吗？！
58,TEXT_GAIUSB410_00866_GODBERT_000_030,哈！再来一次！
59,TEXT_GAIUSB410_00866_GODBERT_000_035,哈！真是舒爽！<hex:02100103>你快来把它们涂匀吧！
60,TEXT_GAIUSB410_00866_GODBERT_000_036,哈！真是舒爽！<hex:02100103>你快来把它们涂匀吧！
61,TEXT_GAIUSB410_00866_GODBERT_000_025,哈！真是爽啊！
62,TEXT_GAIUSB410_00866_GODBERT_000_050,哎呀……<hex:02100103>你的手艺真是不错！<hex:02100103>我戈德伯特差点就舒服得睡着了！
63,TEXT_GAIUSB410_00866_GODBERT_000_051,稍微休息一下，<hex:02100103>然后再去泡上8个小时吧！<hex:02100103>闪闪发亮！柔滑细嫩！啊哈哈！
64,TEXT_GAIUSB410_00866_RUKUSAFARUSA_000_070,谢谢你。<hex:02100103>乌、乌尔达哈的有钱人，一个个都很怪呢……<hex:02100103>不管怎么说，谢谢你帮了我大忙！
