key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_GAIUSB504_00873_SEQ_00,圣阿达玛·兰达玛教会的伊琉德，有东西想要冒险者代为传递。
1,TEXT_GAIUSB504_00873_SEQ_01,伊琉德想保护流民街的人们免受传播传染疫病的虫类影响。将<hex:022811FF0A>EventItem<hex:F61E87290103>交给无望流民街的塞塞瓦卡。
2,TEXT_GAIUSB504_00873_SEQ_02,从塞塞瓦卡处接受了撒放<hex:022811FF0A>EventItem<hex:F61E87290103>的委托。在无望流民街中的<hex:02280CFF05>EObj<hex:F61E8CB10103>处，撒下<hex:022811FF0A>EventItem<hex:F61E87290103>。
3,TEXT_GAIUSB504_00873_SEQ_03,撒放工作顺利结束。向无望流民街的塞塞瓦卡报告。
4,TEXT_GAIUSB504_00873_SEQ_04,塞塞瓦卡十分感谢冒险者。返回圣阿达玛·兰达玛教会，向伊琉德报告。
5,TEXT_GAIUSB504_00873_SEQ_05,向伊琉德报告完毕。救济无望流民街是教会的使命之一。
6,TEXT_GAIUSB504_00873_SEQ_06,无
7,TEXT_GAIUSB504_00873_SEQ_07,无
8,TEXT_GAIUSB504_00873_SEQ_08,无
9,TEXT_GAIUSB504_00873_SEQ_09,无
10,TEXT_GAIUSB504_00873_SEQ_10,无
11,TEXT_GAIUSB504_00873_SEQ_11,无
12,TEXT_GAIUSB504_00873_SEQ_12,无
13,TEXT_GAIUSB504_00873_SEQ_13,无
14,TEXT_GAIUSB504_00873_SEQ_14,无
15,TEXT_GAIUSB504_00873_SEQ_15,无
16,TEXT_GAIUSB504_00873_SEQ_16,无
17,TEXT_GAIUSB504_00873_SEQ_17,无
18,TEXT_GAIUSB504_00873_SEQ_18,无
19,TEXT_GAIUSB504_00873_SEQ_19,无
20,TEXT_GAIUSB504_00873_SEQ_20,无
21,TEXT_GAIUSB504_00873_SEQ_21,无
22,TEXT_GAIUSB504_00873_SEQ_22,无
23,TEXT_GAIUSB504_00873_SEQ_23,无
24,TEXT_GAIUSB504_00873_TODO_00,让无望流民街的塞塞瓦卡查看<hex:022811FF0A>EventItem<hex:F61E87290103>
25,TEXT_GAIUSB504_00873_TODO_01,在<hex:02280CFF05>EObj<hex:F61E8CB10103>撒下<hex:022811FF0A>EventItem<hex:F61E87290103>
26,TEXT_GAIUSB504_00873_TODO_02,向塞塞瓦卡报告
27,TEXT_GAIUSB504_00873_TODO_03,向圣阿达玛·兰达玛教会的伊琉德报告
28,TEXT_GAIUSB504_00873_TODO_04,无
29,TEXT_GAIUSB504_00873_TODO_05,无
30,TEXT_GAIUSB504_00873_TODO_06,无
31,TEXT_GAIUSB504_00873_TODO_07,无
32,TEXT_GAIUSB504_00873_TODO_08,无
33,TEXT_GAIUSB504_00873_TODO_09,无
34,TEXT_GAIUSB504_00873_TODO_10,无
35,TEXT_GAIUSB504_00873_TODO_11,无
36,TEXT_GAIUSB504_00873_TODO_12,无
37,TEXT_GAIUSB504_00873_TODO_13,无
38,TEXT_GAIUSB504_00873_TODO_14,无
39,TEXT_GAIUSB504_00873_TODO_15,无
40,TEXT_GAIUSB504_00873_TODO_16,无
41,TEXT_GAIUSB504_00873_TODO_17,无
42,TEXT_GAIUSB504_00873_TODO_18,无
43,TEXT_GAIUSB504_00873_TODO_19,无
44,TEXT_GAIUSB504_00873_TODO_20,无
45,TEXT_GAIUSB504_00873_TODO_21,无
46,TEXT_GAIUSB504_00873_TODO_22,无
47,TEXT_GAIUSB504_00873_TODO_23,无
