key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_GAIUSC302_00969_SEQ_00,格里达尼亚旧街的园艺工塞蕾恩，有东西想要派送出去。
1,TEXT_GAIUSC302_00969_SEQ_01,接受了派送物品的委托，并被认定为优秀的冒险者。将<hex:022811FF0A>EventItem<hex:F61E88360103>交给妖精暂留地的热勒兰。
2,TEXT_GAIUSC302_00969_SEQ_02,将<hex:022811FF0A>EventItem<hex:F61E88360103>交给了热勒兰。不知他到底为何要寻找优秀的冒险者。
3,TEXT_GAIUSC302_00969_SEQ_03,无
4,TEXT_GAIUSC302_00969_SEQ_04,无
5,TEXT_GAIUSC302_00969_SEQ_05,无
6,TEXT_GAIUSC302_00969_SEQ_06,无
7,TEXT_GAIUSC302_00969_SEQ_07,无
8,TEXT_GAIUSC302_00969_SEQ_08,无
9,TEXT_GAIUSC302_00969_SEQ_09,无
10,TEXT_GAIUSC302_00969_SEQ_10,无
11,TEXT_GAIUSC302_00969_SEQ_11,无
12,TEXT_GAIUSC302_00969_SEQ_12,无
13,TEXT_GAIUSC302_00969_SEQ_13,无
14,TEXT_GAIUSC302_00969_SEQ_14,无
15,TEXT_GAIUSC302_00969_SEQ_15,无
16,TEXT_GAIUSC302_00969_SEQ_16,无
17,TEXT_GAIUSC302_00969_SEQ_17,无
18,TEXT_GAIUSC302_00969_SEQ_18,无
19,TEXT_GAIUSC302_00969_SEQ_19,无
20,TEXT_GAIUSC302_00969_SEQ_20,无
21,TEXT_GAIUSC302_00969_SEQ_21,无
22,TEXT_GAIUSC302_00969_SEQ_22,无
23,TEXT_GAIUSC302_00969_SEQ_23,无
24,TEXT_GAIUSC302_00969_TODO_00,将<hex:022811FF0A>EventItem<hex:F61E88360103>交给妖精暂留地的热勒兰
25,TEXT_GAIUSC302_00969_TODO_01,无
26,TEXT_GAIUSC302_00969_TODO_02,无
27,TEXT_GAIUSC302_00969_TODO_03,无
28,TEXT_GAIUSC302_00969_TODO_04,无
29,TEXT_GAIUSC302_00969_TODO_05,无
30,TEXT_GAIUSC302_00969_TODO_06,无
31,TEXT_GAIUSC302_00969_TODO_07,无
32,TEXT_GAIUSC302_00969_TODO_08,无
33,TEXT_GAIUSC302_00969_TODO_09,无
34,TEXT_GAIUSC302_00969_TODO_10,无
35,TEXT_GAIUSC302_00969_TODO_11,无
36,TEXT_GAIUSC302_00969_TODO_12,无
37,TEXT_GAIUSC302_00969_TODO_13,无
38,TEXT_GAIUSC302_00969_TODO_14,无
39,TEXT_GAIUSC302_00969_TODO_15,无
40,TEXT_GAIUSC302_00969_TODO_16,无
41,TEXT_GAIUSC302_00969_TODO_17,无
42,TEXT_GAIUSC302_00969_TODO_18,无
43,TEXT_GAIUSC302_00969_TODO_19,无
44,TEXT_GAIUSC302_00969_TODO_20,无
45,TEXT_GAIUSC302_00969_TODO_21,无
46,TEXT_GAIUSC302_00969_TODO_22,无
47,TEXT_GAIUSC302_00969_TODO_23,无
48,TEXT_GAIUSC302_00969_SELAINE_000_000,园艺工同事委托我在格里达尼亚帮他办些事，<hex:02100103>他想要寻找<hex:022811FF0A>EventItem<hex:F61E88360103>和优秀的冒险者。
49,TEXT_GAIUSC302_00969_SELAINE_000_001,<hex:022811FF0A>EventItem<hex:F61E88360103>我想办法弄到了，<hex:02100103>但优秀的冒险者总是可遇而不可求啊……<hex:02100103>哎呀，这不就近在眼前么。
50,TEXT_GAIUSC302_00969_SELAINE_000_002,冒险者，你能带上这个<hex:022811FF0A>EventItem<hex:F61E88360103>，<hex:02100103>去妖精暂留地找一趟热勒兰吗？
51,TEXT_GAIUSC302_00969_JEULERAND_000_010,哎呀，你是……<hex:02100103>莫、莫非你就是优秀的冒险者？！<hex:02100103>那你肯定拿着<hex:022811FF0A>EventItem<hex:F61E88360103>呢吧？
52,TEXT_GAIUSC302_00969_JEULERAND_000_011,哦，真不愧是塞蕾恩！<hex:02100103>居然同时找到了<hex:022811FF0A>EventItem<hex:F61E88360103>和优秀的冒险者！
