key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBBRD300_01085_SEQ_00,弓箭手行会的吕西安娜，想要教给冒险者学习新技能的方法。
1,TEXT_JOBBRD300_01085_SEQ_01,接受了吕西安娜的委托。和南部林区石场水车西面的吟游诗人让泰尔谈谈。
2,TEXT_JOBBRD300_01085_SEQ_02,向让泰尔请教诗歌后，被指示去和一个莫古力族见面。和南部林区石场水车东面的普库诺·珀奇对话。
3,TEXT_JOBBRD300_01085_SEQ_03,和普库诺·珀奇进行了交谈。调查南部林区枯叶堆的<hex:02280CFF05>EObj<hex:F61E8DBC0103>。
4,TEXT_JOBBRD300_01085_SEQ_04,成功取回了<hex:022811FF0A>EventItem<hex:F61E87AD0103>。将其交给南部林区石场水车东面的普库诺·珀奇。
5,TEXT_JOBBRD300_01085_SEQ_05,让普库诺·珀奇查看了<hex:022811FF0A>EventItem<hex:F61E87AD0103>。将<hex:022811FF0A>EventItem<hex:F61E87AD0103>交给南部林区石场水车西面的吟游诗人让泰尔。
6,TEXT_JOBBRD300_01085_SEQ_06,将<hex:022811FF0A>EventItem<hex:F61E87AD0103>交给了让泰尔，并传达了普库诺·珀奇的口信。交给让泰尔的<hex:022811FF0A>EventItem<hex:F61E87AD0103>，其实是<hex:022811FF05>Item<hex:FF08>　4546<hex:0103>。为了成为超越普库诺·珀奇想象的吟游诗人，努力磨练技艺。<hex:02100103><hex:02100103>※吟游诗人的等级达到35级以上时，可以从让泰尔那里领取下一个吟游诗人任务。
7,TEXT_JOBBRD300_01085_SEQ_07,空
8,TEXT_JOBBRD300_01085_SEQ_08,空
9,TEXT_JOBBRD300_01085_SEQ_09,空
10,TEXT_JOBBRD300_01085_SEQ_10,空
11,TEXT_JOBBRD300_01085_SEQ_11,空
12,TEXT_JOBBRD300_01085_SEQ_12,空
13,TEXT_JOBBRD300_01085_SEQ_13,空
14,TEXT_JOBBRD300_01085_SEQ_14,空
15,TEXT_JOBBRD300_01085_SEQ_15,空
16,TEXT_JOBBRD300_01085_SEQ_16,空
17,TEXT_JOBBRD300_01085_SEQ_17,空
18,TEXT_JOBBRD300_01085_SEQ_18,空
19,TEXT_JOBBRD300_01085_SEQ_19,空
20,TEXT_JOBBRD300_01085_SEQ_20,空
21,TEXT_JOBBRD300_01085_SEQ_21,空
22,TEXT_JOBBRD300_01085_SEQ_22,空
23,TEXT_JOBBRD300_01085_SEQ_23,空
24,TEXT_JOBBRD300_01085_TODO_00,和石场水车西边的让泰尔对话
25,TEXT_JOBBRD300_01085_TODO_01,和普库诺·珀奇对话
26,TEXT_JOBBRD300_01085_TODO_02,调查<hex:02280CFF05>EObj<hex:F61E8DBC0103>
27,TEXT_JOBBRD300_01085_TODO_03,让普库诺·珀奇查看<hex:022811FF0A>EventItem<hex:F61E87AD0103>
28,TEXT_JOBBRD300_01085_TODO_04,将<hex:022811FF0A>EventItem<hex:F61E87AD0103>交给让泰尔
29,TEXT_JOBBRD300_01085_TODO_05,空
30,TEXT_JOBBRD300_01085_TODO_06,空
31,TEXT_JOBBRD300_01085_TODO_07,空
32,TEXT_JOBBRD300_01085_TODO_08,空
33,TEXT_JOBBRD300_01085_TODO_09,空
34,TEXT_JOBBRD300_01085_TODO_10,空
35,TEXT_JOBBRD300_01085_TODO_11,空
36,TEXT_JOBBRD300_01085_TODO_12,空
37,TEXT_JOBBRD300_01085_TODO_13,空
38,TEXT_JOBBRD300_01085_TODO_14,空
39,TEXT_JOBBRD300_01085_TODO_15,空
40,TEXT_JOBBRD300_01085_TODO_16,空
41,TEXT_JOBBRD300_01085_TODO_17,空
42,TEXT_JOBBRD300_01085_TODO_18,空
43,TEXT_JOBBRD300_01085_TODO_19,空
44,TEXT_JOBBRD300_01085_TODO_20,空
45,TEXT_JOBBRD300_01085_TODO_21,空
46,TEXT_JOBBRD300_01085_TODO_22,空
47,TEXT_JOBBRD300_01085_TODO_23,空
48,TEXT_JOBBRD300_01085_LUCIANE_000_001,<hex:022903EB0203>，黑衣森林又出现了鸟人军的气球。<hex:02100103>
49,TEXT_JOBBRD300_01085_LUCIANE_000_002,一看到鸟人族……我就会想起“中央高地惨剧”。<hex:02100103>那是神勇队遭遇到的一次严重失败。<hex:02100103>……正好也是发生在这个季节。
50,TEXT_JOBBRD300_01085_LUCIANE_000_003,当下我们还要提防加雷马帝国，<hex:02100103>如果不对战斗力进行强化，<hex:02100103>那么很有可能会重蹈覆辙。
51,TEXT_JOBBRD300_01085_LUCIANE_000_004,不过，世上还是有好事发生的。<hex:02100103>虽然不是那种能够让人一下子欢呼雀跃起来的好事……
52,TEXT_JOBBRD300_01085_LUCIANE_000_005,据说，传说中的吟游诗人回到了黑衣森林，<hex:02100103>那是一个曾经被称为神勇队强弓的男人。
53,TEXT_JOBBRD300_01085_LUCIANE_000_006,他的名字叫让泰尔，是为数不多会吟唱“战歌”的吟游诗人，<hex:02100103>那是一种鼓舞同伴的诗歌。<hex:02100103>另外，他的弓术也堪称神技。
54,TEXT_JOBBRD300_01085_LUCIANE_000_007,不过，拥有显赫战绩的强弓让泰尔，<hex:02100103>却在几十年前离开了神勇队，从战场上消失了……
55,TEXT_JOBBRD300_01085_LUCIANE_000_008,听说在那之后，让泰尔舍弃了弓箭，<hex:02100103>以街头卖唱的吟游诗人身份，在各地流浪。
56,TEXT_JOBBRD300_01085_LUCIANE_000_009,当然，有许多弓箭手慕名而去向他请教弓术……<hex:02100103>不过，都被他以“只教授诗歌”为由，拒之门外。
57,TEXT_JOBBRD300_01085_LUCIANE_000_010,大家明明想要精进的是弓术，并不是诗歌。<hex:02100103>可是，传说中的吟游诗人却对此很冷淡，让人无可奈何。
58,TEXT_JOBBRD300_01085_LUCIANE_000_011,你看，这种好事的确没办法让人欢呼雀跃吧？<hex:02100103>哦？你也想要去见一见这位传说中的吟游诗人吗？<hex:02100103>那我就告诉你他逗留的地点吧。
59,TEXT_JOBBRD300_01085_LUCIANE_000_012,这位被称作强弓的吟游诗人，<hex:02100103>现在在南部林区“石场水车”的西边停留。<hex:02100103>他平时还是很平易近人的，应该不会拒绝见你。
60,TEXT_JOBBRD300_01085_LUCIANE_000_013,有机会的话，能问一问他舍弃弓箭的理由……<hex:02100103>让他改变想法就好了。<hex:02100103>不管是为了格里达尼亚也好，还是为了弓术的发展也好。
61,TEXT_JOBBRD300_01085_LUCIANE_000_014,不过，这种事就算是你也束手无策吧。<hex:02100103>好了，你去吧，祝你好运。
62,TEXT_JOBBRD300_01085_JEHANTEL_000_020,哦，又有客人么。<hex:02100103>……没错，我就是让泰尔。
63,TEXT_JOBBRD300_01085_JEHANTEL_000_021,没想到时隔多年重返森林，<hex:02100103>竟然会有这么多像你这样的年轻人来看我，真是让我受宠若惊。<hex:02100103>来，和我共吟一曲，一起欣赏这盎然绿意。
