key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBSMN400_01093_SEQ_00,碧企鹅瀑布的雅·蜜特拉有话要对冒险者说。
1,TEXT_JOBSMN400_01093_SEQ_01,接受了碧企鹅瀑布的雅·蜜特拉的委托。前往南萨纳兰的小阿拉米格，和原恒辉队队员对话。
2,TEXT_JOBSMN400_01093_SEQ_02,和原恒辉队队员进行了交谈。向格里达尼亚碧企鹅瀑布的雅·蜜特拉报告。
3,TEXT_JOBSMN400_01093_SEQ_03,向碧企鹅瀑布的雅·蜜特拉报告完毕。冒险者在小阿拉米格没有获得特里斯坦的新情报。但了解到了特里斯坦仇视着冒险者。<hex:02100103><hex:02100103>※召唤师的等级达到45级以上时，可以从雅·蜜特拉那里领取下一个召唤师任务。
4,TEXT_JOBSMN400_01093_SEQ_04,
5,TEXT_JOBSMN400_01093_SEQ_05,
6,TEXT_JOBSMN400_01093_SEQ_06,
7,TEXT_JOBSMN400_01093_SEQ_07,
8,TEXT_JOBSMN400_01093_SEQ_08,
9,TEXT_JOBSMN400_01093_SEQ_09,
10,TEXT_JOBSMN400_01093_SEQ_10,
11,TEXT_JOBSMN400_01093_SEQ_11,
12,TEXT_JOBSMN400_01093_SEQ_12,
13,TEXT_JOBSMN400_01093_SEQ_13,
14,TEXT_JOBSMN400_01093_SEQ_14,
15,TEXT_JOBSMN400_01093_SEQ_15,
16,TEXT_JOBSMN400_01093_SEQ_16,
17,TEXT_JOBSMN400_01093_SEQ_17,
18,TEXT_JOBSMN400_01093_SEQ_18,
19,TEXT_JOBSMN400_01093_SEQ_19,
20,TEXT_JOBSMN400_01093_SEQ_20,
21,TEXT_JOBSMN400_01093_SEQ_21,
22,TEXT_JOBSMN400_01093_SEQ_22,
23,TEXT_JOBSMN400_01093_SEQ_23,
24,TEXT_JOBSMN400_01093_TODO_00,和小阿拉米格的原恒辉队队员对话
25,TEXT_JOBSMN400_01093_TODO_01,向碧企鹅瀑布的雅·蜜特拉报告
26,TEXT_JOBSMN400_01093_TODO_02,
27,TEXT_JOBSMN400_01093_TODO_03,
28,TEXT_JOBSMN400_01093_TODO_04,
29,TEXT_JOBSMN400_01093_TODO_05,
30,TEXT_JOBSMN400_01093_TODO_06,
31,TEXT_JOBSMN400_01093_TODO_07,
32,TEXT_JOBSMN400_01093_TODO_08,
33,TEXT_JOBSMN400_01093_TODO_09,
34,TEXT_JOBSMN400_01093_TODO_10,
35,TEXT_JOBSMN400_01093_TODO_11,
36,TEXT_JOBSMN400_01093_TODO_12,
37,TEXT_JOBSMN400_01093_TODO_13,
38,TEXT_JOBSMN400_01093_TODO_14,
39,TEXT_JOBSMN400_01093_TODO_15,
40,TEXT_JOBSMN400_01093_TODO_16,
41,TEXT_JOBSMN400_01093_TODO_17,
42,TEXT_JOBSMN400_01093_TODO_18,
43,TEXT_JOBSMN400_01093_TODO_19,
44,TEXT_JOBSMN400_01093_TODO_20,
45,TEXT_JOBSMN400_01093_TODO_21,
46,TEXT_JOBSMN400_01093_TODO_22,
47,TEXT_JOBSMN400_01093_TODO_23,
48,TEXT_JOBSMN400_01093_YMHITRA_000_000,我通过圣寇伊纳克财团，<hex:02100103>调查了那个黑色召唤师的身份……<hex:02100103>发现了疑似嫌疑人的人。
49,TEXT_JOBSMN400_01093_YMHITRA_000_001,他能使役伊弗利特之灵。<hex:02100103>所以我就对过去参加过<hex:02100103>伊弗利特讨伐战的生还者进行了摸底调查……
50,TEXT_JOBSMN400_01093_YMHITRA_000_002,在生还者中，目前有8人下落不明。<hex:02100103>再对种族和性别进行筛选后，<hex:02100103>一个嫌疑人就浮出水面了。
51,TEXT_JOBSMN400_01093_YMHITRA_000_003,嫌疑人是一个名为特里斯坦的原恒辉队男性士兵。<hex:02100103>不过，关于他为何能够使用召唤魔法，<hex:02100103>还有他为何袭击我们……这些目前还不得而知。
52,TEXT_JOBSMN400_01093_YMHITRA_000_004,……如果他利用召唤魔法行恶的话，我们就不能坐视不理了。<hex:02100103>召唤魔法是应该用在正道上的魔法，而不是肆意伤害他人的魔法。
53,TEXT_JOBSMN400_01093_YMHITRA_000_005,我们要弄清他的目的，情况不妙时，就算用武力也要阻止他。<hex:02100103>如若对他的恶行放任不管，<hex:02100103>那么召唤魔法就有可能会被视为禁忌，被禁止使用……
54,TEXT_JOBSMN400_01093_YMHITRA_000_006,根据调查结果，<hex:02100103>现得知特里斯坦的原恒辉队战友在小阿拉米格。<hex:02100103>你就去向那个原恒辉队队员打听情报吧。
55,TEXT_JOBSMN400_01093_SENYOU_000_010,没想到真的来了……<hex:02100103>你就是染上蛮神之力的蠢货吧。
56,TEXT_JOBSMN400_01093_SENYOU_000_011,必须快把这消息告诉特里斯坦。<hex:02100103>喂，你们！这里就交给你们了！
57,TEXT_JOBSMN400_01093_YMHITRA_000_020,怎么会这样！<hex:02100103>竟然先被特里斯坦摆了一道！
58,TEXT_JOBSMN400_01093_YMHITRA_000_021,一定是特里斯坦唆使那些人这么做的，<hex:02100103>让他们以为<hex:022903EB0203>是被蛮神迷惑的信徒……
59,TEXT_JOBSMN400_01093_YMHITRA_000_022,看来那个特里斯坦相当精明啊。<hex:02100103>而且绝对不会自乱阵脚……
60,TEXT_JOBSMN400_01093_YMHITRA_000_023,他有很明确的目标。<hex:02100103>而且还能使用召唤魔法，与我们对立。<hex:02100103>……但能知道这一点，也算是有所收获了。
61,TEXT_JOBSMN400_01093_YMHITRA_000_024,话说回来，真不愧是<hex:022903EB0203>啊。<hex:02100103>即使面对突然袭击，也能化险为夷。
62,TEXT_JOBSMN400_01093_YMHITRA_000_025,这次让你白跑了一趟，不好意思啦。<hex:02100103>不过，最近文献记录的解读也有些新进展了。<hex:02100103>我告诉你一个刚发现的技能吧。
63,TEXT_JOBSMN400_01093_YMHITRA_000_026,你现在已经能自由控制召唤兽了，<hex:02100103>那这个古老记录中所记载的技能应该也不在话下。<hex:02100103>整理下心情，继续努力吧。
64,TEXT_JOBSMN400_01093_POP_MESSAGE,察觉到了敌人的气息！
