key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_GAIUSD003_01157_SEQ_00,拂晓血盟的帕帕力莫希望冒险者去讨伐蛮神迦楼罗。
1,TEXT_GAIUSD003_01157_SEQ_01,继蛮神伊弗利特之后，蛮神迦楼罗也被再次召唤出来。和格里达尼亚蛇巢司令部的沃尔赛勒谈谈。
2,TEXT_GAIUSD003_01157_SEQ_02,据沃尔赛勒所说，可以使用库尔札斯中央高地风扬殖民地的以太之光，前往迦楼罗所在的呼啸眼石塔群。
3,TEXT_GAIUSD003_01157_SEQ_03,和以太之光进行了共鸣。和同伴一起打倒再次被召唤出来的蛮神迦楼罗！<hex:02100103><hex:02100103>※可以通过任务搜索器参加。
4,TEXT_GAIUSD003_01157_SEQ_04,空
5,TEXT_GAIUSD003_01157_SEQ_05,空
6,TEXT_GAIUSD003_01157_SEQ_06,空
7,TEXT_GAIUSD003_01157_SEQ_07,空
8,TEXT_GAIUSD003_01157_SEQ_08,空
9,TEXT_GAIUSD003_01157_SEQ_09,空
10,TEXT_GAIUSD003_01157_SEQ_10,空
11,TEXT_GAIUSD003_01157_SEQ_11,空
12,TEXT_GAIUSD003_01157_SEQ_12,空
13,TEXT_GAIUSD003_01157_SEQ_13,空
14,TEXT_GAIUSD003_01157_SEQ_14,空
15,TEXT_GAIUSD003_01157_SEQ_15,空
16,TEXT_GAIUSD003_01157_SEQ_16,空
17,TEXT_GAIUSD003_01157_SEQ_17,空
18,TEXT_GAIUSD003_01157_SEQ_18,空
19,TEXT_GAIUSD003_01157_SEQ_19,空
20,TEXT_GAIUSD003_01157_SEQ_20,空
21,TEXT_GAIUSD003_01157_SEQ_21,空
22,TEXT_GAIUSD003_01157_SEQ_22,空
23,TEXT_GAIUSD003_01157_SEQ_23,空
24,TEXT_GAIUSD003_01157_TODO_00,和蛇巢司令部的沃尔赛勒对话
25,TEXT_GAIUSD003_01157_TODO_01,和风扬殖民地的以太之光共鸣
26,TEXT_GAIUSD003_01157_TODO_02,空
27,TEXT_GAIUSD003_01157_TODO_03,空
28,TEXT_GAIUSD003_01157_TODO_04,空
29,TEXT_GAIUSD003_01157_TODO_05,空
30,TEXT_GAIUSD003_01157_TODO_06,空
31,TEXT_GAIUSD003_01157_TODO_07,空
32,TEXT_GAIUSD003_01157_TODO_08,空
33,TEXT_GAIUSD003_01157_TODO_09,空
34,TEXT_GAIUSD003_01157_TODO_10,空
35,TEXT_GAIUSD003_01157_TODO_11,空
36,TEXT_GAIUSD003_01157_TODO_12,空
37,TEXT_GAIUSD003_01157_TODO_13,空
38,TEXT_GAIUSD003_01157_TODO_14,空
39,TEXT_GAIUSD003_01157_TODO_15,空
40,TEXT_GAIUSD003_01157_TODO_16,空
41,TEXT_GAIUSD003_01157_TODO_17,空
42,TEXT_GAIUSD003_01157_TODO_18,空
43,TEXT_GAIUSD003_01157_TODO_19,空
44,TEXT_GAIUSD003_01157_TODO_20,空
45,TEXT_GAIUSD003_01157_TODO_21,空
46,TEXT_GAIUSD003_01157_TODO_22,空
47,TEXT_GAIUSD003_01157_TODO_23,空
48,TEXT_GAIUSD003_01157_PAPALYMO_000_000,哟，<hex:022903EB0203>，听说你打倒了蛮神伊弗利特啊！<hex:02100103>真不愧是拯救了艾欧泽亚的光之战士。
49,TEXT_GAIUSD003_01157_PAPALYMO_000_001,……不过，还有件事要拜托你。<hex:02100103>因为，鸟人族的蛮神迦楼罗也被再次召唤出来了。
