key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANAMA201_01232_SEQ_00,灰阵营的纳尔基·冬有事想要告诉冒险者。
1,TEXT_BANAMA201_01232_SEQ_01,接受了纳尔基·冬的委托。讨伐赞拉克侧翼阵的<hex:02280FFF09>BNpcName<hex:F207570103>，获取2个<hex:022811FF0A>EventItem<hex:F61E88DB0103>；再讨伐<hex:02280FFF09>BNpcName<hex:F207580103>，获取2个<hex:022811FF0A>EventItem<hex:F61E88DC0103>。
2,TEXT_BANAMA201_01232_SEQ_02,获得了<hex:022811FF0A>EventItem<hex:F61E88DC0103>和<hex:022811FF0A>EventItem<hex:F61E88DB0103>。将<hex:022811FF0A>EventItem<hex:F61E88DC0103>和<hex:022811FF0A>EventItem<hex:F61E88DB0103>交给灰阵营的纳尔基·冬。
3,TEXT_BANAMA201_01232_SEQ_03,将<hex:022811FF0A>EventItem<hex:F61E88DC0103>和<hex:022811FF0A>EventItem<hex:F61E88DB0103>交给了纳尔基·冬。纳尔基·冬一脸满足地看着从敌对蜥蜴人族那里夺来的蛮神召唤祭具。他说短时间内应该能阻止蛮神的召唤了。下次有机会再协助他。
4,TEXT_BANAMA201_01232_SEQ_04,无
5,TEXT_BANAMA201_01232_SEQ_05,无
6,TEXT_BANAMA201_01232_SEQ_06,无
7,TEXT_BANAMA201_01232_SEQ_07,无
8,TEXT_BANAMA201_01232_SEQ_08,无
9,TEXT_BANAMA201_01232_SEQ_09,无
10,TEXT_BANAMA201_01232_SEQ_10,无
11,TEXT_BANAMA201_01232_SEQ_11,无
12,TEXT_BANAMA201_01232_SEQ_12,无
13,TEXT_BANAMA201_01232_SEQ_13,无
14,TEXT_BANAMA201_01232_SEQ_14,无
15,TEXT_BANAMA201_01232_SEQ_15,无
16,TEXT_BANAMA201_01232_SEQ_16,无
17,TEXT_BANAMA201_01232_SEQ_17,无
18,TEXT_BANAMA201_01232_SEQ_18,无
19,TEXT_BANAMA201_01232_SEQ_19,无
20,TEXT_BANAMA201_01232_SEQ_20,无
21,TEXT_BANAMA201_01232_SEQ_21,无
22,TEXT_BANAMA201_01232_SEQ_22,无
23,TEXT_BANAMA201_01232_SEQ_23,无
24,TEXT_BANAMA201_01232_TODO_00,从<hex:02280FFF09>BNpcName<hex:F207570103>身上得到<hex:022811FF0A>EventItem<hex:F61E88DB0103>
25,TEXT_BANAMA201_01232_TODO_01,从<hex:02280FFF09>BNpcName<hex:F207580103>身上得到<hex:022811FF0A>EventItem<hex:F61E88DC0103>
26,TEXT_BANAMA201_01232_TODO_02,将祭器交给纳尔基·冬
27,TEXT_BANAMA201_01232_TODO_03,无
28,TEXT_BANAMA201_01232_TODO_04,无
29,TEXT_BANAMA201_01232_TODO_05,无
30,TEXT_BANAMA201_01232_TODO_06,无
31,TEXT_BANAMA201_01232_TODO_07,无
32,TEXT_BANAMA201_01232_TODO_08,无
33,TEXT_BANAMA201_01232_TODO_09,无
34,TEXT_BANAMA201_01232_TODO_10,无
35,TEXT_BANAMA201_01232_TODO_11,无
36,TEXT_BANAMA201_01232_TODO_12,无
37,TEXT_BANAMA201_01232_TODO_13,无
38,TEXT_BANAMA201_01232_TODO_14,无
39,TEXT_BANAMA201_01232_TODO_15,无
40,TEXT_BANAMA201_01232_TODO_16,无
41,TEXT_BANAMA201_01232_TODO_17,无
42,TEXT_BANAMA201_01232_TODO_18,无
43,TEXT_BANAMA201_01232_TODO_19,无
44,TEXT_BANAMA201_01232_TODO_20,无
45,TEXT_BANAMA201_01232_TODO_21,无
46,TEXT_BANAMA201_01232_TODO_22,无
47,TEXT_BANAMA201_01232_TODO_23,无
48,TEXT_BANAMA201_01232_NARUJIBOH_000_000,最近，不悔战阵的那群家伙的行动起了变化。<hex:02100103>肯定是你的活跃表现刺激了他们。
49,TEXT_BANAMA201_01232_NARUJIBOH_000_001,连暗中指挥那群家伙的祭司们也开始现身活动了。<hex:02100103>看来是召唤火神的计划受阻，他们陷入了焦急的状态。
50,TEXT_BANAMA201_01232_NARUJIBOH_000_002,机会来了，强者。<hex:02100103>打倒侍奉火神的祭司<hex:02280FFF09>BNpcName<hex:F207570103>及其侍从<hex:02280FFF09>BNpcName<hex:F207580103>！
51,TEXT_BANAMA201_01232_NARUJIBOH_000_003,夺取祭司们的祭具和供品，让他们曝尸荒野。<hex:02100103>这样一来，就能阻止其举行的邪恶仪式了。
52,TEXT_BANAMA201_01232_NARUJIBOH_000_011,目标是<hex:02280FFF09>BNpcName<hex:F207570103>和<hex:02280FFF09>BNpcName<hex:F207580103>。<hex:02100103>夺取他们的祭具和供品。
53,TEXT_BANAMA201_01232_NARUJIBOH_000_021,不靠锻炼来摆脱自己的软弱，<hex:02100103>净想着依附神明，何其懦弱！<hex:02100103>你去夺取祭司们举行仪式用的祭具和供品。
54,TEXT_BANAMA201_01232_NARUJIBOH_000_022,嗯，这正是祭祀火神的祭具和供品。<hex:02100103>那些家伙露出焦急的样子，却不料砸了自己的脚。
55,TEXT_BANAMA201_01232_NARUJIBOH_000_023,多亏了你，这下那些家伙要愈发焦急了。<hex:02100103>他们以后还会再制作祭具吧，<hex:02100103>到时候再夺过来就行了。
