key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANSYL106_01262_SEQ_00,妖精暂留地的特那克希亚对坏妖精们的行径感到很气愤。
1,TEXT_BANSYL106_01262_SEQ_01,接受了特那克希亚的委托。在百灵啼和神秘的妖精谈谈。
2,TEXT_BANSYL106_01262_SEQ_02,和神秘的妖精进行了交谈，身上被他施加了隐身咒文。调查百灵啼的<hex:02280CFF05>EObj<hex:F61E90830103>，获取<hex:02280CFF05>EObj<hex:F61E90830103>。<hex:02100103><hex:02100103>※透明状态在一定时间后就会失效。接触<hex:02280CFF05>EObj<hex:F61E90870103>可以延长透明状态的持续时间。
3,TEXT_BANSYL106_01262_SEQ_03,获得了<hex:02280CFF05>EObj<hex:F61E90830103>。将<hex:02280CFF05>EObj<hex:F61E90830103>交给妖精暂留地的特那克希亚。
4,TEXT_BANSYL106_01262_SEQ_04,将<hex:02280CFF05>EObj<hex:F61E90830103>交给了特那克希亚。特那克希亚如愿阻止了坏妖精们举行仪式，并拜托冒险者今后也多多关照，看起来冒险者获得了他的信赖。下次有机会再协助他。
5,TEXT_BANSYL106_01262_SEQ_05,空栏
6,TEXT_BANSYL106_01262_SEQ_06,空栏
7,TEXT_BANSYL106_01262_SEQ_07,空栏
8,TEXT_BANSYL106_01262_SEQ_08,空栏
9,TEXT_BANSYL106_01262_SEQ_09,空栏
10,TEXT_BANSYL106_01262_SEQ_10,空栏
11,TEXT_BANSYL106_01262_SEQ_11,空栏
12,TEXT_BANSYL106_01262_SEQ_12,空栏
13,TEXT_BANSYL106_01262_SEQ_13,空栏
14,TEXT_BANSYL106_01262_SEQ_14,空栏
15,TEXT_BANSYL106_01262_SEQ_15,空栏
16,TEXT_BANSYL106_01262_SEQ_16,空栏
17,TEXT_BANSYL106_01262_SEQ_17,空栏
18,TEXT_BANSYL106_01262_SEQ_18,空栏
19,TEXT_BANSYL106_01262_SEQ_19,空栏
20,TEXT_BANSYL106_01262_SEQ_20,空栏
21,TEXT_BANSYL106_01262_SEQ_21,空栏
22,TEXT_BANSYL106_01262_SEQ_22,空栏
23,TEXT_BANSYL106_01262_SEQ_23,
24,TEXT_BANSYL106_01262_TODO_00,在百灵啼和神秘的妖精对话
25,TEXT_BANSYL106_01262_TODO_01,在透明状态下获取<hex:02280CFF05>EObj<hex:F61E90830103>
26,TEXT_BANSYL106_01262_TODO_02,将<hex:02280CFF05>EObj<hex:F61E90830103>交给特那克希亚
27,TEXT_BANSYL106_01262_TODO_03,空栏
28,TEXT_BANSYL106_01262_TODO_04,空栏
29,TEXT_BANSYL106_01262_TODO_05,空栏
30,TEXT_BANSYL106_01262_TODO_06,空栏
31,TEXT_BANSYL106_01262_TODO_07,空栏
32,TEXT_BANSYL106_01262_TODO_08,空栏
33,TEXT_BANSYL106_01262_TODO_09,空栏
34,TEXT_BANSYL106_01262_TODO_10,空栏
35,TEXT_BANSYL106_01262_TODO_11,空栏
36,TEXT_BANSYL106_01262_TODO_12,空栏
37,TEXT_BANSYL106_01262_TODO_13,空栏
38,TEXT_BANSYL106_01262_TODO_14,空栏
39,TEXT_BANSYL106_01262_TODO_15,空栏
40,TEXT_BANSYL106_01262_TODO_16,空栏
41,TEXT_BANSYL106_01262_TODO_17,空栏
42,TEXT_BANSYL106_01262_TODO_18,空栏
43,TEXT_BANSYL106_01262_TODO_19,空栏
44,TEXT_BANSYL106_01262_TODO_20,空栏
45,TEXT_BANSYL106_01262_TODO_21,空栏
46,TEXT_BANSYL106_01262_TODO_22,空栏
47,TEXT_BANSYL106_01262_TODO_23,
