key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_BANKOB105_01329_SEQ_00,第789洞穴团采矿地的第789团清洁工博兹显得很慌张。
1,TEXT_BANKOB105_01329_SEQ_01,据第789团清洁工博兹所说，采矿地所饲养的<hex:02280FFF09>BNpcName<hex:F20A800103>逃跑了，为此他十分困扰。在黑金湖寻找并讨伐<hex:02280FFF09>BNpcName<hex:F20A800103>，获取3个<hex:022811FF0A>EventItem<hex:F61E89310103>。
2,TEXT_BANKOB105_01329_SEQ_02,从<hex:02280FFF09>BNpcName<hex:F20A800103>身上获得了<hex:022811FF0A>EventItem<hex:F61E89310103>。将<hex:022811FF0A>EventItem<hex:F61E89310103>交给第789洞穴团采矿地的第789团清洁工博兹。
3,TEXT_BANKOB105_01329_SEQ_03,将<hex:022811FF0A>EventItem<hex:F61E89310103>交给了第789团清洁工博兹。只要有了<hex:022811FF0A>EventItem<hex:F61E89310103>，就能令爆弹怪再生。爆弹怪不听话，这令第789团清洁工博兹很是困扰。如果下次爆弹怪再逃跑，要及时赶去帮忙，以免出现不必要的伤亡。
4,TEXT_BANKOB105_01329_SEQ_04,无
5,TEXT_BANKOB105_01329_SEQ_05,无
6,TEXT_BANKOB105_01329_SEQ_06,无
7,TEXT_BANKOB105_01329_SEQ_07,无
8,TEXT_BANKOB105_01329_SEQ_08,无
9,TEXT_BANKOB105_01329_SEQ_09,无
10,TEXT_BANKOB105_01329_SEQ_10,无
11,TEXT_BANKOB105_01329_SEQ_11,无
12,TEXT_BANKOB105_01329_SEQ_12,无
13,TEXT_BANKOB105_01329_SEQ_13,无
14,TEXT_BANKOB105_01329_SEQ_14,无
15,TEXT_BANKOB105_01329_SEQ_15,无
16,TEXT_BANKOB105_01329_SEQ_16,无
17,TEXT_BANKOB105_01329_SEQ_17,无
18,TEXT_BANKOB105_01329_SEQ_18,无
19,TEXT_BANKOB105_01329_SEQ_19,无
20,TEXT_BANKOB105_01329_SEQ_20,无
21,TEXT_BANKOB105_01329_SEQ_21,无
22,TEXT_BANKOB105_01329_SEQ_22,无
23,TEXT_BANKOB105_01329_SEQ_23,无
24,TEXT_BANKOB105_01329_TODO_00,在黑金湖寻找并打倒<hex:02280FFF09>BNpcName<hex:F20A800103><hex:02100103>获取<hex:022811FF0A>EventItem<hex:F61E89310103>
25,TEXT_BANKOB105_01329_TODO_01,将<hex:022811FF0A>EventItem<hex:F61E89310103>交给第789团清洁工博兹
26,TEXT_BANKOB105_01329_TODO_02,无
27,TEXT_BANKOB105_01329_TODO_03,无
28,TEXT_BANKOB105_01329_TODO_04,无
29,TEXT_BANKOB105_01329_TODO_05,无
30,TEXT_BANKOB105_01329_TODO_06,无
31,TEXT_BANKOB105_01329_TODO_07,无
32,TEXT_BANKOB105_01329_TODO_08,无
33,TEXT_BANKOB105_01329_TODO_09,无
34,TEXT_BANKOB105_01329_TODO_10,无
35,TEXT_BANKOB105_01329_TODO_11,无
36,TEXT_BANKOB105_01329_TODO_12,无
37,TEXT_BANKOB105_01329_TODO_13,无
38,TEXT_BANKOB105_01329_TODO_14,无
39,TEXT_BANKOB105_01329_TODO_15,无
40,TEXT_BANKOB105_01329_TODO_16,无
41,TEXT_BANKOB105_01329_TODO_17,无
42,TEXT_BANKOB105_01329_TODO_18,无
43,TEXT_BANKOB105_01329_TODO_19,无
44,TEXT_BANKOB105_01329_TODO_20,无
45,TEXT_BANKOB105_01329_TODO_21,无
46,TEXT_BANKOB105_01329_TODO_22,无
47,TEXT_BANKOB105_01329_TODO_23,无
