key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESEST006_01419_SEQ_00,※本任务是特定期间内的任务。<hex:02100103><hex:02100103>格里达尼亚的吉莉·阿里亚珀，想委托冒险者去完成彩蛋狩猎的任务。
1,TEXT_FESEST006_01419_SEQ_01,※本任务只有在季节活动开放期间才能接受和进行。<hex:02100103>　季节活动结束后无法进行，敬请注意。<hex:02100103>　详情请参见官方网站。<hex:02100103><hex:02100103>吉莉·阿里亚珀希望冒险者帮她在乌尔达哈寻找预言蛋。戴上<hex:022811FF05>Item<hex:FF08>　2659<hex:0103>，去乌尔达哈，和红玉大路国际市场的奥塞尔福对话。
2,TEXT_FESEST006_01419_SEQ_02,接受了委托，搬运放置在乌尔达哈的预言蛋。戴上<hex:022811FF05>Item<hex:FF08>　2659<hex:0103>或<hex:022811FF05>Item<hex:FF08>　2809<hex:0103>，和同伴组成2人小队，与乌尔达哈札尔之门的奥古斯蒂尼埃尔对话。
3,TEXT_FESEST006_01419_SEQ_03,和奥古斯蒂尼埃尔进行了交谈。从札尔之门的2个预言蛋中，挑选与装备中的蛋壳帽相同花纹的，并拿起它。要拿起<hex:02280CFF05>EObj<hex:F61E92A20103>，需要装备<hex:022811FF05>Item<hex:FF08>　2659<hex:0103>；要拿起<hex:02280CFF05>EObj<hex:F61E92A40103>，需要装备<hex:022811FF05>Item<hex:FF08>　2809<hex:0103>。
4,TEXT_FESEST006_01419_SEQ_04,拿起了预言蛋。将预言蛋放进黄金广场对应的彩蛋罐里。将<hex:02280CFF05>EObj<hex:F61E92A20103>放进<hex:02280CFF05>EObj<hex:F61E92A60103>里；将<hex:02280CFF05>EObj<hex:F61E92A40103>放进<hex:02280CFF05>EObj<hex:F61E92A70103>里。<hex:02100103><hex:02100103>※搬运状态只能维持一段时间。<hex:02100103>※若失败，需要从开始地点重新开始挑战。
5,TEXT_FESEST006_01419_SEQ_05,将预言蛋放进了相对应的彩蛋罐里。和红玉大路国际市场的奥塞尔福对话。
6,TEXT_FESEST006_01419_SEQ_06,和奥塞尔福进行了交谈。向格里达尼亚的吉莉·阿里亚珀报告。
7,TEXT_FESEST006_01419_SEQ_07,向吉莉·阿里亚珀报告完毕。预言蛋的数量终于足以迎接贤者了。专心参加彩蛋狩猎活动，等待贤者降临。
8,TEXT_FESEST006_01419_SEQ_08,无
9,TEXT_FESEST006_01419_SEQ_09,无
10,TEXT_FESEST006_01419_SEQ_10,无
11,TEXT_FESEST006_01419_SEQ_11,无
12,TEXT_FESEST006_01419_SEQ_12,无
13,TEXT_FESEST006_01419_SEQ_13,无
14,TEXT_FESEST006_01419_SEQ_14,无
15,TEXT_FESEST006_01419_SEQ_15,无
16,TEXT_FESEST006_01419_SEQ_16,无
17,TEXT_FESEST006_01419_SEQ_17,无
18,TEXT_FESEST006_01419_SEQ_18,无
19,TEXT_FESEST006_01419_SEQ_19,无
20,TEXT_FESEST006_01419_SEQ_20,无
21,TEXT_FESEST006_01419_SEQ_21,无
22,TEXT_FESEST006_01419_SEQ_22,无
23,TEXT_FESEST006_01419_SEQ_23,无
24,TEXT_FESEST006_01419_TODO_00,戴着<hex:022811FF05>Item<hex:FF08>　2659<hex:0103> 和乌尔达哈的奥塞尔福对话
25,TEXT_FESEST006_01419_TODO_01,组成2人小队 戴着指定蛋壳帽<hex:02100103>和札尔之门的奥古斯蒂尼埃尔对话
26,TEXT_FESEST006_01419_TODO_02,戴着指定蛋壳帽 拿起预言蛋
27,TEXT_FESEST006_01419_TODO_03,将预言蛋放入彩蛋罐中
28,TEXT_FESEST006_01419_TODO_04,和红玉大路国际市场的奥塞尔福对话
29,TEXT_FESEST006_01419_TODO_05,向格里达尼亚的吉莉·阿里亚珀报告
30,TEXT_FESEST006_01419_TODO_06,无
31,TEXT_FESEST006_01419_TODO_07,无
32,TEXT_FESEST006_01419_TODO_08,无
33,TEXT_FESEST006_01419_TODO_09,无
34,TEXT_FESEST006_01419_TODO_10,无
35,TEXT_FESEST006_01419_TODO_11,无
36,TEXT_FESEST006_01419_TODO_12,无
37,TEXT_FESEST006_01419_TODO_13,无
38,TEXT_FESEST006_01419_TODO_14,无
39,TEXT_FESEST006_01419_TODO_15,无
40,TEXT_FESEST006_01419_TODO_16,无
41,TEXT_FESEST006_01419_TODO_17,无
42,TEXT_FESEST006_01419_TODO_18,无
43,TEXT_FESEST006_01419_TODO_19,无
44,TEXT_FESEST006_01419_TODO_20,无
45,TEXT_FESEST006_01419_TODO_21,无
46,TEXT_FESEST006_01419_TODO_22,无
47,TEXT_FESEST006_01419_TODO_23,无
48,TEXT_FESEST006_01419_JIHLIALIAPOH_000_000,彩蛋～彩蛋～大彩蛋～<hex:02100103>大家一起来收集彩蛋吧！<hex:02100103>一起来收集装饰彩蛋吧！
49,TEXT_FESEST006_01419_JIHLIALIAPOH_000_001,<hex:022903EB0203>，我等你好久啦！<hex:02100103>通过我的启示梦，乌尔达哈被偷的预言蛋也顺利找到了！
50,TEXT_FESEST006_01419_JIHLIALIAPOH_000_002,魔石精们把彩蛋藏在精铁龟的巢穴里，<hex:02100103>蛋险些被踩碎！<hex:02100103>看来魔石精是相当不想让贤者降临啊。
51,TEXT_FESEST006_01419_JIHLIALIAPOH_000_003,负责乌尔达哈的彩蛋狩猎活动的，<hex:02100103>是吟游诗人团体“人工生命”的奥塞尔福。<hex:02100103>他正在找人帮忙呢，你快去吧。
52,TEXT_FESEST006_01419_JIHLIALIAPOH_000_004,只要戴上<hex:022811FF05>Item<hex:FF08>　2659<hex:0103>，<hex:02100103>那个寡言的奥塞尔福也会马上向你敞开心扉啦！<hex:02100103>彩蛋～彩蛋～大彩蛋～
53,TEXT_FESEST006_01419_JIHLIALIAPOH_000_005,彩蛋～彩蛋～大彩蛋～<hex:02100103>大家一起来收集彩蛋吧！<hex:02100103>一起来收集装饰彩蛋吧！
54,TEXT_FESEST006_01419_JIHLIALIAPOH_000_006,你戴着<hex:022811FF05>Item<hex:FF08>　2659<hex:0103>，<hex:02100103>去乌尔达哈找奥塞尔福。<hex:02100103>彩蛋～彩蛋～大彩蛋～
55,TEXT_FESEST006_01419_ORSELFAUX_000_010,彩蛋……彩蛋……大彩蛋……<hex:02100103>对于不戴<hex:022811FF05>Item<hex:FF08>　2659<hex:0103>的你来说，<hex:02100103>这歌声肯定很刺耳吧……
56,TEXT_FESEST006_01419_ORSELFAUX_000_015,彩蛋……彩蛋……大彩蛋……<hex:02100103>这帽子……看样子你是来帮忙的吧。
57,TEXT_FESEST006_01419_ORSELFAUX_000_016,那我们不要唱这种没有危机感的歌了，赶快进入正题吧……<hex:02100103>奥古斯蒂尼埃尔已经将发现的预言蛋运往乌尔达哈城内了……
58,TEXT_FESEST006_01419_ORSELFAUX_000_017,但奥古好像迷路了，<hex:02100103>一直不见他人影……<hex:02100103>估计他是走累了，正在札尔之门那里休息呢。
