key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESANV001_01546_SEQ_00,※本任务是特定期间内的任务。<hex:02100103><hex:02100103>利姆萨·罗敏萨的记者布兰正在收集情报。
1,TEXT_FESANV001_01546_SEQ_01,※本任务只有在季节活动开放期间才能接受和进行。<hex:02100103>　季节活动结束后无法进行，敬请注意。<hex:02100103>　详情请参见官方网站。<hex:02100103><hex:02100103>神秘的吟游诗人出现在了各城邦中，布兰正在收集相关情报。向利姆萨·罗敏萨城内3位市民询问吟游诗人的事。
2,TEXT_FESANV001_01546_SEQ_02,得到了吟游诗人的情报。向舰尾楼的记者布兰报告。
3,TEXT_FESANV001_01546_SEQ_03,向布兰说了吟游诗人的事。他预测吟游诗人近期也会出现在利姆萨·罗敏萨。如果在舰尾楼看到了类似诗人的人，试着上前搭话。
4,TEXT_FESANV001_01546_SEQ_04,和异国的诗人进行了交谈。他对这次相遇表示喜悦，还称赞了冒险者的活跃表现，并且吟唱了路易索瓦留下的诗歌与即兴诗以示感谢。今后，想必冒险者的事迹也会以诗歌的形式被一直传唱下去。
5,TEXT_FESANV001_01546_SEQ_05,空
6,TEXT_FESANV001_01546_SEQ_06,空
7,TEXT_FESANV001_01546_SEQ_07,空
8,TEXT_FESANV001_01546_SEQ_08,空
9,TEXT_FESANV001_01546_SEQ_09,空
10,TEXT_FESANV001_01546_SEQ_10,空
11,TEXT_FESANV001_01546_SEQ_11,空
12,TEXT_FESANV001_01546_SEQ_12,空
13,TEXT_FESANV001_01546_SEQ_13,空
14,TEXT_FESANV001_01546_SEQ_14,空
15,TEXT_FESANV001_01546_SEQ_15,空
16,TEXT_FESANV001_01546_SEQ_16,空
17,TEXT_FESANV001_01546_SEQ_17,空
18,TEXT_FESANV001_01546_SEQ_18,空
19,TEXT_FESANV001_01546_SEQ_19,空
20,TEXT_FESANV001_01546_SEQ_20,空
21,TEXT_FESANV001_01546_SEQ_21,空
22,TEXT_FESANV001_01546_SEQ_22,空
23,TEXT_FESANV001_01546_SEQ_23,空
24,TEXT_FESANV001_01546_TODO_00,收集关于神秘的吟游诗人的情报
25,TEXT_FESANV001_01546_TODO_01,向布兰报告
26,TEXT_FESANV001_01546_TODO_02,和舰尾楼异国的诗人对话
27,TEXT_FESANV001_01546_TODO_03,空
28,TEXT_FESANV001_01546_TODO_04,空
29,TEXT_FESANV001_01546_TODO_05,空
30,TEXT_FESANV001_01546_TODO_06,空
31,TEXT_FESANV001_01546_TODO_07,空
32,TEXT_FESANV001_01546_TODO_08,空
33,TEXT_FESANV001_01546_TODO_09,空
34,TEXT_FESANV001_01546_TODO_10,空
35,TEXT_FESANV001_01546_TODO_11,空
36,TEXT_FESANV001_01546_TODO_12,空
37,TEXT_FESANV001_01546_TODO_13,空
38,TEXT_FESANV001_01546_TODO_14,空
39,TEXT_FESANV001_01546_TODO_15,空
40,TEXT_FESANV001_01546_TODO_16,空
41,TEXT_FESANV001_01546_TODO_17,空
42,TEXT_FESANV001_01546_TODO_18,空
43,TEXT_FESANV001_01546_TODO_19,空
44,TEXT_FESANV001_01546_TODO_20,空
45,TEXT_FESANV001_01546_TODO_21,空
46,TEXT_FESANV001_01546_TODO_22,空
47,TEXT_FESANV001_01546_TODO_23,空
48,TEXT_FESANV001_01546_BRAN_000_000,……可以占用你一点时间吗？<hex:02100103>我叫布兰，是海之都知名资讯杂志«海港新闻»的新人记者。
49,TEXT_FESANV001_01546_BRAN_000_001,最近有一个神秘的吟游诗人在各城邦出现，<hex:02100103>我在收集相关情报。
50,TEXT_FESANV001_01546_BRAN_000_002,据说那个诗人戴着银饰，衣着也非常花哨……<hex:02100103>……原来如此，你在附近没有见到过呀。
51,TEXT_FESANV001_01546_BRAN_000_003,他所唱的诗歌广受好评，我想采访他。
52,TEXT_FESANV001_01546_BRAN_000_004,我去问问其他人，你这边有什么情报也请务必告诉我。<hex:02100103>拜托了。
53,TEXT_FESANV001_01546_BRAN_000_009,要是有了关于神秘的吟游诗人的情报，<hex:02100103>请务必告诉我。<hex:02100103>拜托了。
54,TEXT_FESANV001_01546_PETYRWINSOME_000_000,空
55,TEXT_FESANV001_01546_PETYRWINSOME_000_001,空
56,TEXT_FESANV001_01546_PETYRWINSOME_000_002,空
57,TEXT_FESANV001_01546_PETYRWINSOME_000_003,空
58,TEXT_FESANV001_01546_PETYRWINSOME_000_004,空
59,TEXT_FESANV001_01546_PETYRWINSOME_000_009,空
60,TEXT_FESANV001_01546_GREGORY_000_010,……出现在各地的神秘的吟游诗人？<hex:02100103>说起来前阵子我执行冒险者行会的任务，<hex:02100103>去格里达尼亚跑腿的时候见到过像是诗人的家伙。
61,TEXT_FESANV001_01546_GREGORY_000_011,因为他样貌和我有些神似，所以我有点印象。<hex:02100103>当时他一脸沉静地注视着城内为追悼灵灾而放的礼花。
62,TEXT_FESANV001_01546_GREGORY_000_012,我也在灵灾中失去了好兄弟。<hex:02100103>所以呢，就走过去问了问他是不是和我有同样的经历。<hex:02100103>但却不知为什么被他道谢了……真是想不明白。
63,TEXT_FESANV001_01546_GREGORY_000_015,我执行冒险者行会的任务而跑腿去格里达尼亚时，<hex:02100103>见到过像是诗人的家伙。<hex:02100103>当时他一脸沉静地注视着城内为追悼灵灾而放的礼花。
64,TEXT_FESANV001_01546_GREGORY_000_016,我也在灵灾中失去了好兄弟。<hex:02100103>所以呢，就走过去问了问他是不是和我有同样的经历。<hex:02100103>但却不知为什么被他道谢了……真是想不明白。
65,TEXT_FESANV001_01546_GIGIWAZU_000_010,……神秘的吟游诗人？<hex:02100103>虽然不知道是不是你说的那个人，<hex:02100103>但我之前回乌尔达哈老家时，有个像是诗人的家伙向我问过路。
66,TEXT_FESANV001_01546_GIGIWAZU_000_011,他向我请教哪里比较适合观赏礼花。<hex:02100103>你看，最近各城邦不都在夜里放礼花嘛。
67,TEXT_FESANV001_01546_GIGIWAZU_000_012,对灵灾牺牲者的追悼，与对复兴的祝福，<hex:02100103>那是将这些心意倾注其中的特别礼花。<hex:02100103>他多半是想要看着礼花吟唱诗歌吧。
68,TEXT_FESANV001_01546_GIGIWAZU_000_015,我之前回乌尔达哈老家时，<hex:02100103>有个像是诗人的家伙向我问过路。
69,TEXT_FESANV001_01546_GIGIWAZU_000_016,他向我请教哪里比较适合观赏礼花。<hex:02100103>你看，最近各城邦不都在夜里放礼花嘛。
70,TEXT_FESANV001_01546_GIGIWAZU_000_017,对灵灾牺牲者的追悼，与对复兴的祝福，<hex:02100103>那是将这些心意倾注其中的特别礼花。<hex:02100103>他多半是想要看着礼花吟唱诗歌吧。
71,TEXT_FESANV001_01546_GINNADE_000_010,……最近常被人提起的吟游诗人？<hex:02100103>我在时刻警戒以便将他绳之于法。
