key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_FESSUM004_01537_SEQ_00,※本任务是特定期间内的任务。<hex:02100103><hex:02100103>红莲节执行委员长荷尔玛伽想让冒险者帮忙参加活动。
1,TEXT_FESSUM004_01537_SEQ_01,※本任务只有在季节活动开放期间才能接受和进行。<hex:02100103>　季节活动结束后无法进行，敬请注意。<hex:02100103>　详情请参见官方网站。<hex:02100103><hex:02100103>荷尔玛伽委托冒险者帮忙参加红莲水龙队出击的活动。前往拉诺西亚低地的盲铁坑道入口处，向红莲节执行委员艾西莉亚申请参加活动。
2,TEXT_FESSUM004_01537_SEQ_02,听取了红莲水龙队出击的说明。活动地点聚集了很多孩子，他们希望看到华丽的灭火行动。再次和红莲节执行委员艾西莉亚对话，骑上水龙蜥，开始灭火训练。
3,TEXT_FESSUM004_01537_SEQ_03,空栏
4,TEXT_FESSUM004_01537_SEQ_04,空栏
5,TEXT_FESSUM004_01537_SEQ_05,空栏
6,TEXT_FESSUM004_01537_SEQ_06,空栏
7,TEXT_FESSUM004_01537_SEQ_07,空栏
8,TEXT_FESSUM004_01537_SEQ_08,空栏
9,TEXT_FESSUM004_01537_SEQ_09,空栏
10,TEXT_FESSUM004_01537_SEQ_10,空栏
11,TEXT_FESSUM004_01537_SEQ_11,空栏
12,TEXT_FESSUM004_01537_SEQ_12,空栏
13,TEXT_FESSUM004_01537_SEQ_13,空栏
14,TEXT_FESSUM004_01537_SEQ_14,空栏
15,TEXT_FESSUM004_01537_SEQ_15,空栏
16,TEXT_FESSUM004_01537_SEQ_16,空栏
17,TEXT_FESSUM004_01537_SEQ_17,空栏
18,TEXT_FESSUM004_01537_SEQ_18,空栏
19,TEXT_FESSUM004_01537_SEQ_19,空栏
20,TEXT_FESSUM004_01537_SEQ_20,空栏
21,TEXT_FESSUM004_01537_SEQ_21,空栏
22,TEXT_FESSUM004_01537_SEQ_22,空栏
23,TEXT_FESSUM004_01537_SEQ_23,空栏
24,TEXT_FESSUM004_01537_TODO_00,和盲铁坑道的红莲节执行委员艾西莉亚对话
25,TEXT_FESSUM004_01537_TODO_01,空栏
26,TEXT_FESSUM004_01537_TODO_02,空栏
27,TEXT_FESSUM004_01537_TODO_03,空栏
28,TEXT_FESSUM004_01537_TODO_04,空栏
29,TEXT_FESSUM004_01537_TODO_05,空栏
30,TEXT_FESSUM004_01537_TODO_06,空栏
31,TEXT_FESSUM004_01537_TODO_07,空栏
32,TEXT_FESSUM004_01537_TODO_08,空栏
33,TEXT_FESSUM004_01537_TODO_09,空栏
34,TEXT_FESSUM004_01537_TODO_10,空栏
35,TEXT_FESSUM004_01537_TODO_11,空栏
36,TEXT_FESSUM004_01537_TODO_12,空栏
37,TEXT_FESSUM004_01537_TODO_13,空栏
38,TEXT_FESSUM004_01537_TODO_14,空栏
39,TEXT_FESSUM004_01537_TODO_15,空栏
40,TEXT_FESSUM004_01537_TODO_16,空栏
41,TEXT_FESSUM004_01537_TODO_17,空栏
42,TEXT_FESSUM004_01537_TODO_18,空栏
43,TEXT_FESSUM004_01537_TODO_19,空栏
44,TEXT_FESSUM004_01537_TODO_20,空栏
45,TEXT_FESSUM004_01537_TODO_21,空栏
46,TEXT_FESSUM004_01537_TODO_22,空栏
47,TEXT_FESSUM004_01537_TODO_23,空栏
48,TEXT_FESSUM004_01537_HAERMAGA_000_000,你来啦！<hex:02100103>我首先给你介绍的活动是红莲水龙队出击。
49,TEXT_FESSUM004_01537_HAERMAGA_000_001,冒险者的任务不仅仅是打倒魔物和惩戒坏人。<hex:02100103>如果村落被魔物袭击，发生了火灾什么的，<hex:02100103>冒险者也要为了保护人们的财产和生命，挺身而出。
50,TEXT_FESSUM004_01537_HAERMAGA_000_002,这个活动就是要利用魔物，向客人们展示消防训练！<hex:02100103>活动地点在拉诺西亚低地的盲铁坑道入口附近。
51,TEXT_FESSUM004_01537_HAERMAGA_000_003,你到了以后去找红莲节执行委员艾西莉亚，向她询问详情即可。
52,TEXT_FESSUM004_01537_HAERMAGA_000_010,我想请你帮忙参加红莲水龙队出击这个活动。<hex:02100103>活动地点在拉诺西亚低地的盲铁坑道入口处。<hex:02100103>要参加的话，向红莲节执行委员艾西莉亚说下即可。
53,TEXT_FESSUM004_01537_HAERMAGA_000_011,对于三项活动都帮忙了的冒险者，<hex:02100103>作为委员长的我会颁发特别的奖励！
54,TEXT_FESSUM004_01537_ETHELIA_000_030,哼哼……来了！<hex:02100103>从现在起，你就成为了消防部队“水龙队”的一员了！<hex:02100103>水龙队是为了这次节日临时编成的部队。
55,TEXT_FESSUM004_01537_ETHELIA_000_031,这次要用的是水龙蜥。<hex:02100103>本来水龙蜥是蛮族鱼人族所使用的海兽……<hex:02100103>但是冒险者行会现在养了不少。
56,TEXT_FESSUM004_01537_ETHELIA_000_032,这次希望你骑上水龙蜥，<hex:02100103>到野外进行假想的消防灭火训练。<hex:02100103>你只要刺激它的腋下，它就会吐出冰冷的水！
57,TEXT_FESSUM004_01537_ETHELIA_000_033,这附近的火灾现场设置了火柱，<hex:02100103>你就让水龙蜥“喷水”来浇灭它吧。<hex:02100103>当然，喷到附近的客人身上也没事哦！
58,TEXT_FESSUM004_01537_ETHELIA_000_034,这样客人们就可以以身体验这喷水的威力……<hex:02100103>感受到其灭火能力了。<hex:02100103>事先已经打好招呼了，不用在意，使劲喷他们吧！
59,TEXT_FESSUM004_01537_ETHELIA_000_035,你现在可是孩子们瞩目的焦点！<hex:02100103>让他们看看冒险者的英姿吧！<hex:02100103>准备好了就告诉我。
