key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_HEAVNA302_01603_SEQ_00,福尔唐伯爵府的阿尔菲诺好像有什么烦恼。
1,TEXT_HEAVNA302_01603_SEQ_01,和阿尔菲诺进行了交谈。和福尔唐伯爵府附近的阿尔菲诺谈谈。
2,TEXT_HEAVNA302_01603_SEQ_02,冒险者决定与阿尔菲诺、埃斯蒂尼安一起，说服伊塞勒前去和龙族交涉。为此需要让艾默里克压制住对龙族的主动攻击。前往伊修加德神殿骑士团总部的神殿骑士团总骑士长室。神殿骑士团总部的神殿骑士团的卫兵会带领冒险者前往神殿骑士团总骑士长室。
3,TEXT_HEAVNA302_01603_SEQ_03,和艾默里克进行了交谈，委托他去压制住主战派。和神殿骑士团总部的阿尔菲诺谈谈。
4,TEXT_HEAVNA302_01603_SEQ_04,艾默里克为冒险者一行争取到了时间。一行人的下一个目标是去与伊塞勒交涉，争取到她的协助。为了保护恩人与盟友，克服困难，勇敢前进。
5,TEXT_HEAVNA302_01603_SEQ_05,无
6,TEXT_HEAVNA302_01603_SEQ_06,无
7,TEXT_HEAVNA302_01603_SEQ_07,无
8,TEXT_HEAVNA302_01603_SEQ_08,无
9,TEXT_HEAVNA302_01603_SEQ_09,无
10,TEXT_HEAVNA302_01603_SEQ_10,无
11,TEXT_HEAVNA302_01603_SEQ_11,无
12,TEXT_HEAVNA302_01603_SEQ_12,无
13,TEXT_HEAVNA302_01603_SEQ_13,无
14,TEXT_HEAVNA302_01603_SEQ_14,无
15,TEXT_HEAVNA302_01603_SEQ_15,无
16,TEXT_HEAVNA302_01603_SEQ_16,无
17,TEXT_HEAVNA302_01603_SEQ_17,无
18,TEXT_HEAVNA302_01603_SEQ_18,无
19,TEXT_HEAVNA302_01603_SEQ_19,无
20,TEXT_HEAVNA302_01603_SEQ_20,无
21,TEXT_HEAVNA302_01603_SEQ_21,无
22,TEXT_HEAVNA302_01603_SEQ_22,无
23,TEXT_HEAVNA302_01603_SEQ_23,无
24,TEXT_HEAVNA302_01603_TODO_00,和福尔唐伯爵府附近的阿尔菲诺对话
25,TEXT_HEAVNA302_01603_TODO_01,前往神殿骑士团总部的神殿骑士团总骑士长室
26,TEXT_HEAVNA302_01603_TODO_02,和阿尔菲诺对话
27,TEXT_HEAVNA302_01603_TODO_03,无
28,TEXT_HEAVNA302_01603_TODO_04,无
29,TEXT_HEAVNA302_01603_TODO_05,无
30,TEXT_HEAVNA302_01603_TODO_06,无
31,TEXT_HEAVNA302_01603_TODO_07,无
32,TEXT_HEAVNA302_01603_TODO_08,无
33,TEXT_HEAVNA302_01603_TODO_09,无
34,TEXT_HEAVNA302_01603_TODO_10,无
35,TEXT_HEAVNA302_01603_TODO_11,无
36,TEXT_HEAVNA302_01603_TODO_12,无
37,TEXT_HEAVNA302_01603_TODO_13,无
38,TEXT_HEAVNA302_01603_TODO_14,无
39,TEXT_HEAVNA302_01603_TODO_15,无
40,TEXT_HEAVNA302_01603_TODO_16,无
41,TEXT_HEAVNA302_01603_TODO_17,无
42,TEXT_HEAVNA302_01603_TODO_18,无
43,TEXT_HEAVNA302_01603_TODO_19,无
44,TEXT_HEAVNA302_01603_TODO_20,无
45,TEXT_HEAVNA302_01603_TODO_21,无
46,TEXT_HEAVNA302_01603_TODO_22,无
47,TEXT_HEAVNA302_01603_TODO_23,无
48,TEXT_HEAVNA302_01603_ALPHINAUD_000_000,不管怎样，我们都要做出选择……<hex:02100103>我去外面清醒清醒，<hex:02100103>过后再就今后的行动进行商讨。
