key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_HEAVNA602_01651_SEQ_00,忘忧骑士亭的塔塔露想要委托冒险者确认一些事情。
1,TEXT_HEAVNA602_01651_SEQ_01,塔塔露曾委托皮平搜索与贤人们分开的希拉狄哈水道。为了听取报告，前往乌尔达哈的恒辉作战总部，和皮平谈谈。
2,TEXT_HEAVNA602_01651_SEQ_02,和皮平进行了交谈。恒辉队在希拉狄哈水道找到了雅·修特拉的手杖。于里昂热看出雅·修特拉使用了古代传送魔法这一禁术进行了传送，表示想要调查现场的以太痕迹，找出有关传送目的地的线索。和中萨纳兰希拉狄哈遗迹的于里昂热对话。
3,TEXT_HEAVNA602_01651_SEQ_03,根据于里昂热的调查，雅·修特拉很有可能徘徊在黑衣森林的地脉之中。为了救她，需要请求嘉恩·艾·神纳的协助。和格里达尼亚丰饶神祭坛的阿尔菲诺谈谈。
4,TEXT_HEAVNA602_01651_SEQ_04,和阿尔菲诺进行了交谈。不知是否能够借助到嘉恩·艾·神纳的力量。
5,TEXT_HEAVNA602_01651_SEQ_05,空
6,TEXT_HEAVNA602_01651_SEQ_06,空
7,TEXT_HEAVNA602_01651_SEQ_07,空
8,TEXT_HEAVNA602_01651_SEQ_08,空
9,TEXT_HEAVNA602_01651_SEQ_09,空
10,TEXT_HEAVNA602_01651_SEQ_10,空
11,TEXT_HEAVNA602_01651_SEQ_11,空
12,TEXT_HEAVNA602_01651_SEQ_12,空
13,TEXT_HEAVNA602_01651_SEQ_13,空
14,TEXT_HEAVNA602_01651_SEQ_14,空
15,TEXT_HEAVNA602_01651_SEQ_15,空
16,TEXT_HEAVNA602_01651_SEQ_16,空
17,TEXT_HEAVNA602_01651_SEQ_17,空
18,TEXT_HEAVNA602_01651_SEQ_18,空
19,TEXT_HEAVNA602_01651_SEQ_19,空
20,TEXT_HEAVNA602_01651_SEQ_20,空
21,TEXT_HEAVNA602_01651_SEQ_21,空
22,TEXT_HEAVNA602_01651_SEQ_22,空
23,TEXT_HEAVNA602_01651_SEQ_23,空
24,TEXT_HEAVNA602_01651_TODO_00,和恒辉作战总部的皮平对话
25,TEXT_HEAVNA602_01651_TODO_01,和希拉狄哈遗迹的于里昂热对话
26,TEXT_HEAVNA602_01651_TODO_02,和格里达尼亚的阿尔菲诺对话
27,TEXT_HEAVNA602_01651_TODO_03,空
28,TEXT_HEAVNA602_01651_TODO_04,空
29,TEXT_HEAVNA602_01651_TODO_05,空
30,TEXT_HEAVNA602_01651_TODO_06,空
31,TEXT_HEAVNA602_01651_TODO_07,空
32,TEXT_HEAVNA602_01651_TODO_08,空
33,TEXT_HEAVNA602_01651_TODO_09,空
34,TEXT_HEAVNA602_01651_TODO_10,空
35,TEXT_HEAVNA602_01651_TODO_11,空
36,TEXT_HEAVNA602_01651_TODO_12,空
37,TEXT_HEAVNA602_01651_TODO_13,空
38,TEXT_HEAVNA602_01651_TODO_14,空
39,TEXT_HEAVNA602_01651_TODO_15,空
40,TEXT_HEAVNA602_01651_TODO_16,空
41,TEXT_HEAVNA602_01651_TODO_17,空
42,TEXT_HEAVNA602_01651_TODO_18,空
43,TEXT_HEAVNA602_01651_TODO_19,空
44,TEXT_HEAVNA602_01651_TODO_20,空
45,TEXT_HEAVNA602_01651_TODO_21,空
46,TEXT_HEAVNA602_01651_TODO_22,空
47,TEXT_HEAVNA602_01651_TODO_23,空
48,TEXT_HEAVNA602_01651_TATARU_000_000,<hex:022903EB0203>，在之前的那次庆功会上，<hex:02100103>你们是从希拉狄哈水道逃出来的吧？
49,TEXT_HEAVNA602_01651_TATARU_000_001,我听说后，联系了恒辉队的皮平·塔鲁平协耀将，<hex:02100103>拜托他彻底搜索了那个地下水道。
50,TEXT_HEAVNA602_01651_ALPHINAUD_000_002,原来如此……<hex:02100103>你最后是和敏菲利亚、雅·修特拉、桑克瑞德在一起吧？
51,TEXT_HEAVNA602_01651_ALPHINAUD_000_003,难道你已经知道他们的下落了吗？
52,TEXT_HEAVNA602_01651_TATARU_000_004,还不知道……<hex:02100103>不过，皮平·塔鲁平协耀将联系我说，<hex:02100103>有事情想要告诉我，要我到恒辉作战总部去！
53,TEXT_HEAVNA602_01651_ALPHINAUD_000_005,看来是掌握到了一些线索么……<hex:02100103>好，那我们一起去乌尔达哈吧！<hex:02100103>也得通知于里昂热，让他也过来。
54,TEXT_HEAVNA602_01651_TATARU_000_005,明白了！
55,TEXT_HEAVNA602_01651_ALPHINAUD_100_006,塔塔露真是靠得住啊。<hex:02100103>虽然是一些按部就班的工作，但要是没有她的情报支援，<hex:02100103>我都不知道下一步要怎么办了。
56,TEXT_HEAVNA602_01651_URIANGER_000_007,同伴们突然消失不知去向……<hex:02100103>必须要找到他们才行。
57,TEXT_HEAVNA602_01651_ALPHINAUD_000_006,（未使用/预计删除）
58,TEXT_HEAVNA602_01651_TATARU_000_008,（未使用/预计删除）
59,TEXT_HEAVNA602_01651_ALPHINAUD_000_010,感谢您的协助，皮平协耀将。
60,TEXT_HEAVNA602_01651_PIPPIN_000_011,不要说那些见外的话。<hex:02100103>你们是养父和娜娜莫陛下的救命恩人，<hex:02100103>这点事情实在是微不足道。
61,TEXT_HEAVNA602_01651_TATARU_000_012,那、那搜索的结果如何呢？
62,TEXT_HEAVNA602_01651_PIPPIN_000_013,嗯，我接到塔塔露女士的委托，<hex:02100103>派恒辉队对希拉狄哈水道进行了大规模的搜索。<hex:02100103>不过，地下有一处区域完全崩塌了。
63,TEXT_HEAVNA602_01651_PIPPIN_000_014,然后我拜托艾玛吉娜矿山公司清除了瓦砾……<hex:02100103>不过在那里，我们只发现了身着蓝色制服的遗体。
64,TEXT_HEAVNA602_01651_ALPHINAUD_000_015,是水晶义勇队的追兵么……
65,TEXT_HEAVNA602_01651_PIPPIN_000_016,而并未发现贤人们的遗体。<hex:02100103>在现场，我们唯一的发现，就是这个……
66,TEXT_HEAVNA602_01651_TATARU_000_017,雅·修特拉小姐的手杖！
67,TEXT_HEAVNA602_01651_PIPPIN_000_018,果然是这样么……
68,TEXT_HEAVNA602_01651_URIANGER_000_019,恕我失礼……<hex:02100103>皮平阁下，可以给我看一下那根手杖吗？
69,TEXT_HEAVNA602_01651_URIANGER_000_020,这个以太痕迹……果然……<hex:02100103>虽然很微弱，但这根手杖上残留着使用过特殊魔法的痕迹。
70,TEXT_HEAVNA602_01651_ALPHINAUD_000_021,特殊魔法？
71,TEXT_HEAVNA602_01651_URIANGER_000_022,是的，那是萨雷安的禁术之一……古代强制传送魔法。<hex:02100103>那是传送魔法的原型，是一种伟大的魔法。<hex:02100103>它开启了利用地脉的先河。
72,TEXT_HEAVNA602_01651_URIANGER_000_023,因为这种魔法会瞬间将肉体以太化，并强制融入地脉，<hex:02100103>所以不需要长时间的咏唱，便可以完成传送。<hex:02100103>即使是在战斗当中……
