key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBMCH520_01706_SEQ_00,天钢机工房的斯特凡尼维安有事想拜托冒险者。
1,TEXT_JOBMCH520_01706_SEQ_01,天钢机工房的机工士们不得不在缺少乔伊的情况下参加与泽梅尔家的共同作战。为了进行准备工作，前往摩杜纳的帝国中央堡，调查<hex:02280CFF05>EObj<hex:F61E9CFD0103>，取得3个<hex:022811FF0A>EventItem<hex:F61E8B980103>。
2,TEXT_JOBMCH520_01706_SEQ_02,获得了<hex:022811FF0A>EventItem<hex:F61E8B980103>。将<hex:022811FF0A>EventItem<hex:F61E8B980103>交给天钢机工房的斯特凡尼维安。
3,TEXT_JOBMCH520_01706_SEQ_03,将<hex:022811FF0A>EventItem<hex:F61E8B980103>交给了斯特凡尼维安。趁他进行开发作业时，前往伊修加德基础层的云雾街打听关于厉害的猎人的情报。
4,TEXT_JOBMCH520_01706_SEQ_04,打听到了情报。和天钢机工房的斯特凡尼维安谈谈。
5,TEXT_JOBMCH520_01706_SEQ_05,和斯特凡尼维安进行了交谈。为了找到乔伊，前往库尔札斯西部高地的隼巢，在<hex:02280BFF05>EObj<hex:F51E9D0103>进行张望。
6,TEXT_JOBMCH520_01706_SEQ_06,虽然在隼巢发现了乔伊，但她却并不打算回到工房。和天钢机工房的斯特凡尼维安谈谈。
7,TEXT_JOBMCH520_01706_SEQ_07,和斯特凡尼维安进行了交谈。为了让与泽梅尔家的共同作战成功，努力磨练机工士技巧。<hex:02100103><hex:02100103>※机工士的等级达到54级以上时，可以从天钢机工房的斯特凡尼维安那里领取下一个机工士任务。
8,TEXT_JOBMCH520_01706_SEQ_08,空
9,TEXT_JOBMCH520_01706_SEQ_09,空
10,TEXT_JOBMCH520_01706_SEQ_10,空
11,TEXT_JOBMCH520_01706_SEQ_11,空
12,TEXT_JOBMCH520_01706_SEQ_12,空
13,TEXT_JOBMCH520_01706_SEQ_13,空
14,TEXT_JOBMCH520_01706_SEQ_14,空
15,TEXT_JOBMCH520_01706_SEQ_15,空
16,TEXT_JOBMCH520_01706_SEQ_16,空
17,TEXT_JOBMCH520_01706_SEQ_17,空
18,TEXT_JOBMCH520_01706_SEQ_18,空
19,TEXT_JOBMCH520_01706_SEQ_19,空
20,TEXT_JOBMCH520_01706_SEQ_20,空
21,TEXT_JOBMCH520_01706_SEQ_21,空
22,TEXT_JOBMCH520_01706_SEQ_22,空
23,TEXT_JOBMCH520_01706_SEQ_23,空
24,TEXT_JOBMCH520_01706_TODO_00,调查帝国中央堡的<hex:02280CFF05>EObj<hex:F61E9CFD0103><hex:02100103>获取<hex:022811FF0A>EventItem<hex:F61E8B980103>
25,TEXT_JOBMCH520_01706_TODO_01,将<hex:022811FF0A>EventItem<hex:F61E8B980103>交给天钢机工房的斯特凡尼维安
26,TEXT_JOBMCH520_01706_TODO_02,打听厉害的猎人的情报
27,TEXT_JOBMCH520_01706_TODO_03,和斯特凡尼维安对话
28,TEXT_JOBMCH520_01706_TODO_04,在隼巢的<hex:02280BFF05>EObj<hex:F51E9D0103>张望
29,TEXT_JOBMCH520_01706_TODO_05,和天钢机工房的斯特凡尼维安对话
30,TEXT_JOBMCH520_01706_TODO_06,空
31,TEXT_JOBMCH520_01706_TODO_07,空
32,TEXT_JOBMCH520_01706_TODO_08,空
33,TEXT_JOBMCH520_01706_TODO_09,空
34,TEXT_JOBMCH520_01706_TODO_10,空
35,TEXT_JOBMCH520_01706_TODO_11,空
36,TEXT_JOBMCH520_01706_TODO_12,空
37,TEXT_JOBMCH520_01706_TODO_13,空
38,TEXT_JOBMCH520_01706_TODO_14,空
39,TEXT_JOBMCH520_01706_TODO_15,空
40,TEXT_JOBMCH520_01706_TODO_16,空
41,TEXT_JOBMCH520_01706_TODO_17,空
42,TEXT_JOBMCH520_01706_TODO_18,空
43,TEXT_JOBMCH520_01706_TODO_19,空
44,TEXT_JOBMCH520_01706_TODO_20,空
45,TEXT_JOBMCH520_01706_TODO_21,空
46,TEXT_JOBMCH520_01706_TODO_22,空
47,TEXT_JOBMCH520_01706_TODO_23,空
48,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_000,你来啦，<hex:022903EB0203>。<hex:02100103>根据消息，不仅是乔伊，连乔伊的父亲也消失不见了。
49,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_001,塞莱斯特虽然在查，但还没有查出确切的情报……<hex:02100103>在等待情报的同时，共同作战的开始日期也在不断迫近，<hex:02100103>得开始做一些准备工作了。
50,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_002,空
51,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_003,现在泽梅尔家在对隼巢进行改建，<hex:02100103>但这一工程受到了龙族的频繁干扰……
52,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_004,听说近期龙族会发起进攻，而本次共同作战的目的，<hex:02100103>应该就是从进攻的龙族手中保护正在施工的防护墙。<hex:02100103>恐怕，艾因哈特家的战力恐怕会被分配到最前线去。
53,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_005,我们干得好，龙族就会被击退。<hex:02100103>我们搞砸了，教皇厅对机工士的评价就会降低。<hex:02100103>对提达尔格兰什来说这可是个只赚不赔的生意。
54,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_006,但我们却绝不能失败。<hex:02100103>为了尽可能提升作战成功率，我想要进行新兵器的开发。<hex:02100103>希望你能帮我搜集一些材料。
55,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_007,使用先进的技术最能推动开发进度。<hex:02100103>请你侵入帝国中央堡，<hex:02100103>从<hex:02280CFF05>EObj<hex:F61E9CFD0103>中找3个<hex:022811FF0A>EventItem<hex:F61E8B980103>回来。
56,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_009,使用先进的技术最能推动开发进度。<hex:02100103>请你侵入帝国中央堡，<hex:02100103>从<hex:02280CFF05>EObj<hex:F61E9CFD0103>中找3个<hex:022811FF0A>EventItem<hex:F61E8B980103>回来。
57,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_010,现在乔伊不在，我就只能依靠你了。<hex:02100103>请你侵入帝国中央堡，<hex:02100103>从<hex:02280CFF05>EObj<hex:F61E9CFD0103>中找3个<hex:022811FF0A>EventItem<hex:F61E8B980103>回来。
58,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_011,谢谢，我研究一下这些东西应该就能提高开发速度了。<hex:02100103>之后就剩下等乔伊回来了……<hex:02100103>拜托了，能请你也帮忙去找找她吗？
59,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_012,据说塞莱斯特被伊修加德云雾街的情报网拒之门外了。<hex:02100103>恐怕是有什么人在背后搞鬼。
60,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_013,请你也去云雾街打探一下关于乔伊那个厉害的猎人父亲的行踪吧。
61,TEXT_JOBMCH520_01706_STEPHANIVIEN_000_019,希望能找到乔伊……
