key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_HEAVNZ723_01927_SEQ_00,陆行鸟之森的奥·贝恩·提亚被不干活的埃尔瓦气得够呛。
1,TEXT_HEAVNZ723_01927_SEQ_01,在与奥·贝恩·提亚交谈的时候，听见了某人的悲鸣。在陆行鸟之森寻找发出悲鸣的人。
2,TEXT_HEAVNZ723_01927_SEQ_02,发出悲鸣的人原来是奇·扬塔。被驱逐出尾羽集落的博里库安袭击了她，她的同伴胡德为保护她，受了重伤。回到龙堡参天高地的尾羽集落，与奥·贝恩·提亚汇合。
3,TEXT_HEAVNZ723_01927_SEQ_03,与奥·贝恩·提亚汇合完毕。得知吉索尔的陆行鸟雏鸟被博里库安抢走，两位新人与奥·贝恩·提亚前去追捕博里库安了。与留在尾羽集落的卢帕尔谈谈。
4,TEXT_HEAVNZ723_01927_SEQ_04,卢帕尔拜托冒险者追上奥·贝恩·提亚他们。向尾羽集落的北方前进，与奥·贝恩·提亚汇合。
5,TEXT_HEAVNZ723_01927_SEQ_05,与奥·贝恩·提亚汇合后，却受到了不法之徒的伏击。击退敌人，救助奥·贝恩·提亚。
6,TEXT_HEAVNZ723_01927_SEQ_06,救助了奥·贝恩·提亚，他拜托冒险者去帮助为追捕博里库安而先行一步的奇·扬塔和埃尔瓦。继续向北，追上奇·扬塔和埃尔瓦，找出博里库安。
7,TEXT_HEAVNZ723_01927_SEQ_07,找到了博里库安。新人奇·扬塔和埃尔瓦虽然抓住了博里库安，可却没能救出陆行鸟雏鸟……向尾羽集落的卢帕尔报告事情的始末。
8,TEXT_HEAVNZ723_01927_SEQ_08,向卢帕尔报告完毕。不是所有事件都能圆满终结。不过，两位新猎人对陆行鸟的感激之情也终于在他们的心中扎下了根……前辈猎人们把这件事当做对陆行鸟唯一的救赎，各自回到自己负责的工作之中了。
9,TEXT_HEAVNZ723_01927_SEQ_09,空
10,TEXT_HEAVNZ723_01927_SEQ_10,空
11,TEXT_HEAVNZ723_01927_SEQ_11,空
12,TEXT_HEAVNZ723_01927_SEQ_12,空
13,TEXT_HEAVNZ723_01927_SEQ_13,空
14,TEXT_HEAVNZ723_01927_SEQ_14,空
15,TEXT_HEAVNZ723_01927_SEQ_15,空
16,TEXT_HEAVNZ723_01927_SEQ_16,空
17,TEXT_HEAVNZ723_01927_SEQ_17,空
18,TEXT_HEAVNZ723_01927_SEQ_18,空
19,TEXT_HEAVNZ723_01927_SEQ_19,空
20,TEXT_HEAVNZ723_01927_SEQ_20,空
21,TEXT_HEAVNZ723_01927_SEQ_21,空
22,TEXT_HEAVNZ723_01927_SEQ_22,空
23,TEXT_HEAVNZ723_01927_SEQ_23,空
24,TEXT_HEAVNZ723_01927_TODO_00,寻找发出悲鸣的人
25,TEXT_HEAVNZ723_01927_TODO_01,和奥·贝恩·提亚汇合
26,TEXT_HEAVNZ723_01927_TODO_02,向卢帕尔报告
27,TEXT_HEAVNZ723_01927_TODO_03,和奥·贝恩·提亚汇合
28,TEXT_HEAVNZ723_01927_TODO_04,救助奥·贝恩·提亚
29,TEXT_HEAVNZ723_01927_TODO_05,寻找博里库安
30,TEXT_HEAVNZ723_01927_TODO_06,向卢帕尔报告
31,TEXT_HEAVNZ723_01927_TODO_07,空
32,TEXT_HEAVNZ723_01927_TODO_08,空
33,TEXT_HEAVNZ723_01927_TODO_09,空
34,TEXT_HEAVNZ723_01927_TODO_10,空
35,TEXT_HEAVNZ723_01927_TODO_11,空
36,TEXT_HEAVNZ723_01927_TODO_12,空
37,TEXT_HEAVNZ723_01927_TODO_13,空
38,TEXT_HEAVNZ723_01927_TODO_14,空
39,TEXT_HEAVNZ723_01927_TODO_15,空
40,TEXT_HEAVNZ723_01927_TODO_16,空
41,TEXT_HEAVNZ723_01927_TODO_17,空
42,TEXT_HEAVNZ723_01927_TODO_18,空
43,TEXT_HEAVNZ723_01927_TODO_19,空
44,TEXT_HEAVNZ723_01927_TODO_20,空
45,TEXT_HEAVNZ723_01927_TODO_21,空
46,TEXT_HEAVNZ723_01927_TODO_22,空
47,TEXT_HEAVNZ723_01927_TODO_23,空
48,TEXT_HEAVNZ723_01927_HERVOIX_000_000,没想到前辈这么认真地考虑森林的事……<hex:02100103>看来我必须要认真反省才是……
49,TEXT_HEAVNZ723_01927_OBHENTIA_000_000,啧，埃尔瓦那小混蛋，<hex:02100103>竟然耍小聪明，自己不干活，事情都推给你……<hex:02100103>……嗯？
50,TEXT_HEAVNZ723_01927_OBHENTIA_000_001,你有没有听到谁的声音？<hex:02100103>感觉好像是在呼救……<hex:02100103>应该是在东北方向吧，我去一趟看看情况。
51,TEXT_HEAVNZ723_01927_HERVOIX_000_002,等、等等呀前辈……<hex:02100103>冒险者，我们也一起赶过去吧！
52,TEXT_HEAVNZ723_01927_HEUDE_000_005,啧……一时大意，真是出洋相了。
53,TEXT_HEAVNZ723_01927_OBHENTIA_000_006,喂喂，胡德……发生了什么！
54,TEXT_HEAVNZ723_01927_HERVOIX_000_007,胡德……是那个老练的猎人？！<hex:02100103>为什么连他都……
55,TEXT_HEAVNZ723_01927_QYANTAA_000_010,冒、冒险者？！<hex:02100103>求你帮帮忙！胡德先生他受了伤！！
56,TEXT_HEAVNZ723_01927_HEUDE_000_011,哼……我也真是不中用。<hex:02100103>偏偏在这小鬼的面前露了丑……
57,TEXT_HEAVNZ723_01927_HEUDE_000_012,博里库安那家伙，突然一箭射向了扬塔。<hex:02100103>当时我脑子里只想着护住她，就成了这样……
58,TEXT_HEAVNZ723_01927_OBHENTIA_000_012,什么？博里库安？<hex:02100103>呃……比起这个，你这伤可不浅啊？！<hex:02100103>总之我们先回尾羽集落吧。
59,TEXT_HEAVNZ723_01927_HERVOIX_000_015,看来我们还需要冒险者你帮些忙。<hex:02100103>……先回尾羽集落吧，我们等着你。
60,TEXT_HEAVNZ723_01927_LOUPARD_000_016,事情我都听说了。<hex:02100103>我已经安顿胡德卧床休息，但愿他没事。<hex:02100103>哎，竟然出了这种事……
61,TEXT_HEAVNZ723_01927_QYANTAA_000_017,真没想到，博里库安竟然还会回来……
62,TEXT_HEAVNZ723_01927_HERVOIX_000_018,博里库安……我听说他是个很让人恶心的家伙啊！
63,TEXT_HEAVNZ723_01927_GYSOL_000_019,呜呜……呜呜……<hex:02100103>一定得拜托扬塔帮帮我……
64,TEXT_HEAVNZ723_01927_OBHENTIA_000_020,博里库安……<hex:02100103>就是那个被驱逐出尾羽集落的混小子？<hex:02100103>好吧，我们得想想办法，怎么对付他……
65,TEXT_HEAVNZ723_01927_LOUPARD_100_022,博里库安那家伙，看来驱逐他是不够的！
66,TEXT_HEAVNZ723_01927_GYSOL_000_021,呜呜……
67,TEXT_HEAVNZ723_01927_QYANTAA_000_022,哎？吉索尔怎么也在？<hex:02100103>你是什么时候来的啊，我都没发现！<hex:02100103>呃，你没什么精神呀……发生什么事了？
