key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_HEAVNY202_02115_SEQ_00,石之家的蛇心就蛮神问题，有事想要委托给冒险者。
1,TEXT_HEAVNY202_02115_SEQ_01,蛇心委托冒险者前去讨伐再次被召唤出来的云神俾斯麦，并将<hex:022811FF0A>EventItem<hex:F61E8B920103>交给了冒险者。为了借取讨伐时需要用到的浮岛，前往阿巴拉提亚云海的尊杜集落，让索努瓦努查看<hex:022811FF0A>EventItem<hex:F61E8B920103>。
2,TEXT_HEAVNY202_02115_SEQ_02,让索努瓦努查看了<hex:022811FF0A>EventItem<hex:F61E8B920103>，成功借到了浮岛。和来到蓝天窗的西德谈谈。
3,TEXT_HEAVNY202_02115_SEQ_03,和西德进行了交谈。看来已经做好准备了。接触阿巴拉提亚云海白鲸头冠的温杜以太之光。
4,TEXT_HEAVNY202_02115_SEQ_04,接触了温杜以太之光。和同伴们一起打倒再次被召唤出来的云神俾斯麦！<hex:02100103><hex:02100103>※可以通过任务搜索器参加。
5,TEXT_HEAVNY202_02115_SEQ_05,成功讨伐了再次被召唤出来的云神俾斯麦。向尊杜集落的索努瓦努报告。
6,TEXT_HEAVNY202_02115_SEQ_06,向索努瓦努报告完毕。也去向石之家的蛇心报告一下。
7,TEXT_HEAVNY202_02115_SEQ_07,向蛇心报告了讨伐云神俾斯麦的情况。登峰造极的云神俾斯麦的以太成功回归了阿巴拉提亚的上空。
8,TEXT_HEAVNY202_02115_SEQ_08,空
9,TEXT_HEAVNY202_02115_SEQ_09,空
10,TEXT_HEAVNY202_02115_SEQ_10,空
11,TEXT_HEAVNY202_02115_SEQ_11,空
12,TEXT_HEAVNY202_02115_SEQ_12,空
13,TEXT_HEAVNY202_02115_SEQ_13,空
14,TEXT_HEAVNY202_02115_SEQ_14,空
15,TEXT_HEAVNY202_02115_SEQ_15,空
16,TEXT_HEAVNY202_02115_SEQ_16,空
17,TEXT_HEAVNY202_02115_SEQ_17,空
18,TEXT_HEAVNY202_02115_SEQ_18,空
19,TEXT_HEAVNY202_02115_SEQ_19,空
20,TEXT_HEAVNY202_02115_SEQ_20,空
21,TEXT_HEAVNY202_02115_SEQ_21,空
22,TEXT_HEAVNY202_02115_SEQ_22,空
23,TEXT_HEAVNY202_02115_SEQ_23,空
24,TEXT_HEAVNY202_02115_TODO_00,让尊杜集落的索努瓦努查看<hex:022811FF0A>EventItem<hex:F61E8B920103>
25,TEXT_HEAVNY202_02115_TODO_01,和西德对话
26,TEXT_HEAVNY202_02115_TODO_02,接触温杜以太之光
27,TEXT_HEAVNY202_02115_TODO_03,完成俾斯麦歼殛战
28,TEXT_HEAVNY202_02115_TODO_04,向尊杜集落的索努瓦努报告
29,TEXT_HEAVNY202_02115_TODO_05,向石之家的蛇心报告
30,TEXT_HEAVNY202_02115_TODO_06,空
31,TEXT_HEAVNY202_02115_TODO_07,空
32,TEXT_HEAVNY202_02115_TODO_08,空
33,TEXT_HEAVNY202_02115_TODO_09,空
34,TEXT_HEAVNY202_02115_TODO_10,空
35,TEXT_HEAVNY202_02115_TODO_11,空
36,TEXT_HEAVNY202_02115_TODO_12,空
37,TEXT_HEAVNY202_02115_TODO_13,空
38,TEXT_HEAVNY202_02115_TODO_14,空
39,TEXT_HEAVNY202_02115_TODO_15,空
40,TEXT_HEAVNY202_02115_TODO_16,空
41,TEXT_HEAVNY202_02115_TODO_17,空
42,TEXT_HEAVNY202_02115_TODO_18,空
43,TEXT_HEAVNY202_02115_TODO_19,空
44,TEXT_HEAVNY202_02115_TODO_20,空
45,TEXT_HEAVNY202_02115_TODO_21,空
46,TEXT_HEAVNY202_02115_TODO_22,空
47,TEXT_HEAVNY202_02115_TODO_23,空
48,TEXT_HEAVNY202_02115_UNUKALHAI_110_000,登峰造极的蛮神——云神俾斯麦……<hex:02100103>是一个对天空造成威胁的蛮神……
49,TEXT_HEAVNY202_02115_UNUKALHAI_110_001,虽然很想尽快制定出对策，<hex:02100103>但那个蛮神游弋于云海间，出现的地点不固定……<hex:02100103>想要讨伐它并不容易。
50,TEXT_HEAVNY202_02115_UNUKALHAI_000_000,（未使用/预计删除）
51,TEXT_HEAVNY202_02115_UNUKALHAI_100_000,这样的话，我们只能按照你之前讨伐它那样，<hex:02100103>将浮岛作为诱饵，把它从云海底部引出来。
52,TEXT_HEAVNY202_02115_UNUKALHAI_000_001,你带上这个<hex:022811FF0A>EventItem<hex:F61E8B920103>，<hex:02100103>去找尊杜集落的长老索努瓦努。<hex:02100103>他看到后一定会把浮岛借出来的。
53,TEXT_HEAVNY202_02115_UNUKALHAI_000_002,至于飞空艇，<hex:02100103>就由我来联系西德，请求他的帮助吧。<hex:02100103>你和索努瓦努谈完之后，就到现场汇合。
54,TEXT_HEAVNY202_02115_UNUKALHAI_000_015,你带上这个<hex:022811FF0A>EventItem<hex:F61E8B920103>，<hex:02100103>去找尊杜集落的长老索努瓦努。<hex:02100103>他看到后一定会把浮岛借出来的。
55,TEXT_HEAVNY202_02115_SONUVANU_000_010,哎呀、哎呀，你能再次来到这里真是太好了！<hex:02100103>云神大人又出现了，身缠乌云疯狂肆虐，<hex:02100103>都已经吃掉好几个浮岛了！
56,TEXT_HEAVNY202_02115_SONUVANU_000_011,这是、这是，能感觉到这块石头蕴含着很强的魔力！<hex:02100103>人类的勇者竟然带来了我们瓦努族传说中的<hex:022811FF0A>EventItem<hex:F61E8B920103>……
57,TEXT_HEAVNY202_02115_SONUVANU_000_012,冷酷的温杜族在白鲸头冠的温杜以太之光上设有结界，<hex:02100103>只要、只要有了这个，就能通过以太之光，<hex:02100103>驱散缠绕在云神大人身上的乌云。
58,TEXT_HEAVNY202_02115_SONUVANU_000_013,人类的勇者啊，请你坐上翱翔于空中的船只，<hex:02100103>和我们的浮岛一起去制止云神大人吧！<hex:02100103>请你化作疾风，吹散那乌云！
59,TEXT_HEAVNY202_02115_SONUVANU_000_021,人类的勇者啊，请你坐上翱翔于空中的船只，<hex:02100103>和我们的浮岛一起去制止云神大人吧！<hex:02100103>请你化作疾风，吹散那乌云！
60,TEXT_HEAVNY202_02115_CID_000_020,哟，<hex:022903EB0203>。<hex:02100103>有个自称是拂晓使者的小鬼过来找我帮忙。<hex:02100103>我一问，原来是云神俾斯麦又出现了啊。
61,TEXT_HEAVNY202_02115_CID_000_021,……好了，看样子你也借到浮岛了，<hex:02100103>我这边也准备好了。<hex:02100103>剩下就是驱散缠绕在云神身上的乌云。
62,TEXT_HEAVNY202_02115_CID_100_021,作战方案还和上次一样。<hex:02100103>将浮岛作为诱饵，把那家伙钓上来！<hex:02100103>让云神大人好好清醒一下！
63,TEXT_HEAVNY202_02115_CID_101_021,作战方案还和上次一样。<hex:02100103>将浮岛作为诱饵，把那家伙钓上来！<hex:02100103>让云神大人好好清醒一下！
