key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBAST601_02409_SEQ_00,圣冈里奥尔占星院的雅内基纳尔有事情要通知冒险者。
1,TEXT_JOBAST601_02409_SEQ_01,前情回顾：<hex:02100103>冒险者在学习占星术的过程中，还帮助蕾薇瓦推广萨雷安式占星术。而萨雷安哲学家议会的司书长塞维斯塔却为了独霸占星术，而百般阻挠二人的活动。然而冒险者等人使用占星术冲破了命运桎梏，击退了塞维斯塔，为占星术在伊修加德的推广开辟了道路。<hex:02100103>　　　　　　　　　　　　*　*　*<hex:02100103>雅内基纳尔委托冒险者去帮助蕾薇瓦举办演讲会。和库尔札斯中央高地阿德内尔占星台的蕾薇瓦谈谈。
2,TEXT_JOBAST601_02409_SEQ_02,在和蕾薇瓦谈话时，遇到了来自东方的旭峰。为了指导旭峰学习占星术，和南部林区蔓根沼的旭峰谈谈。
3,TEXT_JOBAST601_02409_SEQ_03,和旭峰一起打开了土天座之门。向伊修加德的圣冈里奥尔占星院的蕾薇瓦报告。
4,TEXT_JOBAST601_02409_SEQ_04,向蕾薇瓦报告完毕。她很佩服旭峰的上进心。继续钻研占星术，以回应旭峰的热情。<hex:02100103><hex:02100103>※占星术士的等级达到63级以上时，可以从圣冈里奥尔占星院的蕾薇瓦那里领取下一个占星术士任务。
5,TEXT_JOBAST601_02409_SEQ_05,
6,TEXT_JOBAST601_02409_SEQ_06,
7,TEXT_JOBAST601_02409_SEQ_07,
8,TEXT_JOBAST601_02409_SEQ_08,
9,TEXT_JOBAST601_02409_SEQ_09,
10,TEXT_JOBAST601_02409_SEQ_10,
11,TEXT_JOBAST601_02409_SEQ_11,
12,TEXT_JOBAST601_02409_SEQ_12,
13,TEXT_JOBAST601_02409_SEQ_13,
14,TEXT_JOBAST601_02409_SEQ_14,
15,TEXT_JOBAST601_02409_SEQ_15,
16,TEXT_JOBAST601_02409_SEQ_16,
17,TEXT_JOBAST601_02409_SEQ_17,
18,TEXT_JOBAST601_02409_SEQ_18,
19,TEXT_JOBAST601_02409_SEQ_19,
20,TEXT_JOBAST601_02409_SEQ_20,
21,TEXT_JOBAST601_02409_SEQ_21,
22,TEXT_JOBAST601_02409_SEQ_22,
23,TEXT_JOBAST601_02409_SEQ_23,
24,TEXT_JOBAST601_02409_TODO_00,和阿德内尔占星台的蕾薇瓦对话
25,TEXT_JOBAST601_02409_TODO_01,和蔓根沼的旭峰对话
26,TEXT_JOBAST601_02409_TODO_02,和圣冈里奥尔占星院的蕾薇瓦对话
27,TEXT_JOBAST601_02409_TODO_03,
28,TEXT_JOBAST601_02409_TODO_04,
29,TEXT_JOBAST601_02409_TODO_05,
30,TEXT_JOBAST601_02409_TODO_06,
31,TEXT_JOBAST601_02409_TODO_07,
32,TEXT_JOBAST601_02409_TODO_08,
33,TEXT_JOBAST601_02409_TODO_09,
34,TEXT_JOBAST601_02409_TODO_10,
35,TEXT_JOBAST601_02409_TODO_11,
36,TEXT_JOBAST601_02409_TODO_12,
37,TEXT_JOBAST601_02409_TODO_13,
38,TEXT_JOBAST601_02409_TODO_14,
39,TEXT_JOBAST601_02409_TODO_15,
40,TEXT_JOBAST601_02409_TODO_16,
41,TEXT_JOBAST601_02409_TODO_17,
42,TEXT_JOBAST601_02409_TODO_18,
43,TEXT_JOBAST601_02409_TODO_19,
44,TEXT_JOBAST601_02409_TODO_20,
45,TEXT_JOBAST601_02409_TODO_21,
46,TEXT_JOBAST601_02409_TODO_22,
47,TEXT_JOBAST601_02409_TODO_23,
48,TEXT_JOBAST601_02409_JANNEQUINARD_000_000,<hex:022903EB0203>，近来可好啊？<hex:02100103>占星术学习得还顺利吗？<hex:02100103>蕾薇瓦老师也继承了父亲路菲因的名字，在占星术界大放异彩。
49,TEXT_JOBAST601_02409_JANNEQUINARD_000_001,龙诗战争结束后，人们对占星术的需求也有了变化，<hex:02100103>萨雷安式占星术逐渐受到了瞩目，<hex:02100103>为此，还即将在皇都举办演讲会。
50,TEXT_JOBAST601_02409_JANNEQUINARD_000_002,而现在，分道扬镳的命运即将再次汇合……<hex:02100103>蕾薇瓦老师预料到你将到访于此，<hex:02100103>有事想要托你去完成。
51,TEXT_JOBAST601_02409_JANNEQUINARD_000_003,老师竟然能够预料到你的行程，是不是很令人惊讶？<hex:02100103>其实是因为老师使用了黎明十字的方法进行奥秘卡占卜……<hex:02100103>以此看到了占星术的未来。
52,TEXT_JOBAST601_02409_JANNEQUINARD_000_004,第一张卡为正位的“长枪”，第二张为逆位的“箭矢”，<hex:02100103>第三张为逆位的“均衡”，第四张为逆位的“巨塔”，<hex:02100103>第五张为逆位的“主干”，第六张为正位的“水瓶”……
53,TEXT_JOBAST601_02409_JANNEQUINARD_000_005,根据此占卜结果，蕾薇瓦老师做出了如下解释：<hex:02100103>在平定了伊修加德的战争之后，<hex:02100103>冒险者将经历破坏性灾难，以此获得新的占星术知识。
54,TEXT_JOBAST601_02409_JANNEQUINARD_000_006,我并不确定此占卜是否暗示了未来。<hex:02100103>总之，还请你去和蕾薇瓦老师亲自谈谈吧。<hex:02100103>老师正在阿德内尔占星台准备演讲会。
55,TEXT_JOBAST601_02409_JANNEQUINARD_000_007,对了，虽然老师对外的名字是路菲因，<hex:02100103>不过，你与她乃是共渡难关的交情，<hex:02100103>还请称呼她的本名，蕾薇瓦吧。
56,TEXT_JOBAST601_02409_JANNEQUINARD_000_008,在黎明十字式奥秘卡占卜中，每张卡都有其独自的暗示含义，<hex:02100103>前三张分别代表现在、过去和未来，第四张为即将到来的灾难，<hex:02100103>第五张为灾难的原因，第六张则为包含一切的命运。
57,TEXT_JOBAST601_02409_JANNEQUINARD_000_009,并且各奥秘卡还暗示着方向。<hex:02100103>“均衡”代表东，“长枪”代表西，“水瓶”代表南，“巨塔”代表北，<hex:02100103>“主干”代表中央，“箭矢”则代表方向不定。
58,TEXT_JOBAST601_02409_LEVEVA_000_010,你来了啊，看你还这么有精神，我就放心了。<hex:02100103>你会来这里，想必是已经从雅内基纳尔那里<hex:02100103>听说了奥秘卡占卜的结果了吧？
59,TEXT_JOBAST601_02409_LEVEVA_000_011,果然，我的占卜准确无误。<hex:02100103>居无定所的旅人化身为屠龙长枪平定了战争，<hex:02100103>在经历了过往的破坏性灾难后，获得新的知识。
60,TEXT_JOBAST601_02409_LEVEVA_000_012,占卜的中心人物自然是你，<hex:022903EB0203>……<hex:02100103>你今天来到这里，便是预示着<hex:02100103>占星术的发展又进入了一个新的阶段……
61,TEXT_JOBAST601_02409_HEISHI_000_013,(-紧张的叫声-)有人遭到魔物袭击受伤了！<hex:02100103>快来人帮忙疗伤！
62,TEXT_JOBAST601_02409_LEVEVA_000_014,嗯……事情紧急，刻不容缓。<hex:02100103>就让我们用占星术改变伤员的命运吧。
63,TEXT_JOBAST601_02409_KYOKUHOU_000_015,（★未使用／削除予定★）
