key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_BANANA601_03064_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整（限定职业）<hex:0249020103><hex:0248020103><hex:02100103>※本任务需要与接受任务时的职业相同才可继续进行任务。<hex:02100103><hex:02100103>威罗迪纳基地的耶夏娜遇到了阿难陀族部队特有的问题。
1,TEXT_BANANA601_03064_SEQ_01,
2,TEXT_BANANA601_03064_SEQ_02,
3,TEXT_BANANA601_03064_SEQ_03,
4,TEXT_BANANA601_03064_SEQ_04,
5,TEXT_BANANA601_03064_SEQ_05,
6,TEXT_BANANA601_03064_SEQ_06,
7,TEXT_BANANA601_03064_SEQ_07,
8,TEXT_BANANA601_03064_SEQ_08,
9,TEXT_BANANA601_03064_SEQ_09,
10,TEXT_BANANA601_03064_SEQ_10,
11,TEXT_BANANA601_03064_SEQ_11,
12,TEXT_BANANA601_03064_SEQ_12,
13,TEXT_BANANA601_03064_SEQ_13,
14,TEXT_BANANA601_03064_SEQ_14,
15,TEXT_BANANA601_03064_SEQ_15,
16,TEXT_BANANA601_03064_SEQ_16,
17,TEXT_BANANA601_03064_SEQ_17,
18,TEXT_BANANA601_03064_SEQ_18,
19,TEXT_BANANA601_03064_SEQ_19,
20,TEXT_BANANA601_03064_SEQ_20,
21,TEXT_BANANA601_03064_SEQ_21,
22,TEXT_BANANA601_03064_SEQ_22,
23,TEXT_BANANA601_03064_SEQ_23,
24,TEXT_BANANA601_03064_TODO_00,在东境混交林获取<hex:022811FF0A>EventItem<hex:F61E8E100103>
25,TEXT_BANANA601_03064_TODO_01,将<hex:022811FF0A>EventItem<hex:F61E8E100103>交给威罗迪纳基地的迦格罗缇 获取<hex:022811FF0A>EventItem<hex:F61E8E110103>
26,TEXT_BANANA601_03064_TODO_02,将<hex:022811FF0A>EventItem<hex:F61E8E110103>交给耶夏娜
27,TEXT_BANANA601_03064_TODO_03,
28,TEXT_BANANA601_03064_TODO_04,
29,TEXT_BANANA601_03064_TODO_05,
30,TEXT_BANANA601_03064_TODO_06,
31,TEXT_BANANA601_03064_TODO_07,
32,TEXT_BANANA601_03064_TODO_08,
33,TEXT_BANANA601_03064_TODO_09,
34,TEXT_BANANA601_03064_TODO_10,
35,TEXT_BANANA601_03064_TODO_11,
36,TEXT_BANANA601_03064_TODO_12,
37,TEXT_BANANA601_03064_TODO_13,
38,TEXT_BANANA601_03064_TODO_14,
39,TEXT_BANANA601_03064_TODO_15,
40,TEXT_BANANA601_03064_TODO_16,
41,TEXT_BANANA601_03064_TODO_17,
42,TEXT_BANANA601_03064_TODO_18,
43,TEXT_BANANA601_03064_TODO_19,
44,TEXT_BANANA601_03064_TODO_20,
45,TEXT_BANANA601_03064_TODO_21,
46,TEXT_BANANA601_03064_TODO_22,
47,TEXT_BANANA601_03064_TODO_23,
48,TEXT_BANANA601_03064_ESHANA_000_000,嘶——欢迎你，同志。<hex:02100103>能请你负责准备我们阿难陀族的必需品吗？<hex:02100103>这份工作只能交给你这样值得信赖的人。
49,TEXT_BANANA601_03064_ESHANA_000_001,闪耀着美丽光辉的鳞片是我们阿难陀族的骄傲。<hex:02100103>但是，我们需要鳞片贴地而行，总是免不了受伤。<hex:02100103>因此需要常备药品，但是现在药的材料不够了。
50,TEXT_BANANA601_03064_ESHANA_000_002,我想拜托你前往东境混交林，<hex:02100103>收集4束生长在大树根部的<hex:022811FF0A>EventItem<hex:F61E8E100103>。
51,TEXT_BANANA601_03064_ESHANA_000_003,收集到必要的数量之后，<hex:02100103>请你交给医疗设施旁的迦格罗缇。<hex:02100103>她会把<hex:022811FF0A>EventItem<hex:F61E8E110103>交给你的，拜托了。
52,TEXT_BANANA601_03064_ESHANA_000_004,（★未使用／削除予定★）
53,TEXT_BANANA601_03064_JAGRATI_000_005,嘶——<hex:022811FF0A>EventItem<hex:F61E8E110103>不够用了……<hex:02100103>储备的材料也用光了，必须得去采集，<hex:02100103>可也不能扔下患者不管……怎么办才好呢。
54,TEXT_BANANA601_03064_JAGRATI_000_010,嘶——姐妹耶夏娜说需要<hex:022811FF0A>EventItem<hex:F61E8E110103>？<hex:02100103>要是能拿到材料，直接给你一些也可以……
55,TEXT_BANANA601_03064_JAGRATI_000_011,嘶——有这么多<hex:022811FF0A>EventItem<hex:F61E8E100103>就足够了。<hex:02100103>那么我就立刻用得到的材料开始调配吧。
56,TEXT_BANANA601_03064_JAGRATI_000_012,但是，调配这种药是很花时间的。<hex:02100103>这次就先把所剩不多的储备药交给你，<hex:02100103>请你去交给姐妹耶夏娜吧。
57,TEXT_BANANA601_03064_ESHANA_000_020,嘶——同志啊，你拿来<hex:022811FF0A>EventItem<hex:F61E8E110103>了吗？
58,TEXT_BANANA601_03064_ESHANA_000_021,嘶——谢谢你！<hex:02100103>这样一来，姐妹的伤就会痊愈，保持美丽了吧。
59,TEXT_BANANA601_03064_ESHANA_000_022,对我们阿难陀族来说，<hex:02100103>保养鳞片并不只是为了保持美丽。
60,TEXT_BANANA601_03064_ESHANA_000_023,就和人类士兵保养靴子一样。<hex:02100103>靴底破了个洞，是很难快速行军的吧？<hex:02100103>为了能迅速处理突发状况，平时就需要好好保养。
61,TEXT_BANANA601_03064_JAGRATI_000_025,调配这种药是很花时间的。<hex:02100103>你就先把储备药交给耶夏娜吧。
