key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANNAM403_03111_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整（限定职业）<hex:0249020103><hex:0248020103><hex:02100103>※本任务需要与接受任务时的职业相同才可继续进行任务。<hex:02100103><hex:02100103>朵洛衣楼的光风院霁月有件事想找冒险者商量。
1,TEXT_BANNAM403_03111_SEQ_01,和昂萨哈凯尔的负责接待的鲶鱼精对话
2,TEXT_BANNAM403_03111_SEQ_02,和昂萨哈凯尔的负责接待的鲶鱼精进行了交谈<hex:02100103>将委托物品交给光风院霁月
3,TEXT_BANNAM403_03111_SEQ_03,
4,TEXT_BANNAM403_03111_SEQ_04,
5,TEXT_BANNAM403_03111_SEQ_05,
6,TEXT_BANNAM403_03111_SEQ_06,
7,TEXT_BANNAM403_03111_SEQ_07,
8,TEXT_BANNAM403_03111_SEQ_08,
9,TEXT_BANNAM403_03111_SEQ_09,
10,TEXT_BANNAM403_03111_SEQ_10,
11,TEXT_BANNAM403_03111_SEQ_11,
12,TEXT_BANNAM403_03111_SEQ_12,
13,TEXT_BANNAM403_03111_SEQ_13,
14,TEXT_BANNAM403_03111_SEQ_14,
15,TEXT_BANNAM403_03111_SEQ_15,
16,TEXT_BANNAM403_03111_SEQ_16,
17,TEXT_BANNAM403_03111_SEQ_17,
18,TEXT_BANNAM403_03111_SEQ_18,
19,TEXT_BANNAM403_03111_SEQ_19,
20,TEXT_BANNAM403_03111_SEQ_20,
21,TEXT_BANNAM403_03111_SEQ_21,
22,TEXT_BANNAM403_03111_SEQ_22,
23,TEXT_BANNAM403_03111_SEQ_23,
24,TEXT_BANNAM403_03111_TODO_00,和昂萨哈凯尔的负责接待的鲶鱼精对话
25,TEXT_BANNAM403_03111_TODO_01,<hex:0208F204F9E4E8050AFF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF20488><hex:0208F20482E4E8050BFF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF20411><hex:0208F2040BE4E8050CFF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF2039A><hex:0208F20394E4E80509FF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF20323><hex:0208F2031DE4E8050DFF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF202AC><hex:0208F202A6E4E8050EFF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF20235><hex:0208F2022FE4E8050FFF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF201BE><hex:0208F201B8E4E80510FF68><hex:020864E3E802E803FF36>制作笔记 友好部族任务：制作<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF20147><hex:0208F20141E4E80511FF67><hex:020863E3E802E803FF35>从恰佳遗骨堂南边的石场采集<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FFF0D2><hex:0208CFE4E80512FF67><hex:020863E3E802E803FF35>从恰佳遗骨堂南边的草场采集<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FF61><hex:02085DE4E80513FF55><hex:020851E3E802E803FF23>从塔奥卡勒河钓<hex:02280AFF05>Item<hex:E8060103><hex:FF26>将<hex:02280AFF05>Item<hex:E8060103>交给光风院霁月<hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>
26,TEXT_BANNAM403_03111_TODO_02,
27,TEXT_BANNAM403_03111_TODO_03,
28,TEXT_BANNAM403_03111_TODO_04,
29,TEXT_BANNAM403_03111_TODO_05,
30,TEXT_BANNAM403_03111_TODO_06,
31,TEXT_BANNAM403_03111_TODO_07,
32,TEXT_BANNAM403_03111_TODO_08,
33,TEXT_BANNAM403_03111_TODO_09,
34,TEXT_BANNAM403_03111_TODO_10,
35,TEXT_BANNAM403_03111_TODO_11,
36,TEXT_BANNAM403_03111_TODO_12,
37,TEXT_BANNAM403_03111_TODO_13,
38,TEXT_BANNAM403_03111_TODO_14,
39,TEXT_BANNAM403_03111_TODO_15,
40,TEXT_BANNAM403_03111_TODO_16,
41,TEXT_BANNAM403_03111_TODO_17,
42,TEXT_BANNAM403_03111_TODO_18,
43,TEXT_BANNAM403_03111_TODO_19,
44,TEXT_BANNAM403_03111_TODO_20,
45,TEXT_BANNAM403_03111_TODO_21,
46,TEXT_BANNAM403_03111_TODO_22,
47,TEXT_BANNAM403_03111_TODO_23,
48,TEXT_BANNAM403_03111_KOFUINSEIGETSU_000_000,根据«诸国风俗问状答»记载，在远东之国内陆，<hex:02100103>为了祈愿丰收，会举行一种把田地之神招待到家里来的，<hex:02100103>奇妙的祭祀活动。
49,TEXT_BANNAM403_03111_KOFUINSEIGETSU_000_001,我们为了祈愿鲶鱼精族的繁荣昌盛，<hex:02100103>想要效仿这种祭祀活动。<hex:02100103>也请你务必来帮忙。
50,TEXT_BANNAM403_03111_KOFUINSEIGETSU_000_002,具体地说，是想请你帮忙准备用来招待祖先灵魂的物品。<hex:02100103>详细情况就请你去问在昂萨哈凯尔做准备的负责接待的鲶鱼精吧。
51,TEXT_BANNAM403_03111_DAILYNAMAZUO03111_000_010,是鱼……光风院霁月找你来的吗噗？<hex:02100103>太好了噗！那我就直接把需要你帮忙的事告诉你了噗。
52,TEXT_BANNAM403_03111_DAILYNAMAZUO03111_000_011,希望你帮忙制作用来当作<hex:02280BFF05>Item<hex:F258CC0103>的高级餐具噗。<hex:02100103>需要的素材就请你从放在旁边的货箱里随便拿吧噗！
