key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_LUCKMB115_03316_SEQ_00,普拉恩尼茸洞的卫德·拉德正在发呆。
1,TEXT_LUCKMB115_03316_SEQ_01,
2,TEXT_LUCKMB115_03316_SEQ_02,
3,TEXT_LUCKMB115_03316_SEQ_03,
4,TEXT_LUCKMB115_03316_SEQ_04,
5,TEXT_LUCKMB115_03316_SEQ_05,
6,TEXT_LUCKMB115_03316_SEQ_06,
7,TEXT_LUCKMB115_03316_SEQ_07,
8,TEXT_LUCKMB115_03316_SEQ_08,
9,TEXT_LUCKMB115_03316_SEQ_09,
10,TEXT_LUCKMB115_03316_SEQ_10,
11,TEXT_LUCKMB115_03316_SEQ_11,
12,TEXT_LUCKMB115_03316_SEQ_12,
13,TEXT_LUCKMB115_03316_SEQ_13,
14,TEXT_LUCKMB115_03316_SEQ_14,
15,TEXT_LUCKMB115_03316_SEQ_15,
16,TEXT_LUCKMB115_03316_SEQ_16,
17,TEXT_LUCKMB115_03316_SEQ_17,
18,TEXT_LUCKMB115_03316_SEQ_18,
19,TEXT_LUCKMB115_03316_SEQ_19,
20,TEXT_LUCKMB115_03316_SEQ_20,
21,TEXT_LUCKMB115_03316_SEQ_21,
22,TEXT_LUCKMB115_03316_SEQ_22,
23,TEXT_LUCKMB115_03316_SEQ_23,
24,TEXT_LUCKMB115_03316_TODO_00,和敏菲利亚对话
25,TEXT_LUCKMB115_03316_TODO_01,回收<hex:02280CFF05>EObj<hex:F61EAAEA0103>
26,TEXT_LUCKMB115_03316_TODO_02,和敏菲利亚对话
27,TEXT_LUCKMB115_03316_TODO_03,将<hex:022811FF0A>EventItem<hex:F61E8E6A0103>交给卫德·拉德
28,TEXT_LUCKMB115_03316_TODO_04,
29,TEXT_LUCKMB115_03316_TODO_05,
30,TEXT_LUCKMB115_03316_TODO_06,
31,TEXT_LUCKMB115_03316_TODO_07,
32,TEXT_LUCKMB115_03316_TODO_08,
33,TEXT_LUCKMB115_03316_TODO_09,
34,TEXT_LUCKMB115_03316_TODO_10,
35,TEXT_LUCKMB115_03316_TODO_11,
36,TEXT_LUCKMB115_03316_TODO_12,
37,TEXT_LUCKMB115_03316_TODO_13,
38,TEXT_LUCKMB115_03316_TODO_14,
39,TEXT_LUCKMB115_03316_TODO_15,
40,TEXT_LUCKMB115_03316_TODO_16,
41,TEXT_LUCKMB115_03316_TODO_17,
42,TEXT_LUCKMB115_03316_TODO_18,
43,TEXT_LUCKMB115_03316_TODO_19,
44,TEXT_LUCKMB115_03316_TODO_20,
45,TEXT_LUCKMB115_03316_TODO_21,
46,TEXT_LUCKMB115_03316_TODO_22,
47,TEXT_LUCKMB115_03316_TODO_23,
48,TEXT_LUCKMB115_03316_WYDLAD_000_000,哈？！<hex:02100103>你要和我交易吗？
49,TEXT_LUCKMB115_03316_WYDLAD_000_001,话是这么说，但我现在就是个什么都做不好的废物……<hex:02100103>想要做擅长的魔法道具，<hex:02100103><hex:022811FF0A>EventItem<hex:F61E8E6A0103>还被逆法派给夺走了……
50,TEXT_LUCKMB115_03316_WYDLAD_000_002,啊，所谓逆法派，<hex:02100103>是同为恩莫族却很讨厌工作的家伙们。
51,TEXT_LUCKMB115_03316_WYDLAD_000_003,他们毫无荣誉感，只顾着玩，过得跟群山贼似的……<hex:02100103>我在散步回来的路上还受到了他们的恐吓！
52,TEXT_LUCKMB115_03316_WYDLAD_000_004,……对了，你要是很强的话，<hex:02100103>能把我的<hex:022811FF0A>EventItem<hex:F61E8E6A0103><hex:02100103>从他们手里夺回来吗？！
53,TEXT_LUCKMB115_03316_WYDLAD_000_005,要是你愿意帮我的话，<hex:02100103>我就给你做最好的魔法道具！！
54,TEXT_LUCKMB115_03316_RYNE_000_006,那、那个……<hex:022903EB0203>……<hex:02100103>这份工作我能一起去吗？
55,TEXT_LUCKMB115_03316_RYNE_000_007,让我也帮忙吧……而且我也想跟你学习……<hex:02100103>要是你愿意的话……
56,TEXT_LUCKMB115_03316_Q1_000_000,如何作答？
57,TEXT_LUCKMB115_03316_A1_000_001,当然可以！
58,TEXT_LUCKMB115_03316_A1_000_002,路上别给我添麻烦
59,TEXT_LUCKMB115_03316_RYNE_000_008,……好的！
60,TEXT_LUCKMB115_03316_RYNE_000_009,好的，我会注意的！
61,TEXT_LUCKMB115_03316_WYDLAD_000_010,被夺走的<hex:022811FF0A>EventItem<hex:F61E8E6A0103>不止一个，<hex:02100103>都在逆法派的据点——南边的科拉德菌床，<hex:02100103>请尽量帮我拿回来！
62,TEXT_LUCKMB115_03316_WYDLAD_000_020,南边的科拉德菌床是逆法派的据点，<hex:02100103>那些家伙们一看到外人就会直接开打，<hex:02100103>你要小心哦！
63,TEXT_LUCKMB115_03316_RYNE_000_030,这个裂口前面应该就是科拉德菌床了……<hex:02100103>我偷偷看了一下，里面有好多恩莫族，<hex:02100103>应该都是逆法派……
64,TEXT_LUCKMB115_03316_RYNE_000_031,没关系……应该没问题的！<hex:02100103>我们分头去找他要我们拿回去的东西吧。
65,TEXT_LUCKMB115_03316_RYNE_000_032,把看到的隐形墨水都拿回来之后就撤退，<hex:02100103>我在稍微远一点的地方等你。<hex:02100103>那么，一会见！
66,TEXT_LUCKMB115_03316_WYDAENC_000_040,你和大家都做过交易了？
67,TEXT_LUCKMB115_03316_WYDLAD_000_050,啊——<hex:02100103>原谅我们，请原谅我们……缇坦妮雅大人！
68,TEXT_LUCKMB115_03316_WYDLAD_000_051,啊，是你啊。<hex:02100103>你拿到<hex:022811FF0A>EventItem<hex:F61E8E6A0103>了吗？
69,TEXT_LUCKMB115_03316_WYDLAD_000_052,哇！这不是基本上全都拿回来了嘛！<hex:02100103>太厉害了，感激不尽！
70,TEXT_LUCKMB115_03316_WYDLAD_000_053,刚刚听到缇坦妮雅大人的声音让我十分消沉，<hex:02100103>不过托你的福我现在精神多了！
71,TEXT_LUCKMB115_03316_WYDLAD_000_054,……哎？难道说你也能听到妖灵王的声音？<hex:02100103>这可真是……我们都不走运呢……
72,TEXT_LUCKMB115_03316_WYDLAD_000_055,一般来说，无论是什么样的生物，成为食罪灵之后就会失去理智。<hex:02100103>缇坦妮雅大人也一样，但其本能好像还有所保留。
73,TEXT_LUCKMB115_03316_WYDLAD_000_056,像是“想要一起玩”、“想出去”之类的强烈的执念……<hex:02100103>会透过封印的缝隙，时不时传到谁的耳边……
74,TEXT_LUCKMB115_03316_WYDLAD_000_057,其实大家都知道的，<hex:02100103>我们不能永远充耳不闻……
75,TEXT_LUCKMB115_03316_WYDLAD_000_058,哎哟，跑题了。<hex:02100103>你帮我取回来了这么多，我得给你相应的报酬才行。<hex:02100103>沙啦沙啦沙啦哩，沙沙卡沙！给，拿去！
