key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_LUCKZA101_03371_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整<hex:0249020103><hex:0248020103><hex:02100103>工匠村的尤丽丝正在等待旅行者的到来。
1,TEXT_LUCKZA101_03371_SEQ_01,※本任务为<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等级调整任务。<hex:02100103><hex:02100103>和尤丽丝进行了交谈。尤丽丝为了去见村外的熟人，委托冒险者保护自己。在工匠村附近，如果尤丽丝遇到了袭击就打倒出现的魔物。
2,TEXT_LUCKZA101_03371_SEQ_02,讨伐了魔物。救助工匠村附近的尤丽丝。
3,TEXT_LUCKZA101_03371_SEQ_03,救助了尤丽丝。和观石塔的尤丽丝谈谈。
4,TEXT_LUCKZA101_03371_SEQ_04,和尤丽丝进行了交谈。遇到了尤丽丝的父亲克里夫托尔的朋友塞·琉柯。作为担任工匠村村长的条件，他提出了3个请求。尤丽丝打算听从他的请求。和工匠村的尤丽丝谈谈。
5,TEXT_LUCKZA101_03371_SEQ_05,和尤丽丝进行了交谈。从村民那里借来了刀镰，并听取了过去在工匠村发生的惨剧。和观石塔的尤丽丝谈谈。
6,TEXT_LUCKZA101_03371_SEQ_06,和尤丽丝进行了交谈。为了关怀深受心里创伤的工匠村村民，继续协助尤丽丝。
7,TEXT_LUCKZA101_03371_SEQ_07,
8,TEXT_LUCKZA101_03371_SEQ_08,
9,TEXT_LUCKZA101_03371_SEQ_09,
10,TEXT_LUCKZA101_03371_SEQ_10,
11,TEXT_LUCKZA101_03371_SEQ_11,
12,TEXT_LUCKZA101_03371_SEQ_12,
13,TEXT_LUCKZA101_03371_SEQ_13,
14,TEXT_LUCKZA101_03371_SEQ_14,
15,TEXT_LUCKZA101_03371_SEQ_15,
16,TEXT_LUCKZA101_03371_SEQ_16,
17,TEXT_LUCKZA101_03371_SEQ_17,
18,TEXT_LUCKZA101_03371_SEQ_18,
19,TEXT_LUCKZA101_03371_SEQ_19,
20,TEXT_LUCKZA101_03371_SEQ_20,
21,TEXT_LUCKZA101_03371_SEQ_21,
22,TEXT_LUCKZA101_03371_SEQ_22,
23,TEXT_LUCKZA101_03371_SEQ_23,
24,TEXT_LUCKZA101_03371_TODO_00,讨伐出现在工匠村北边的魔物
25,TEXT_LUCKZA101_03371_TODO_01,救助尤丽丝
26,TEXT_LUCKZA101_03371_TODO_02,和观石塔的尤丽丝对话
27,TEXT_LUCKZA101_03371_TODO_03,和工匠村的尤丽丝对话
28,TEXT_LUCKZA101_03371_TODO_04,和观石塔的尤丽丝对话
29,TEXT_LUCKZA101_03371_TODO_05,
30,TEXT_LUCKZA101_03371_TODO_06,
31,TEXT_LUCKZA101_03371_TODO_07,
32,TEXT_LUCKZA101_03371_TODO_08,
33,TEXT_LUCKZA101_03371_TODO_09,
34,TEXT_LUCKZA101_03371_TODO_10,
35,TEXT_LUCKZA101_03371_TODO_11,
36,TEXT_LUCKZA101_03371_TODO_12,
37,TEXT_LUCKZA101_03371_TODO_13,
38,TEXT_LUCKZA101_03371_TODO_14,
39,TEXT_LUCKZA101_03371_TODO_15,
40,TEXT_LUCKZA101_03371_TODO_16,
41,TEXT_LUCKZA101_03371_TODO_17,
42,TEXT_LUCKZA101_03371_TODO_18,
43,TEXT_LUCKZA101_03371_TODO_19,
44,TEXT_LUCKZA101_03371_TODO_20,
45,TEXT_LUCKZA101_03371_TODO_21,
46,TEXT_LUCKZA101_03371_TODO_22,
47,TEXT_LUCKZA101_03371_TODO_23,
48,TEXT_LUCKZA101_03371_EUELISS_000_000,打扰一下，你好像是……<hex:02100103>和阿尔菲诺在一起的旅行者吧？<hex:02100103>嗯，你叫……
49,TEXT_LUCKZA101_03371_EUELISS_000_001,<hex:022903EB0203>啊！<hex:02100103>我是尤丽丝，担任工匠村的代理村长。<hex:02100103>其实我……一直在寻找像是你这样的旅行者。
50,TEXT_LUCKZA101_03371_EUELISS_000_002,如果你有空的话，能请你作我的保镖吗？<hex:02100103>我有事想要去找熟人，<hex:02100103>需要从这里到观石塔走个来回。
51,TEXT_LUCKZA101_03371_EUELISS_000_003,谢谢你。<hex:02100103>我因为某些理由不方便拜托村里人……
52,TEXT_LUCKZA101_03371_EUELISS_000_004,工匠村中有能力狩猎魔物的人<hex:02100103>都在某个事件中全军覆没了……
53,TEXT_LUCKZA101_03371_EUELISS_000_005,前往村外是一件非常危险的事情，<hex:02100103>还会让村民回想起逝者……那个悲惨的事件。<hex:02100103>所以即使我想找人护送，也没有合适的人选……
54,TEXT_LUCKZA101_03371_EUELISS_000_006,实际上村外有很多危险的魔物在徘徊着。<hex:02100103>如果有魔物出现了的话，请用你的力量打倒魔物！<hex:02100103>拜托你了。
55,TEXT_LUCKZA101_03371_EUELISS_000_010,谢谢你，得救了！<hex:02100103>咱们离观石塔不远了！
56,TEXT_LUCKZA101_03371_EUELISS_000_020,非常感谢你护送我到这里。<hex:02100103>这边这位就是我要找的人。
57,TEXT_LUCKZA101_03371_EUELISS_000_021,塞·琉柯叔叔……
58,TEXT_LUCKZA101_03371_EUELISS_000_022,你又一个人来这种地方……<hex:02100103>我说过好几次了，村子外面是很危险的……
59,TEXT_LUCKZA101_03371_SAILEWQ_000_023,……我还以为是谁呢，原来是克里夫托尔的女儿啊。
60,TEXT_LUCKZA101_03371_EUELISS_000_024,是的，我这回来是为了前些日子跟你说的那件事，想听听你的回答。<hex:02100103>我想请塞·琉柯叔叔务必来担任工匠村的村长。
61,TEXT_LUCKZA101_03371_EUELISS_000_025,我终究只是一个代理村长……<hex:02100103>既没有知识又没有经验，<hex:02100103>而且这也是村民全体的意愿。
62,TEXT_LUCKZA101_03371_SAILEWQ_000_026,……我说过我不当的。
63,TEXT_LUCKZA101_03371_SAILEWQ_000_027,不过……看在你就算是雇保镖也要来的份上，<hex:02100103>只要你答应我的3个请求，我就给你考虑一下。
64,TEXT_LUCKZA101_03371_EUELISS_000_028,是、是真的吗？！<hex:02100103>是什么请求啊？！
65,TEXT_LUCKZA101_03371_SAILEWQ_000_029,我的朋友克里夫托尔……就是你的父亲。<hex:02100103>他以前一直在寻找刀镰。<hex:02100103>我想把刀镰交给他，你能不能从村民那里借过来啊？
66,TEXT_LUCKZA101_03371_EUELISS_000_030,诶……怎么……到底打算……
67,TEXT_LUCKZA101_03371_EUELISS_000_031,没、没事……<hex:02100103>刀镰啊……我知道了。
68,TEXT_LUCKZA101_03371_EUELISS_000_032,原本预定的是请你保护我走个来回……<hex:02100103>不过我得完成叔叔提出的3个请求，<hex:02100103>所以请允许我延长委托……
69,TEXT_LUCKZA101_03371_SAILEWQ_000_033,……
70,TEXT_LUCKZA101_03371_VILLAGER03371_000_040,哎呀，这不是尤丽丝嘛！<hex:02100103>怎么了？愁眉苦脸的？<hex:02100103>要是有我能做到的事情，尽管跟我说！
