key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_LUCKZE001_03435_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整<hex:0249020103><hex:0248020103><hex:02100103>乔布要塞的认真的历史学者好像在生气。
1,TEXT_LUCKZE001_03435_SEQ_01,
2,TEXT_LUCKZE001_03435_SEQ_02,
3,TEXT_LUCKZE001_03435_SEQ_03,
4,TEXT_LUCKZE001_03435_SEQ_04,
5,TEXT_LUCKZE001_03435_SEQ_05,
6,TEXT_LUCKZE001_03435_SEQ_06,
7,TEXT_LUCKZE001_03435_SEQ_07,
8,TEXT_LUCKZE001_03435_SEQ_08,
9,TEXT_LUCKZE001_03435_SEQ_09,
10,TEXT_LUCKZE001_03435_SEQ_10,
11,TEXT_LUCKZE001_03435_SEQ_11,
12,TEXT_LUCKZE001_03435_SEQ_12,
13,TEXT_LUCKZE001_03435_SEQ_13,
14,TEXT_LUCKZE001_03435_SEQ_14,
15,TEXT_LUCKZE001_03435_SEQ_15,
16,TEXT_LUCKZE001_03435_SEQ_16,
17,TEXT_LUCKZE001_03435_SEQ_17,
18,TEXT_LUCKZE001_03435_SEQ_18,
19,TEXT_LUCKZE001_03435_SEQ_19,
20,TEXT_LUCKZE001_03435_SEQ_20,
21,TEXT_LUCKZE001_03435_SEQ_21,
22,TEXT_LUCKZE001_03435_SEQ_22,
23,TEXT_LUCKZE001_03435_SEQ_23,
24,TEXT_LUCKZE001_03435_TODO_00,和认真的历史学者对话
25,TEXT_LUCKZE001_03435_TODO_01,探索拉克汕城
26,TEXT_LUCKZE001_03435_TODO_02,和认真的历史学者对话
27,TEXT_LUCKZE001_03435_TODO_03,再次和认真的历史学者对话
28,TEXT_LUCKZE001_03435_TODO_04,
29,TEXT_LUCKZE001_03435_TODO_05,
30,TEXT_LUCKZE001_03435_TODO_06,
31,TEXT_LUCKZE001_03435_TODO_07,
32,TEXT_LUCKZE001_03435_TODO_08,
33,TEXT_LUCKZE001_03435_TODO_09,
34,TEXT_LUCKZE001_03435_TODO_10,
35,TEXT_LUCKZE001_03435_TODO_11,
36,TEXT_LUCKZE001_03435_TODO_12,
37,TEXT_LUCKZE001_03435_TODO_13,
38,TEXT_LUCKZE001_03435_TODO_14,
39,TEXT_LUCKZE001_03435_TODO_15,
40,TEXT_LUCKZE001_03435_TODO_16,
41,TEXT_LUCKZE001_03435_TODO_17,
42,TEXT_LUCKZE001_03435_TODO_18,
43,TEXT_LUCKZE001_03435_TODO_19,
44,TEXT_LUCKZE001_03435_TODO_20,
45,TEXT_LUCKZE001_03435_TODO_21,
46,TEXT_LUCKZE001_03435_TODO_22,
47,TEXT_LUCKZE001_03435_TODO_23,
48,TEXT_LUCKZE001_03435_SCHOLAR03435_000_000,唔……居然不能认清此次任务的重要性！<hex:02100103>既然如此，我只能自己上了！
49,TEXT_LUCKZE001_03435_SCHOLAR03435_000_001,……嗯，你听到了啊。<hex:02100103>我正打算前往拉克汕城，去那里亲眼确认一下<hex:02100103>之前的战斗对城里的设施造成了多大的损害。
50,TEXT_LUCKZE001_03435_SCHOLAR03435_000_002,但是卫兵团的家伙们根本不了解那座城的历史价值。<hex:02100103>就算我去拜托护卫，也会以人手不足为理由拒绝帮助我！<hex:02100103>……对了，你去过那座城吧？
51,TEXT_LUCKZE001_03435_SCHOLAR03435_000_003,什么？！你还参加了和游末邦军队的战斗？！<hex:02100103>那正好，就拜托你保护我去拉克汕城吧。<hex:02100103>当然我会付给你对应的报酬的。
52,TEXT_LUCKZE001_03435_SCHOLAR03435_000_004,嗯，很好！<hex:02100103>那就走吧，这下调查终于能有进展了！
53,TEXT_LUCKZE001_03435_SCHOLAR03435_000_010,辛苦你与我同行一趟了。<hex:02100103>嗯……这里果然比之前更荒凉了。
54,TEXT_LUCKZE001_03435_SCHOLAR03435_000_011,我还要调查一点细节。<hex:02100103>这里比较宽广，你能去转一转看看这座城的建筑物吗？<hex:02100103>我就留在庭院调查，之后我们再汇合。
55,TEXT_LUCKZE001_03435_SYSTEM_000_020,一座具有历史感的塔稳重地立在那里……<hex:02100103>看起来城墙塔楼还健在。
56,TEXT_LUCKZE001_03435_SYSTEM_000_021,发现了战斗的痕迹。<hex:02100103>建筑物上留着魔法攻击造成的伤痕……
57,TEXT_LUCKZE001_03435_SYSTEM_000_022,门轴生锈了，用力推也推不动。<hex:02100103>里面变成什么样子了呢？
58,TEXT_LUCKZE001_03435_SCHOLAR03435_000_030,你回来了，建筑物的状态如何？
59,TEXT_LUCKZE001_03435_SCHOLAR03435_000_031,嗯，原来如此，辛苦你了。<hex:02100103>……你如何看待这座拉克汕城？
60,TEXT_LUCKZE001_03435_Q1_000_000,如何作答？
61,TEXT_LUCKZE001_03435_A1_000_001,是美丽的城市
62,TEXT_LUCKZE001_03435_A1_000_002,是荒废的城市
63,TEXT_LUCKZE001_03435_SCHOLAR03435_000_032,对吧，就该是这样啊！<hex:02100103>虽然现在几乎被完全破坏了，<hex:02100103>但仍能看出其往日的风姿啊。
64,TEXT_LUCKZE001_03435_SCHOLAR03435_000_033,是啊……我负责确认的庭院也是荒废不堪。<hex:02100103>高台上通往凉亭的桥也如你所见，<hex:02100103>已经完全毁坏了。
65,TEXT_LUCKZE001_03435_SCHOLAR03435_000_034,……在很久以前，菁灵族曾支配诺弗兰特整个大陆。<hex:02100103>但是，没有“国家”概念的他们<hex:02100103>逐渐被其他种族的外来者占据了上风，最终不得已被赶到了雷克兰德。
66,TEXT_LUCKZE001_03435_SCHOLAR03435_000_035,但在这种情况下他们认为唯独圣地始源湖必须要死守下来，<hex:02100103>因此菁灵各部族纷纷联合起来，选出了国王，建立了国家。
67,TEXT_LUCKZE001_03435_SCHOLAR03435_000_036,这就是雷克兰德联邦。<hex:02100103>而这拉克汕城，就是联邦王城荣耀的象徵。<hex:02100103>之后，联邦又和尘族结盟，共同守护圣地。
68,TEXT_LUCKZE001_03435_SCHOLAR03435_000_037,但是，100年前，<hex:02100103>菁灵族的守旧派为了取回曾经的荣光，<hex:02100103>集结在所谓的影之王的麾下，引发了巨大的动乱。
69,TEXT_LUCKZE001_03435_SCHOLAR03435_000_038,这拉克汕城也因此被卷入了战火，遭到了严重的破坏。<hex:02100103>这座城的荒废，早在光之泛滥以前就开始了。<hex:02100103>根据某个学派的解释，这场动乱……
70,TEXT_LUCKZE001_03435_SCHOLAR03435_000_039,……嗯，我有点投入说得太多了。<hex:02100103>继续留在这里也没什么用了，我们回乔布要塞去吧。
71,TEXT_LUCKZE001_03435_SCHOLAR03435_000_050,在你的帮助下我完成了调查，谢谢你。<hex:02100103>这是我的一点心意，请你收下。
