key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_LUCKZH005_03515_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整<hex:0249020103><hex:0248020103><hex:02100103>奥斯塔尔严命城的托拉斯想要感谢冒险者。
1,TEXT_LUCKZH005_03515_SEQ_01,※本任务为<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等级调整任务。<hex:02100103><hex:02100103>和托拉斯一同进行任务。在雷克兰德的迷途羊倌之森和托拉斯谈谈。
2,TEXT_LUCKZH005_03515_SEQ_02,和托拉斯进行了交谈。再次和迷途羊倌之森的托拉斯谈谈。
3,TEXT_LUCKZH005_03515_SEQ_03,冒险者开始去驱逐魔物。使用<hex:022811FF0A>EventItem<hex:F61E8F450103>逐一驱逐迷途羊倌之森的亢奋的风花。
4,TEXT_LUCKZH005_03515_SEQ_04,驱逐了亢奋的风花。和迷途羊倌之森的托拉斯谈谈。
5,TEXT_LUCKZH005_03515_SEQ_05,和托拉斯进行了交谈。再次和迷途羊倌之森的托拉斯谈谈。
6,TEXT_LUCKZH005_03515_SEQ_06,听到了某人的叫声，托拉斯跑着离开了。在迷途羊倌之森追上托拉斯。
7,TEXT_LUCKZH005_03515_SEQ_07,托拉斯为了保护涅尔登受伤了。为了治疗他，在雷克兰德的乔布要塞和涅尔登谈谈。
8,TEXT_LUCKZH005_03515_SEQ_08,托拉斯想让卡蕾雅和马维尔见面。和水晶都宇宙和音的托拉斯谈谈。
9,TEXT_LUCKZH005_03515_SEQ_09,经过托拉斯的介绍，马维尔筹集好了药物材料，卡蕾雅将药物送到了奥斯塔尔严命城。如此一来，药物不足的情况定会逐渐得到解决。
10,TEXT_LUCKZH005_03515_SEQ_10,
11,TEXT_LUCKZH005_03515_SEQ_11,
12,TEXT_LUCKZH005_03515_SEQ_12,
13,TEXT_LUCKZH005_03515_SEQ_13,
14,TEXT_LUCKZH005_03515_SEQ_14,
15,TEXT_LUCKZH005_03515_SEQ_15,
16,TEXT_LUCKZH005_03515_SEQ_16,
17,TEXT_LUCKZH005_03515_SEQ_17,
18,TEXT_LUCKZH005_03515_SEQ_18,
19,TEXT_LUCKZH005_03515_SEQ_19,
20,TEXT_LUCKZH005_03515_SEQ_20,
21,TEXT_LUCKZH005_03515_SEQ_21,
22,TEXT_LUCKZH005_03515_SEQ_22,
23,TEXT_LUCKZH005_03515_SEQ_23,
24,TEXT_LUCKZH005_03515_TODO_00,和托拉斯对话
25,TEXT_LUCKZH005_03515_TODO_01,再次和托拉斯对话
26,TEXT_LUCKZH005_03515_TODO_02,对亢奋的风花使用<hex:022811FF0A>EventItem<hex:F61E8F450103>
27,TEXT_LUCKZH005_03515_TODO_03,和托拉斯对话
28,TEXT_LUCKZH005_03515_TODO_04,再次和托拉斯对话
29,TEXT_LUCKZH005_03515_TODO_05,追赶托拉斯
30,TEXT_LUCKZH005_03515_TODO_06,和涅尔登对话
31,TEXT_LUCKZH005_03515_TODO_07,和宇宙和音的托拉斯对话
32,TEXT_LUCKZH005_03515_TODO_08,
33,TEXT_LUCKZH005_03515_TODO_09,
34,TEXT_LUCKZH005_03515_TODO_10,
35,TEXT_LUCKZH005_03515_TODO_11,
36,TEXT_LUCKZH005_03515_TODO_12,
37,TEXT_LUCKZH005_03515_TODO_13,
38,TEXT_LUCKZH005_03515_TODO_14,
39,TEXT_LUCKZH005_03515_TODO_15,
40,TEXT_LUCKZH005_03515_TODO_16,
41,TEXT_LUCKZH005_03515_TODO_17,
42,TEXT_LUCKZH005_03515_TODO_18,
43,TEXT_LUCKZH005_03515_TODO_19,
44,TEXT_LUCKZH005_03515_TODO_20,
45,TEXT_LUCKZH005_03515_TODO_21,
46,TEXT_LUCKZH005_03515_TODO_22,
47,TEXT_LUCKZH005_03515_TODO_23,
48,TEXT_LUCKZH005_03515_TOLAS_000_000,<hex:022903EB0203>，<hex:02100103>多亏你的帮助，我平安回到了我的职位上。<hex:02100103>我正要去水晶都执行任务。
49,TEXT_LUCKZH005_03515_TOLAS_000_001,如果你也要回到水晶都，咱们就一起走吧？<hex:02100103>我想要让你见识我作为卫兵出色完成任务时的身姿。
50,TEXT_LUCKZH005_03515_TOLAS_000_002,谢谢你！<hex:02100103>我要进行的是保卫街道安全，以及报告物资现状的任务。<hex:02100103>在前往水晶都的途中，我们一边驱赶魔物一边前进吧。
51,TEXT_LUCKZH005_03515_TOLAS_000_003,接收报告的人你也认识，就是马维尔。<hex:02100103>马维尔现在正在水晶都正在准备进行下一次的物资筹备。<hex:02100103>那家伙见了你肯定会很高兴的。
52,TEXT_LUCKZH005_03515_TOLAS_000_004,那咱们就出发吧。
53,TEXT_LUCKZH005_03515_TOLAS_000_010,这么快魔物就出现了……<hex:02100103>你看，我已经成功把它打倒了。
54,TEXT_LUCKZH005_03515_TOLAS_000_011,多亏了你，我才能再次战斗。<hex:02100103>现在面对这种魔物我是绝对不会输的。<hex:02100103>咱们继续前进吧。
55,TEXT_LUCKZH005_03515_SYSTEM_100_020,亢奋的风花警戒地盯着冒险者……
56,TEXT_LUCKZH005_03515_TOLAS_000_020,那边的魔物们……每个都离得很近。<hex:02100103>本来这种任务应该是两人一组进行的，<hex:02100103>所以对付这个数量的敌人是没有问题的……
57,TEXT_LUCKZH005_03515_TOLAS_100_020,但是因为那场食罪灵的突袭，导致死伤者众多。<hex:02100103>目前在部队人手不足的情况下，就只能独自应对了。
58,TEXT_LUCKZH005_03515_TOLAS_000_021,不过我也有妙计。<hex:02100103>将散发着恶臭的这个<hex:022811FF0A>EventItem<hex:F61E8F450103>丢过去，<hex:02100103>就能把魔物从街上驱逐了。
59,TEXT_LUCKZH005_03515_TOLAS_000_022,不用针锋相对就能赶跑魔物，这可是相当新鲜的体验呢。<hex:02100103>你要不要也试试？<hex:02100103>用<hex:022811FF0A>EventItem<hex:F61E8F450103>击中一只亢奋的风花就好。
60,TEXT_LUCKZH005_03515_TOLAS_000_023,用<hex:022811FF0A>EventItem<hex:F61E8F450103>击中一只亢奋的风花就好。<hex:02100103>请你一定要试试。
61,TEXT_LUCKZH005_03515_SYSTEM_000_030,魔物对冒险者产生了警觉……将<hex:022811FF0A>EventItem<hex:F61E8F450103>丢出去，赶走它们。
62,TEXT_LUCKZH005_03515_MONSTERA_100_030,……咕吱！
63,TEXT_LUCKZH005_03515_SYSTEM_110_030,亢奋的风花落荒而逃……<hex:02100103>紧接着<hex:022811FF0A>EventItem<hex:F61E8F450103>刺鼻的恶臭飘散开来。
64,TEXT_LUCKZH005_03515_MONSTERB_120_030,咕吱！
65,TEXT_LUCKZH005_03515_SYSTEM_130_030,亢奋的风花落荒而逃……
66,TEXT_LUCKZH005_03515_MONSTERC_140_030,……咕吱吱！
