key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_LUCKMG103_03675_SEQ_00,阴沉乡的阿尔菲诺正准备回水晶都。
1,TEXT_LUCKMG103_03675_SEQ_01,
2,TEXT_LUCKMG103_03675_SEQ_02,
3,TEXT_LUCKMG103_03675_SEQ_03,
4,TEXT_LUCKMG103_03675_SEQ_04,
5,TEXT_LUCKMG103_03675_SEQ_05,
6,TEXT_LUCKMG103_03675_SEQ_06,
7,TEXT_LUCKMG103_03675_SEQ_07,
8,TEXT_LUCKMG103_03675_SEQ_08,
9,TEXT_LUCKMG103_03675_SEQ_09,
10,TEXT_LUCKMG103_03675_SEQ_10,
11,TEXT_LUCKMG103_03675_SEQ_11,
12,TEXT_LUCKMG103_03675_SEQ_12,
13,TEXT_LUCKMG103_03675_SEQ_13,
14,TEXT_LUCKMG103_03675_SEQ_14,
15,TEXT_LUCKMG103_03675_SEQ_15,
16,TEXT_LUCKMG103_03675_SEQ_16,
17,TEXT_LUCKMG103_03675_SEQ_17,
18,TEXT_LUCKMG103_03675_SEQ_18,
19,TEXT_LUCKMG103_03675_SEQ_19,
20,TEXT_LUCKMG103_03675_SEQ_20,
21,TEXT_LUCKMG103_03675_SEQ_21,
22,TEXT_LUCKMG103_03675_SEQ_22,
23,TEXT_LUCKMG103_03675_SEQ_23,
24,TEXT_LUCKMG103_03675_TODO_00,前往观星室
25,TEXT_LUCKMG103_03675_TODO_01,和拜克·拉各对话
26,TEXT_LUCKMG103_03675_TODO_02,和上路客店的拜克·拉各对话
27,TEXT_LUCKMG103_03675_TODO_03,对患者们使用<hex:022811FF0A>EventItem<hex:F61E8FD80103>
28,TEXT_LUCKMG103_03675_TODO_04,和拜克·拉各对话
29,TEXT_LUCKMG103_03675_TODO_05,
30,TEXT_LUCKMG103_03675_TODO_06,
31,TEXT_LUCKMG103_03675_TODO_07,
32,TEXT_LUCKMG103_03675_TODO_08,
33,TEXT_LUCKMG103_03675_TODO_09,
34,TEXT_LUCKMG103_03675_TODO_10,
35,TEXT_LUCKMG103_03675_TODO_11,
36,TEXT_LUCKMG103_03675_TODO_12,
37,TEXT_LUCKMG103_03675_TODO_13,
38,TEXT_LUCKMG103_03675_TODO_14,
39,TEXT_LUCKMG103_03675_TODO_15,
40,TEXT_LUCKMG103_03675_TODO_16,
41,TEXT_LUCKMG103_03675_TODO_17,
42,TEXT_LUCKMG103_03675_TODO_18,
43,TEXT_LUCKMG103_03675_TODO_19,
44,TEXT_LUCKMG103_03675_TODO_20,
45,TEXT_LUCKMG103_03675_TODO_21,
46,TEXT_LUCKMG103_03675_TODO_22,
47,TEXT_LUCKMG103_03675_TODO_23,
48,TEXT_LUCKMG103_03675_ALPHINAUD_000_000,那么，我们也回水晶都吧。<hex:02100103>水晶公应该带着拜克·拉各阁下去了观星室，<hex:02100103>并且把我们的情况都告诉他了吧。
49,TEXT_LUCKMG103_03675_ALPHINAUD_000_050,从刚才的简短对话中就能看出，<hex:02100103>拜克·拉各阁下在灵魂方面有着非比寻常的见解。<hex:02100103>真是找到了一位可靠的帮手啊。
50,TEXT_LUCKMG103_03675_ALISAIE_000_055,我再次意识到，我们果然只是没有身体的灵魂呢……<hex:02100103>虽然现在没有什么感觉，不过等回到自己身体之后，<hex:02100103>应该就会发现有身体是多么幸福的事了吧。
51,TEXT_LUCKMG103_03675_YSHTOLA_000_060,说起来，<hex:02100103>你还记得在宇宙宫看到的施加了魔法的扫帚吗？<hex:02100103>为什么隐者都爱把扫帚当使魔呢？
52,TEXT_LUCKMG103_03675_MYSTERYVOICE_000_065,你们取回的黑夜，<hex:02100103>也触动了拜克·拉各阁下的内心啊……
53,TEXT_LUCKMG103_03675_BEQLUGG_000_110,好了，我知道你们的愿望了。<hex:02100103>那么，能不能再详细说明一下现在的情况呢？
54,TEXT_LUCKMG103_03675_BEQLUGG_000_111,将他们的灵魂放入白圣石之中，<hex:02100103>再带回原先的世界啊……<hex:02100103>嗯，想法不错。
55,TEXT_LUCKMG103_03675_BEQLUGG_000_112,只不过，对于他们那些高度实体化、<hex:02100103>看起来和普通人类并无差别的灵魂来说，<hex:02100103>还是有些难度的。
56,TEXT_LUCKMG103_03675_BEQLUGG_100_112,灵魂长期处于活性化状态的话，<hex:02100103>在进入魔器时，可能会变得很不稳定。
57,TEXT_LUCKMG103_03675_YSHTOLA_000_113,既然问题是出在这里……<hex:02100103>那么，如果能让灵魂失去活性的话，<hex:02100103>应该就可以安全地使用白圣石了吧？
58,TEXT_LUCKMG103_03675_BEQLUGG_000_114,嗯……理论上是这样……<hex:02100103>但是，让灵魂失去活性<hex:02100103>可不像吹灭蜡烛上的火那么简单。
59,TEXT_LUCKMG103_03675_ALISAIE_100_114,你们说的那个，让灵魂失去活性究竟是怎么一回事？<hex:02100103>我不太理解……
60,TEXT_LUCKMG103_03675_BEQLUGG_101_114,怎么说呢……像你们这种，<hex:02100103>凝聚了大量以太、高度实体化的灵魂，<hex:02100103>可以说是活性化的极致了，那么失去活性就是相反的状态……
61,TEXT_LUCKMG103_03675_BEQLUGG_102_114,也就是说灵魂无法影响到周围，<hex:02100103>身体不能按照自己的所想而动，<hex:02100103>身心都缺乏活力的状态……就是失去活性的状态了。
62,TEXT_LUCKMG103_03675_ALISAIE_000_115,身体不能动……失去活力……<hex:02100103>这和上路客店那些逐渐变成食罪灵的人症状很像啊。
63,TEXT_LUCKMG103_03675_BEQLUGG_000_116,原来如此，食罪灵化啊……<hex:02100103>确实，被停滞之光所侵蚀的状态，<hex:02100103>应该可以说是灵魂失去活性的极致状态了。
64,TEXT_LUCKMG103_03675_BEQLUGG_000_120,……不，只有理论的话是无法得到正确答案的。<hex:02100103>能不能带我去看看那些逐渐变成食罪灵的人呢？
65,TEXT_LUCKMG103_03675_MYSTERYVOICE_000_121,您觉得在那里能找到解决办法？
66,TEXT_LUCKMG103_03675_BEQLUGG_000_122,只是有可能而已。<hex:02100103>我认为他们被侵蚀的现象非常值得深究。
67,TEXT_LUCKMG103_03675_ALISAIE_000_123,如果能找到解决办法的话，<hex:02100103>我们当然很乐意带您过去。<hex:02100103>……不过，还请不要打扰到他们与病魔抗争。
68,TEXT_LUCKMG103_03675_BEQLUGG_000_124,……呵呵，放心吧。<hex:02100103>虽然我一直过着隐居生活，但基本的礼仪还是有的。
69,TEXT_LUCKMG103_03675_YSHTOLA_000_125,既然如此的话，<hex:02100103>那我就去和于里昂热汇合，帮他制作白圣石吧。<hex:02100103>毕竟上路客店不适合这么多人一起去。
70,TEXT_LUCKMG103_03675_MYSTERYVOICE_000_126,白圣石那边我应该也能帮上些忙。<hex:02100103>上路客店那边就交给你们了，可以吗？
71,TEXT_LUCKMG103_03675_ALPHINAUD_000_127,那么，拜克·拉各阁下，<hex:02100103>就由我们3个人陪您去安穆·艾兰的上路客店吧。
