key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_LUCKUN002_03987_SEQ_00,彷徨阶梯亭的蛇心想要立刻开始修行。
1,TEXT_LUCKUN002_03987_SEQ_01,和蛇心进行了交谈。和雷克兰德水晶公之门的缇纳谈谈。
2,TEXT_LUCKUN002_03987_SEQ_02,缇纳和蛇心一起成功打开了一个很小的空洞。讨伐从空洞中出现的魔物。
3,TEXT_LUCKUN002_03987_SEQ_03,讨伐了从空洞中出现的魔物。和水晶公之门的蛇心谈谈。
4,TEXT_LUCKUN002_03987_SEQ_04,蛇心和缇纳一起成功打开了更大的空洞。讨伐从空洞中出现的魔物。
5,TEXT_LUCKUN002_03987_SEQ_05,讨伐了从空洞中出现的魔物。和水晶公之门的蛇心谈谈。
6,TEXT_LUCKUN002_03987_SEQ_06,蛇心和缇纳同心协力，成功打开了更大的空洞。讨伐从空洞中出现的魔物。
7,TEXT_LUCKUN002_03987_SEQ_07,讨伐了从空洞中出现的魔物。和水晶公之门的蛇心谈谈。
8,TEXT_LUCKUN002_03987_SEQ_08,蛇心表示自己越来越进入状态了。而缇纳则在和蛇心合作时感到了似曾相识。
9,TEXT_LUCKUN002_03987_SEQ_09,
10,TEXT_LUCKUN002_03987_SEQ_10,
11,TEXT_LUCKUN002_03987_SEQ_11,
12,TEXT_LUCKUN002_03987_SEQ_12,
13,TEXT_LUCKUN002_03987_SEQ_13,
14,TEXT_LUCKUN002_03987_SEQ_14,
15,TEXT_LUCKUN002_03987_SEQ_15,
16,TEXT_LUCKUN002_03987_SEQ_16,
17,TEXT_LUCKUN002_03987_SEQ_17,
18,TEXT_LUCKUN002_03987_SEQ_18,
19,TEXT_LUCKUN002_03987_SEQ_19,
20,TEXT_LUCKUN002_03987_SEQ_20,
21,TEXT_LUCKUN002_03987_SEQ_21,
22,TEXT_LUCKUN002_03987_SEQ_22,
23,TEXT_LUCKUN002_03987_SEQ_23,
24,TEXT_LUCKUN002_03987_TODO_00,和水晶公之门的缇纳对话
25,TEXT_LUCKUN002_03987_TODO_01,讨伐从空洞中出现的魔物
26,TEXT_LUCKUN002_03987_TODO_02,和蛇心对话
27,TEXT_LUCKUN002_03987_TODO_03,讨伐从空洞中出现的魔物
28,TEXT_LUCKUN002_03987_TODO_04,和蛇心对话
29,TEXT_LUCKUN002_03987_TODO_05,讨伐从空洞中出现的魔物
30,TEXT_LUCKUN002_03987_TODO_06,和蛇心对话
31,TEXT_LUCKUN002_03987_TODO_07,
32,TEXT_LUCKUN002_03987_TODO_08,
33,TEXT_LUCKUN002_03987_TODO_09,
34,TEXT_LUCKUN002_03987_TODO_10,
35,TEXT_LUCKUN002_03987_TODO_11,
36,TEXT_LUCKUN002_03987_TODO_12,
37,TEXT_LUCKUN002_03987_TODO_13,
38,TEXT_LUCKUN002_03987_TODO_14,
39,TEXT_LUCKUN002_03987_TODO_15,
40,TEXT_LUCKUN002_03987_TODO_16,
41,TEXT_LUCKUN002_03987_TODO_17,
42,TEXT_LUCKUN002_03987_TODO_18,
43,TEXT_LUCKUN002_03987_TODO_19,
44,TEXT_LUCKUN002_03987_TODO_20,
45,TEXT_LUCKUN002_03987_TODO_21,
46,TEXT_LUCKUN002_03987_TODO_22,
47,TEXT_LUCKUN002_03987_TODO_23,
48,TEXT_LUCKUN002_03987_UNUKALHAI_000_001,那么事不宜迟，我想立刻开始修行。<hex:02100103>缇纳，再次拜托了。
49,TEXT_LUCKUN002_03987_TAYNOR_000_002,好、好的……我也是。<hex:02100103>但是如果打开空洞的话，很可能会有异世界的魔物出现。<hex:02100103>先前往城外的水晶公之门吧。
50,TEXT_LUCKUN002_03987_CYELLA_000_005,修行如果有了进展记得告诉我。<hex:02100103>我也不能一直放着酒馆那边的工作不管。
51,TEXT_LUCKUN002_03987_CERIGG_000_010,只有放开手脚才能开辟新的未来嘛。<hex:02100103>要是真到了危急的时刻，就由你来出手相助吧。
52,TEXT_LUCKUN002_03987_TAYNOR_000_015,如果准备好了的话，就开始蛇心的修行吧。
53,TEXT_LUCKUN002_03987_TAYNOR_000_050,这里似乎就挺好。<hex:02100103>那么蛇心，你先从记忆当中读取术式……<hex:02100103>然后我会试着将我的力量加入其中。
54,TEXT_LUCKUN002_03987_TAYNOR_000_051,不过由于使用法术要求注意力集中，<hex:02100103>此时如果有魔物出现的话将无法应对……<hex:02100103>所以<hex:022903EB0203>，到时候就拜托你了！
55,TEXT_LUCKUN002_03987_UNUKALHAI_000_052,那就开始了！
56,TEXT_LUCKUN002_03987_UNUKALHAI_000_053,唔……没想到对准以太的着力点<hex:02100103>居然如此困难……！
57,TEXT_LUCKUN002_03987_TAYNOR_000_054,我来帮你……！<hex:02100103>要打开了！
58,TEXT_LUCKUN002_03987_UNUKALHAI_000_055,成功了，打开了一个很小的空洞……！<hex:02100103>不过这个气息是？！
59,TEXT_LUCKUN002_03987_TAYNOR_000_056,魔物要来了！<hex:02100103><hex:022903EB0203>，准备迎击！
60,TEXT_LUCKUN002_03987_UNUKALHAI_000_060,跟缇纳对话，开始修行吧！
61,TEXT_LUCKUN002_03987_UNUKALHAI_000_150,呼，呼，呼……没想到即使用尽全力，<hex:02100103>也只是勉强打开那么小的门……
62,TEXT_LUCKUN002_03987_TAYNOR_000_151,第一次尝试就能打开空洞，光是这一点就已经很厉害了！<hex:02100103>即使很小，也准确地通往了异世界。<hex:02100103>下次请配合我的呼吸，感受以太的流动。
63,TEXT_LUCKUN002_03987_UNUKALHAI_000_152,我会努力的！
64,TEXT_LUCKUN002_03987_TAYNOR_000_153,这个……比刚才的要大……！<hex:02100103>不过出现的魔物也会相对比较棘手！<hex:02100103>一定要多加小心！
65,TEXT_LUCKUN002_03987_TAYNOR_000_155,让空洞通往异世界这种事，<hex:02100103>我也已经很久没做过了……<hex:02100103>不过这下应该没问题了。
66,TEXT_LUCKUN002_03987_UNUKALHAI_000_250,感受到了……缇纳的气息……<hex:02100103>看到了……他的以太流动……<hex:02100103>这样一来……下次一定能行！！
67,TEXT_LUCKUN002_03987_UNUKALHAI_000_251,缇纳，来吧！
68,TEXT_LUCKUN002_03987_TAYNOR_000_252,难以置信……<hex:02100103>没想到这么快就能实现如此默契的配合……
69,TEXT_LUCKUN002_03987_UNUKALHAI_000_253,<hex:022903EB0203>，魔物要来了！
70,TEXT_LUCKUN002_03987_UNUKALHAI_000_350,我已经越来越进入状态了。<hex:02100103>剩下的就是必须要记住这种感觉才行。
71,TEXT_LUCKUN002_03987_TAYNOR_000_351,和蛇心配合时的那种感觉，<hex:02100103>我总觉得似曾相识……<hex:02100103>虽然这明明是不可能的……
72,TEXT_LUCKUN002_03987_TAYNOR_000_355,难以置信……<hex:02100103>没想到这么快就能实现如此默契的配合……
